Data properties:				
Recording date: 2021/10/3				
Recording time: 15:22:51:000 (corresponds to time 0)				
Study: Test1				
Subject: p14				
Recording: Rec 10				
Screen resolution: 1280 x 1024				
Coordinate unit: Pixels				
Filter settings:				
Eye: Average				
Validity: Normal				
Fixation filter: Tobii fixation filter				
Fixation radius: 35				
FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY
1	350	284	484	445
2	634	300	627	315
3	934	267	713	740
4	1201	183	731	792
5	1384	417	414	468
6	1801	250	289	553
7	2051	267	634	332
8	2317	267	724	288
9	2584	233	556	345
10	2817	283	344	508
11	3100	250	288	569
12	3351	183	179	598
13	3534	233	228	456
14	3767	183	259	438
15	3950	283	610	320
16	4234	300	963	220
17	4534	467	1027	200
18	5000	650	724	295
19	5650	367	782	326
20	6017	183	882	274
21	6200	313	938	150
22	6513	483	987	172
23	6996	483	1094	178
24	7479	300	703	263
25	7779	283	652	748
26	8062	400	466	447
27	8462	283	583	273
28	8745	300	803	704
29	9045	266	914	786
30	9311	250	898	176
31	9561	749	897	275
32	10311	183	671	509
33	10494	1016	504	521
34	11759	83	575	518
35	11842	216	510	514
36	12059	516	664	510
37	12575	166	352	515
38	12742	233	272	589
39	12975	216	653	376
40	13191	283	776	245
41	13475	350	300	598
42	13824	150	490	474
43	13974	216	697	281
44	14191	600	992	208
45	14790	200	374	557
46	14990	283	271	606
47	15273	217	462	530
48	15490	166	532	390
49	15656	266	871	211
50	15923	483	1062	200
51	16406	217	716	323
52	16623	333	427	494
53	16956	1299	297	605
54	18255	250	251	613
55	18505	366	363	564
56	18871	283	638	372
57	19154	216	943	220
58	19371	400	998	789
59	19771	117	1088	742
60	19887	250	1041	150
61	20137	233	960	113
62	20370	366	737	250
63	20737	300	918	142
64	21036	350	954	106
65	21386	266	969	72
66	21653	166	1008	93
67	21819	350	1048	173
68	22169	167	997	120
69	22336	250	728	241
70	22585	433	678	483
71	23018	683	823	515
72	23701	633	543	517
73	24334	566	744	515
74	24901	183	542	351
75	25084	233	284	322
76	25317	200	239	224
77	25517	266	987	349
78	25783	216	1074	464
79	26000	150	439	398
80	26150	200	259	438
81	26350	450	215	206
82	26799	250	242	379
83	27049	1183	260	424
84	28232	216	253	870
85	28448	766	273	359
86	29214	167	596	369
87	29381	250	895	299
88	29631	216	999	392
89	29847	350	1036	475
90	30197	216	1028	533
91	30414	266	1093	521
92	30680	283	774	366
93	30963	300	645	403
94	31263	200	1086	457
95	31463	233	1097	510
96	31696	266	866	887
97	31962	200	984	860
98	32162	233	918	403
99	32595	117	831	335
100	32712	183	1006	407
101	32895	283	605	408
102	33178	150	610	337
103	33328	183	920	309
104	33512	250	1008	388
105	33761	133	1044	458
106	33895	133	1027	490
107	34028	233	1020	553
108	34261	383	794	383
109	34644	233	1020	404
110	34877	183	728	507
111	35061	166	643	522
112	35227	1149	534	527
113	36376	383	521	272
114	36759	283	412	240
115	37042	167	452	135
116	37209	216	869	428
117	37426	250	1042	519
118	37675	266	609	288
119	37942	600	326	282
120	38542	250	623	279
121	38791	600	421	153
122	39391	200	492	152
123	39591	433	476	89
124	40024	166	449	154
125	40190	233	706	295
126	40424	383	1090	551
127	40807	183	925	488
128	40990	266	804	355
129	41256	616	713	257
130	41873	350	604	261
131	42222	250	830	381
132	42472	383	1010	513
133	42855	616	815	368
134	43472	167	904	479
135	43638	200	1000	558
136	43838	300	1069	598
137	44138	216	750	795
138	44354	233	653	844
139	44587	200	639	742
140	44787	216	676	807
141	45004	383	509	279
142	45387	350	410	795
143	45737	167	370	791
144	45903	250	449	226
145	46153	267	438	121
146	46420	167	551	438
147	46586	616	496	514
148	47202	450	668	512
149	47652	200	608	343
150	47852	300	1080	152
151	48152	500	896	234
152	48651	216	1055	202
153	48868	383	1113	102
154	49251	333	909	241
155	49584	366	645	337
156	49951	316	893	255
157	50267	200	1006	247
158	50467	300	1089	126
159	50767	333	784	239
160	51100	283	328	570
161	51383	183	317	617
162	51566	249	660	811
163	51815	166	982	146
164	51981	816	1124	88
165	52797	366	1161	63
166	53164	233	1026	171
167	53397	233	962	207
168	53630	283	876	182
169	53913	366	877	134
170	54280	266	903	195
171	54546	250	618	349
172	54796	1499	646	310
173	56295	166	685	852
174	56461	250	660	786
175	56711	583	676	261
176	57294	416	649	438
177	57711	233	539	498
178	57944	983	647	505
179	58926	316	532	293
180	59243	350	677	249
181	59593	383	387	255
182	59976	466	636	321
183	60442	316	364	321
184	60758	366	258	288
185	61125	150	550	320
186	61275	433	744	373
187	61708	583	578	268
188	62291	183	658	234
189	62474	316	907	306
190	62790	166	749	410
191	62957	283	697	203
