Data properties:				
Recording date: 2021/9/22				
Recording time: 17:34:21:000 (corresponds to time 0)				
Study: Test1				
Subject: P11				
Recording: Rec 07				
Screen resolution: 1280 x 1024				
Coordinate unit: Pixels				
Filter settings:				
Eye: Average				
Validity: Normal				
Fixation filter: Tobii fixation filter				
Fixation radius: 35				
FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY
0	554	233	840	320
1	787	100	391	502
2	2935	17	671	418
3	3119	116	792	323
4	3235	183	976	188
5	3418	100	918	196
6	5234	149	918	251
7	5383	251	954	176
8	5634	100	1038	156
9	6917	233	1139	188
10	7816	17	1083	919
11	8532	183	1118	158
12	8716	616	1114	199
13	9332	250	1068	203
14	9582	383	976	180
15	9965	283	1059	191
16	10381	267	719	581
17	10648	250	507	548
18	10898	167	766	544
19	11247	100	758	548
20	11347	217	833	546
21	12513	33	864	538
22	13846	50	711	594
23	14012	100	779	564
24	14279	216	825	552
25	14495	366	650	561
26	14862	233	775	537
27	16345	50	699	452
28	16644	117	476	443
29	16761	216	1049	145
30	16977	100	1121	205
31	17560	83	601	321
32	17643	233	1002	163
33	17877	467	1110	222
34	18343	183	1046	209
35	18776	17	1019	169
36	19576	100	1067	197
37	20125	283	1144	229
38	20408	215	1079	899
39	20623	167	1081	845
40	20790	166	1117	811
41	20957	383	1139	256
42	21340	267	1132	206
43	21723	550	1133	211
44	22272	316	1098	887
45	22589	316	1014	220
46	23039	200	502	467
47	23239	283	271	607
48	23521	350	950	294
49	23871	183	1153	209
50	26203	133	315	903
51	26336	150	278	856
52	26486	117	574	567
53	27202	34	549	492
54	27585	483	532	542
55	28218	133	622	514
56	28351	300	661	564
57	28918	450	811	549
58	30267	116	659	563
59	30533	183	600	368
60	30950	133	210	268
61	31082	183	203	188
62	31816	17	972	488
63	33248	150	690	382
64	33398	183	1053	410
65	34197	17	1133	446
66	34497	150	703	263
67	34647	150	439	249
68	34797	100	381	326
69	35546	17	1170	566
70	35846	17	1078	586
71	36113	183	1027	534
72	36296	100	1070	522
73	37162	83	1072	826
74	37245	100	1078	550
75	37345	200	1137	549
76	39593	500	979	375
