System Properties:					
Operating System:	 Microsoft Windows NT 6.2.9200.0				
System User Name:	 nuc				
Machine Name:	 DESKTOP-CHDADVS				
Data properties:					
Recording name:	 Rec 01				
Recording date:	 2021/8/26				
Recording time:	 15:49:36				
Recording resolution:	 1280 x 1024				
Export date:	 2021/8/26				
Export time:	 17:18:29				
Participant:	 Pan				
Timestamp	Event	EventKey	Data1	Data2	Descriptor
3056	ImageStart	8	0	0	5309.jpg
13038	ImageEnd	16	0	0	5309.jpg
13057	InstructionStart	2048	0	0	Instruction Element
15966	KeyPress	4	32	0	Space
15967	InstructionEnd	4096	0	0	Instruction Element
15999	ImageStart	8	0	0	2650.jpg
25994	ImageEnd	16	0	0	2650.jpg
26019	InstructionStart	2048	0	0	Instruction Element
26646	KeyPress	4	32	0	Space
26659	InstructionEnd	4096	0	0	Instruction Element
26691	ImageStart	8	0	0	2576.jpg
36668	ImageEnd	16	0	0	2576.jpg
36686	InstructionStart	2048	0	0	Instruction Element
37198	KeyPress	4	32	0	Space
37228	InstructionEnd	4096	0	0	Instruction Element
37257	ImageStart	8	0	0	5393.jpg
47235	ImageEnd	16	0	0	5393.jpg
47392	InstructionStart	2048	0	0	Instruction Element
47889	KeyPress	4	32	0	Space
47905	InstructionEnd	4096	0	0	Instruction Element
47938	ImageStart	8	0	0	2201.jpg
57929	ImageEnd	16	0	0	2201.jpg
57952	InstructionStart	2048	0	0	Instruction Element
59493	KeyPress	4	32	0	Space
59494	InstructionEnd	4096	0	0	Instruction Element
59532	ImageStart	8	0	0	2450.jpg
69518	ImageEnd	16	0	0	2450.jpg
69541	InstructionStart	2048	0	0	Instruction Element
70130	KeyPress	4	32	0	Space
70138	InstructionEnd	4096	0	0	Instruction Element
70186	ImageStart	8	0	0	2818.jpg
80165	ImageEnd	16	0	0	2818.jpg
80249	InstructionStart	2048	0	0	Instruction Element
80756	KeyPress	4	32	0	Space
80771	InstructionEnd	4096	0	0	Instruction Element
80807	ImageStart	8	0	0	2212.jpg
90786	ImageEnd	16	0	0	2212.jpg
90829	InstructionStart	2048	0	0	Instruction Element
94195	KeyPress	4	32	0	Space
94203	InstructionEnd	4096	0	0	Instruction Element
94241	ImageStart	8	0	0	3621.jpg
104223	ImageEnd	16	0	0	3621.jpg
104243	InstructionStart	2048	0	0	Instruction Element
104746	KeyPress	4	32	0	Space
104748	InstructionEnd	4096	0	0	Instruction Element
104783	ImageStart	8	0	0	3134.jpg
114774	ImageEnd	16	0	0	3134.jpg
115004	InstructionStart	2048	0	0	Instruction Element
118184	KeyPress	4	32	0	Space
118185	InstructionEnd	4096	0	0	Instruction Element
118214	ImageStart	8	0	0	2007.jpg
128202	ImageEnd	16	0	0	2007.jpg
128283	InstructionStart	2048	0	0	Instruction Element
129230	KeyPress	4	32	0	Space
129258	InstructionEnd	4096	0	0	Instruction Element
129290	ImageStart	8	0	0	3471.jpg
139266	ImageEnd	16	0	0	3471.jpg
139423	InstructionStart	2048	0	0	Instruction Element
139922	KeyPress	4	32	0	Space
139935	InstructionEnd	4096	0	0	Instruction Element
139983	ImageStart	8	0	0	1958.jpg
149957	ImageEnd	16	0	0	1958.jpg
149980	InstructionStart	2048	0	0	Instruction Element
151834	KeyPress	4	32	0	Space
151842	InstructionEnd	4096	0	0	Instruction Element
151870	ImageStart	8	0	0	3339.jpg
161854	ImageEnd	16	0	0	3339.jpg
161871	InstructionStart	2048	0	0	Instruction Element
162633	KeyPress	4	32	0	Space
162646	InstructionEnd	4096	0	0	Instruction Element
162673	ImageStart	8	0	0	2797.jpg
172655	ImageEnd	16	0	0	2797.jpg
172678	InstructionStart	2048	0	0	Instruction Element
173689	KeyPress	4	32	0	Space
173691	InstructionEnd	4096	0	0	Instruction Element
173722	ImageStart	8	0	0	3083.jpg
183702	ImageEnd	16	0	0	3083.jpg
183724	InstructionStart	2048	0	0	Instruction Element
184413	KeyPress	4	32	0	Space
184421	InstructionEnd	4096	0	0	Instruction Element
184450	ImageStart	8	0	0	2112.jpg
194432	ImageEnd	16	0	0	2112.jpg
194450	InstructionStart	2048	0	0	Instruction Element
195082	KeyPress	4	32	0	Space
195084	InstructionEnd	4096	0	0	Instruction Element
195119	ImageStart	8	0	0	1653.jpg
205088	ImageEnd	16	0	0	1653.jpg
205107	InstructionStart	2048	0	0	Instruction Element
205827	KeyPress	4	32	0	Space
205837	InstructionEnd	4096	0	0	Instruction Element
205865	ImageStart	8	0	0	3146.jpg
215853	ImageEnd	16	0	0	3146.jpg
215982	InstructionStart	2048	0	0	Instruction Element
217345	KeyPress	4	32	0	Space
217358	InstructionEnd	4096	0	0	Instruction Element
217385	ImageStart	8	0	0	3423.jpg
227369	ImageEnd	16	0	0	3423.jpg
227393	InstructionStart	2048	0	0	Instruction Element
246368	KeyPress	4	32	0	Space
246370	InstructionEnd	4096	0	0	Instruction Element
246402	ImageStart	8	0	0	3359.jpg
256396	ImageEnd	16	0	0	3359.jpg
256420	InstructionStart	2048	0	0	Instruction Element
257050	KeyPress	4	32	0	Space
257066	InstructionEnd	4096	0	0	Instruction Element
257099	ImageStart	8	0	0	3058.jpg
267072	ImageEnd	16	0	0	3058.jpg
267088	InstructionStart	2048	0	0	Instruction Element
267590	KeyPress	4	32	0	Space
267592	InstructionEnd	4096	0	0	Instruction Element
267629	ImageStart	8	0	0	3210.jpg
277609	ImageEnd	16	0	0	3210.jpg
277628	InstructionStart	2048	0	0	Instruction Element
278227	KeyPress	4	32	0	Space
278229	InstructionEnd	4096	0	0	Instruction Element
278258	ImageStart	8	0	0	3434.jpg
288228	ImageEnd	16	0	0	3434.jpg
288353	InstructionStart	2048	0	0	Instruction Element
288822	KeyPress	4	32	0	Space
288824	InstructionEnd	4096	0	0	Instruction Element
288858	ImageStart	8	0	0	5967.jpg
298840	ImageEnd	16	0	0	5967.jpg
298855	InstructionStart	2048	0	0	Instruction Element
299352	KeyPress	4	32	0	Space
299354	InstructionEnd	4096	0	0	Instruction Element
299388	ImageStart	8	0	0	6141.jpg
309372	ImageEnd	16	0	0	6141.jpg
309394	InstructionStart	2048	0	0	Instruction Element
309904	KeyPress	4	32	0	Space
309917	InstructionEnd	4096	0	0	Instruction Element
309951	ImageStart	8	0	0	3403.jpg
319943	ImageEnd	16	0	0	3403.jpg
320032	InstructionStart	2048	0	0	Instruction Element
320722	KeyPress	4	32	0	Space
320736	InstructionEnd	4096	0	0	Instruction Element
320769	ImageStart	8	0	0	1832.jpg
330751	ImageEnd	16	0	0	1832.jpg
330778	InstructionStart	2048	0	0	Instruction Element
331307	KeyPress	4	32	0	Space
331309	InstructionEnd	4096	0	0	Instruction Element
331343	ImageStart	8	0	0	2372.jpg
341329	ImageEnd	16	0	0	2372.jpg
341351	InstructionStart	2048	0	0	Instruction Element
342105	KeyPress	4	32	0	Space
342108	InstructionEnd	4096	0	0	Instruction Element
342142	ImageStart	8	0	0	3327.jpg
352128	ImageEnd	16	0	0	3327.jpg
352286	InstructionStart	2048	0	0	Instruction Element
353139	KeyPress	4	32	0	Space
353155	InstructionEnd	4096	0	0	Instruction Element
353189	ImageStart	8	0	0	2039.jpg
363166	ImageEnd	16	0	0	2039.jpg
363386	InstructionStart	2048	0	0	Instruction Element
363938	KeyPress	4	32	0	Space
363941	InstructionEnd	4096	0	0	Instruction Element
363974	ImageStart	8	0	0	1946.jpg
373955	ImageEnd	16	0	0	1946.jpg
374130	InstructionStart	2048	0	0	Instruction Element
374586	KeyPress	4	32	0	Space
374588	InstructionEnd	4096	0	0	Instruction Element
374624	ImageStart	8	0	0	2403.jpg
384606	ImageEnd	16	0	0	2403.jpg
384627	InstructionStart	2048	0	0	Instruction Element
387145	KeyPress	4	32	0	Space
387156	InstructionEnd	4096	0	0	Instruction Element
387208	ImageStart	8	0	0	1590.jpg
397181	ImageEnd	16	0	0	1590.jpg
397268	InstructionStart	2048	0	0	Instruction Element
