Data properties:				
Recording date: 2021/8/26				
Recording time: 15:49:36:000 (corresponds to time 0)				
Study: Test2				
Subject: Pan				
Recording: Rec 01				
Screen resolution: 1280 x 1024				
Coordinate unit: Pixels				
Filter settings:				
Eye: Average				
Validity: Normal				
Fixation filter: Tobii fixation filter				
Fixation radius: 35				
FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY
1	328	183	663	502
2	511	167	795	517
3	678	400	861	531
4	1194	200	834	566
5	1394	167	494	524
6	1560	533	408	522
7	2093	366	624	518
8	2460	583	873	548
9	3209	167	713	522
10	3376	183	955	512
11	3559	166	1108	580
12	3725	433	1155	620
13	4159	316	1068	615
14	4475	133	1026	572
15	4608	300	857	525
16	4908	716	1127	679
17	5624	150	1138	878
18	5774	233	1136	932
19	6007	167	1044	904
20	6174	216	972	570
21	6390	133	775	649
22	6524	316	738	844
23	6840	166	923	848
24	7006	216	971	562
25	7223	117	938	487
26	7340	333	399	249
27	7673	433	301	718
28	8106	166	446	780
29	8389	83	638	589
30	8472	300	783	560
31	8772	333	886	546
32	9105	167	998	690
33	9272	133	969	781
34	9405	100	943	821
35	9505	333	1025	622
36	9838	183	931	835
37	10021	216	1056	878
38	10237	250	722	832
39	10487	266	604	786
40	10754	266	987	612
41	11020	250	1113	635
42	11270	483	1138	662
43	11753	333	999	611
44	12086	500	1082	632
45	12586	200	995	598
46	12786	583	1088	626
47	13369	183	889	573
48	13552	383	843	543
49	13935	266	632	497
50	14201	216	695	507
51	14418	300	834	528
52	14718	300	568	534
53	15018	183	783	536
54	15201	1016	838	551
55	16217	150	1036	550
56	16367	383	1121	604
57	16750	150	1000	709
58	16900	300	1068	896
59	17432	266	650	838
60	17699	166	785	809
61	17865	150	813	551
62	18015	133	833	490
63	18149	167	1017	525
64	18315	849	1152	567
65	19165	116	1146	696
66	19281	150	1144	866
67	19431	233	1031	479
68	19664	100	843	388
69	19764	116	836	428
70	19881	300	747	414
71	20181	166	912	906
72	20347	150	1112	906
73	20497	683	1149	927
74	21180	500	1167	567
75	21679	167	1183	752
76	21846	266	1141	890
77	22113	2248	1139	584
78	24361	583	1067	784
79	24944	417	980	666
80	25360	650	1042	619
81	26010	233	965	549
82	26243	183	813	539
83	26426	550	676	522
84	26976	167	850	352
85	27143	150	1107	210
86	27293	483	1148	177
87	27775	183	1158	836
88	27959	233	1142	889
89	28192	366	1052	874
90	28558	250	1025	205
91	28808	500	1084	141
92	29308	832	1147	165
93	30140	216	1019	202
94	30356	1082	869	216
95	31439	250	789	237
96	31805	400	817	235
97	32205	316	1001	245
98	32521	533	1122	185
99	33054	333	1070	145
100	33554	150	966	139
101	33870	366	1013	158
102	34237	266	900	159
103	34503	266	863	192
104	34770	666	1147	162
105	35436	216	835	240
106	35652	183	988	764
107	35835	183	903	829
108	36019	167	828	812
109	36185	166	769	298
110	36352	316	858	251
111	36668	316	916	656
112	36984	516	777	479
113	37501	117	968	668
114	37617	133	1083	812
115	37750	100	1147	744
116	37850	216	1133	834
117	38067	283	1071	220
118	38350	833	1159	161
119	39183	533	1100	232
120	39715	233	1188	640
121	39949	201	1116	812
122	40150	483	882	438
123	40633	250	938	429
124	40883	250	961	394
125	41133	466	554	403
126	41599	250	832	331
127	41849	766	1004	309
128	42615	966	864	430
129	43581	700	970	415
130	44281	1049	944	372
131	45330	633	1029	284
132	45962	200	1120	219
133	46162	1349	1148	170
134	47511	183	1005	287
135	47694	450	824	512
136	48144	150	1038	484
137	48294	683	1148	489
138	48977	300	1084	486
139	49277	250	1138	503
140	49526	216	1139	681
141	49743	500	1134	545
142	50243	466	1150	505
143	50709	316	876	251
144	51026	233	804	222
145	51259	216	860	262
146	51475	383	1001	383
147	51858	200	1093	440
148	52058	267	1126	565
149	52325	166	1118	644
150	52491	167	1163	915
151	52658	116	1141	954
152	52774	333	1147	911
153	53108	416	1165	511
154	53524	200	1191	769
155	53724	166	1158	843
156	53890	1932	1163	521
157	55822	250	1165	717
158	56072	266	1134	628
159	56339	1699	1140	575
160	58038	200	1173	883
161	58237	183	865	613
162	58421	183	869	552
163	58604	466	792	530
164	59070	366	891	543
165	59437	300	1009	616
166	59736	217	1097	881
167	59953	383	1148	896
168	60336	383	1154	278
169	60719	366	1125	305
170	61085	250	1176	836
171	61335	283	1139	866
172	61618	217	1052	635
173	61835	633	1140	881
174	62468	216	857	336
175	62684	167	539	252
176	62851	316	488	202
177	63167	166	570	181
178	63334	183	1088	255
179	63517	550	1142	286
180	64067	483	1117	347
181	64550	216	1126	479
182	64766	383	991	417
183	65149	450	773	475
184	65599	150	837	561
185	65749	100	850	526
186	65849	200	724	835
187	66049	283	689	895
188	66332	250	979	532
189	66582	450	1071	387
190	67031	266	692	371
191	67298	383	535	349
