Data properties:

Recording date: 2019/11/13
Recording time: 10:01:58:000 (corresponds to time 0)
Study: Test3
Subject: HZT
Recording: HZT
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
1	263	216	758	480	
2	479	200	688	331	
3	679	233	358	229	
4	912	291	1036	763	
5	1204	283	1117	565	
6	1487	83	1090	524	
7	1570	125	649	284	
8	1695	291	309	188	
9	1987	175	191	177	
10	2311	75	369	891	
11	2386	75	327	772	
12	2461	58	385	916	
13	2520	142	288	965	
14	2661	67	244	835	
15	2728	117	265	934	
16	2844	58	261	869	
17	2902	50	290	924	
18	2952	67	269	870	
19	3019	167	286	920	
20	3186	50	223	853	
21	3236	416	287	917	
22	3652	58	279	235	
23	3710	75	323	275	
24	3785	58	320	346	
25	3844	58	315	301	
26	3902	175	399	302	
27	4077	266	697	305	
28	4343	275	607	265	
29	4618	92	683	240	
30	4710	50	693	203	
31	4760	375	681	238	
32	5134	350	851	374	
33	5484	250	909	391	
34	5734	83	893	435	
35	5817	166	1069	550	
36	5984	50	1183	595	
37	6034	150	1169	661	
38	6184	108	1159	909	
39	6292	100	1115	985	
40	6392	183	1165	926	
41	6575	58	1094	758	
42	6633	150	1043	765	
43	6783	175	1099	544	
44	6958	949	1165	582	
45	7907	275	1196	954	
46	8182	233	1175	910	
47	8415	83	1162	947	
48	8499	75	1096	968	
49	8574	1099	1175	917	
50	9673	92	1190	575	
51	9765	92	1151	600	
52	9856	483	1179	552	
53	10631	125	1141	531	
54	10756	125	839	388	
55	10880	133	826	428	
56	11014	116	1109	643	
57	11130	50	1095	706	
58	11180	67	1106	655	
59	11771	250	1062	635	
60	12021	158	1174	636	
61	12180	50	1185	595	
62	12779	192	1188	660	
63	12971	483	1124	480	
64	13454	358	1069	506	
65	13812	550	1161	448	
66	14361	416	1189	877	
67	14778	50	1136	833	
68	15019	67	537	231	
69	15086	50	526	283	
70	15136	108	544	246	
71	15244	191	555	154	
72	15436	333	220	211	
73	15769	358	380	277	
74	16127	158	341	755	
75	16285	150	344	989	
76	16435	158	457	936	
77	16593	142	485	886	
78	16735	150	530	921	
79	16885	92	514	975	
80	16976	158	558	905	
81	17135	150	587	856	
82	17284	300	571	894	
83	17584	75	538	922	
84	17659	50	575	889	
85	17709	158	713	826	
86	17867	416	588	158	
87	18284	475	696	327	
88	18758	416	861	324	
89	19175	75	975	766	
90	19250	67	1002	731	
91	19316	75	951	775	
92	19391	175	872	914	
93	19566	133	921	925	
94	19699	425	940	421	
95	20124	125	1058	571	
96	20249	75	1095	553	
97	20324	92	1065	578	
98	20416	383	1155	465	
99	20799	683	1195	874	
100	21481	200	1201	541	
101	21681	608	1166	432	
102	22289	125	968	501	
103	22414	250	630	239	
104	22947	133	1093	458	
105	23080	283	1162	471	
106	24238	8	1170	267	
107	25304	17	1288	89	
108	25445	17	1285	38	
109	25729	67	1242	21	
110	27194	8	1643	-358	
111	28668	25	1144	251	
112	28951	8	1126	229	
113	29401	117	1104	225	
114	29518	191	1041	202	
115	30209	92	1198	961	
116	30301	50	1226	917	
117	30350	67	1103	969	
118	31008	8	1191	219	
119	31150	42	1375	743	
120	32341	108	422	319	
121	32449	208	648	661	
122	32657	67	700	661	
123	33265	17	1052	246	
124	33498	242	1174	220	
125	33740	208	1256	883	
126	33948	50	1219	933	
127	38012	8	1023	152	
128	38304	641	1300	-18	
129	38945	216	1196	10	
130	39161	241	957	198	
131	39403	250	542	263	
132	39653	100	371	548	
133	40086	108	479	598	
134	40194	158	511	868	
135	40352	58	503	919	
136	40743	175	511	480	
137	41085	33	586	252	
138	41310	133	616	246	
139	41443	125	747	740	
140	42084	50	568	390	
141	42134	50	549	420	
142	42184	150	574	250	
143	42792	125	1195	634	
144	42917	158	1198	993	
145	43075	92	1241	889	
146	43392	42	1170	84	
147	43433	92	1171	195	
148	43525	308	1157	230	
149	43833	108	1169	287	
150	43941	133	1269	859	
151	44074	125	1172	905	
152	44199	50	1220	922	
153	44249	150	1152	946	
154	44399	50	1164	892	
155	44699	266	1127	238	
156	44966	216	1147	270	
157	45182	67	1105	305	
158	45249	208	1176	257	
159	45698	133	1091	229	
160	45832	283	833	227	
161	46115	233	1249	3	
162	46573	75	1270	7	
163	46648	100	1214	-1	
164	46748	108	1169	23	
165	47189	75	968	182	
166	47264	225	1140	924	
167	47489	83	1125	957	
168	47780	58	1152	957	
169	47838	133	1210	896	
170	47972	125	1168	923	
171	48954	75	1088	1066	
172	49029	83	1059	354	
173	49113	233	1094	411	
174	49346	83	1032	459	
175	49637	58	1305	-28	
176	50204	208	1232	-10	
177	50828	116	965	271	
178	50945	233	927	342	
179	51178	233	1117	362	
180	51411	167	1152	446	
181	51977	58	447	272	
182	52036	216	1167	347	
183	52252	208	1187	454	
184	52460	150	1160	837	
