System Properties:
Operating System:	 Microsoft Windows NT 6.2.9200.0
System User Name:	 gaozh
Machine Name:	 DESKTOP-D1BOOAD

Data properties:

Recording name:	 HZT
Recording date:	 2019/11/13
Recording time:	 10:01:58
Recording resolution:	 1280 x 1024

Export date:	 2019/11/13
Export time:	 10:12:33

Participant:	 HZT
Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ImageStart	8	0	0	2912_2.jpg	
9966	ImageEnd	16	0	0	2912_2.jpg	
10243	InstructionStart	2048	0	0	Instruction Element	
13130	KeyPress	4	32	0	Space	
13138	InstructionEnd	4096	0	0	Instruction Element	
13224	ImageStart	8	0	0	2748_1.jpg	
23173	ImageEnd	16	0	0	2748_1.jpg	
23388	InstructionStart	2048	0	0	Instruction Element	
27037	KeyPress	4	32	0	Space	
27047	InstructionEnd	4096	0	0	Instruction Element	
27125	ImageStart	8	0	0	2990_1.jpg	
37079	ImageEnd	16	0	0	2990_1.jpg	
37253	InstructionStart	2048	0	0	Instruction Element	
38904	KeyPress	4	32	0	Space	
38910	InstructionEnd	4096	0	0	Instruction Element	
38983	ImageStart	8	0	0	3013_1.jpg	
48954	ImageEnd	16	0	0	3013_1.jpg	
49214	InstructionStart	2048	0	0	Instruction Element	
50783	KeyPress	4	32	0	Space	
50801	InstructionEnd	4096	0	0	Instruction Element	
50896	ImageStart	8	0	0	2257_1.jpg	
60844	ImageEnd	16	0	0	2257_1.jpg	
61032	InstructionStart	2048	0	0	Instruction Element	
63707	KeyPress	4	32	0	Space	
63714	InstructionEnd	4096	0	0	Instruction Element	
63791	ImageStart	8	0	0	2972_3.jpg	
73748	ImageEnd	16	0	0	2972_3.jpg	
73931	InstructionStart	2048	0	0	Instruction Element	
75637	KeyPress	4	32	0	Space	
75641	InstructionEnd	4096	0	0	Instruction Element	
75709	ImageStart	8	0	0	2153_2.jpg	
85673	ImageEnd	16	0	0	2153_2.jpg	
85816	InstructionStart	2048	0	0	Instruction Element	
87450	KeyPress	4	32	0	Space	
87457	InstructionEnd	4096	0	0	Instruction Element	
87546	ImageStart	8	0	0	2724_1.jpg	
97505	ImageEnd	16	0	0	2724_1.jpg	
97734	InstructionStart	2048	0	0	Instruction Element	
99362	KeyPress	4	32	0	Space	
99378	InstructionEnd	4096	0	0	Instruction Element	
99456	ImageStart	8	0	0	2281_1.jpg	
109429	ImageEnd	16	0	0	2281_1.jpg	
109488	InstructionStart	2048	0	0	Instruction Element	
111186	KeyPress	4	32	0	Space	
111192	InstructionEnd	4096	0	0	Instruction Element	
111280	ImageStart	8	0	0	2939_1.jpg	
121238	ImageEnd	16	0	0	2939_1.jpg	
121512	InstructionStart	2048	0	0	Instruction Element	
122939	KeyPress	4	32	0	Space	
122950	InstructionEnd	4096	0	0	Instruction Element	
123046	ImageStart	8	0	0	2114_3.jpg	
132988	ImageEnd	16	0	0	2114_3.jpg	
133217	InstructionStart	2048	0	0	Instruction Element	
134643	KeyPress	4	32	0	Space	
134655	InstructionEnd	4096	0	0	Instruction Element	
134748	ImageStart	8	0	0	2840_2.jpg	
144691	ImageEnd	16	0	0	2840_2.jpg	
144905	InstructionStart	2048	0	0	Instruction Element	
146479	KeyPress	4	32	0	Space	
146487	InstructionEnd	4096	0	0	Instruction Element	
146561	ImageStart	8	0	0	2686_3.jpg	
156536	ImageEnd	16	0	0	2686_3.jpg	
156636	InstructionStart	2048	0	0	Instruction Element	
158189	KeyPress	4	32	0	Space	
158209	InstructionEnd	4096	0	0	Instruction Element	
158290	ImageStart	8	0	0	2140_1.jpg	
168254	ImageEnd	16	0	0	2140_1.jpg	
168467	InstructionStart	2048	0	0	Instruction Element	
169774	KeyPress	4	32	0	Space	
169780	InstructionEnd	4096	0	0	Instruction Element	
169864	ImageStart	8	0	0	2684_2.jpg	
179814	ImageEnd	16	0	0	2684_2.jpg	
180065	InstructionStart	2048	0	0	Instruction Element	
181859	KeyPress	4	32	0	Space	
181877	InstructionEnd	4096	0	0	Instruction Element	
181968	ImageStart	8	0	0	2863_2.jpg	
191907	ImageEnd	16	0	0	2863_2.jpg	
192205	InstructionStart	2048	0	0	Instruction Element	
193794	KeyPress	4	32	0	Space	
193815	InstructionEnd	4096	0	0	Instruction Element	
193874	ImageStart	8	0	0	3028_2.jpg	
203845	ImageEnd	16	0	0	3028_2.jpg	
203904	InstructionStart	2048	0	0	Instruction Element	
206037	KeyPress	4	32	0	Space	
206043	InstructionEnd	4096	0	0	Instruction Element	
206132	ImageStart	8	0	0	2889_2.jpg	
216082	ImageEnd	16	0	0	2889_2.jpg	
216116	InstructionStart	2048	0	0	Instruction Element	
218078	KeyPress	4	32	0	Space	
218097	InstructionEnd	4096	0	0	Instruction Element	
218171	ImageStart	8	0	0	5488_2.jpg	
228142	ImageEnd	16	0	0	5488_2.jpg	
228317	InstructionStart	2048	0	0	Instruction Element	
229617	KeyPress	4	32	0	Space	
229630	InstructionEnd	4096	0	0	Instruction Element	
229726	ImageStart	8	0	0	2711_2.jpg	
239676	ImageEnd	16	0	0	2711_2.jpg	
239882	InstructionStart	2048	0	0	Instruction Element	
242440	KeyPress	4	32	0	Space	
242454	InstructionEnd	4096	0	0	Instruction Element	
242542	ImageStart	8	0	0	3279_2.jpg	
252487	ImageEnd	16	0	0	3279_2.jpg	
252697	InstructionStart	2048	0	0	Instruction Element	
254273	KeyPress	4	32	0	Space	
254277	InstructionEnd	4096	0	0	Instruction Element	
254363	ImageStart	8	0	0	6531_3.jpg	
264312	ImageEnd	16	0	0	6531_3.jpg	
264616	InstructionStart	2048	0	0	Instruction Element	
266120	KeyPress	4	32	0	Space	
266142	InstructionEnd	4096	0	0	Instruction Element	
266236	ImageStart	8	0	0	5446_1.jpg	
276172	ImageEnd	16	0	0	5446_1.jpg	
276317	InstructionStart	2048	0	0	Instruction Element	
277698	KeyPress	4	32	0	Space	
277704	InstructionEnd	4096	0	0	Instruction Element	
277779	ImageStart	8	0	0	6254_3.jpg	
287755	ImageEnd	16	0	0	6254_3.jpg	
287855	InstructionStart	2048	0	0	Instruction Element	
289162	KeyPress	4	32	0	Space	
289169	InstructionEnd	4096	0	0	Instruction Element	
289257	ImageStart	8	0	0	3517_2.jpg	
299205	ImageEnd	16	0	0	3517_2.jpg	
299444	InstructionStart	2048	0	0	Instruction Element	
300870	KeyPress	4	32	0	Space	
300875	InstructionEnd	4096	0	0	Instruction Element	
300945	ImageStart	8	0	0	5463_2.jpg	
310905	ImageEnd	16	0	0	5463_2.jpg	
311127	InstructionStart	2048	0	0	Instruction Element	
312565	KeyPress	4	32	0	Space	
312579	InstructionEnd	4096	0	0	Instruction Element	
312644	ImageStart	8	0	0	6198_1.jpg	
322612	ImageEnd	16	0	0	6198_1.jpg	
322815	InstructionStart	2048	0	0	Instruction Element	
324828	KeyPress	4	32	0	Space	
324841	InstructionEnd	4096	0	0	Instruction Element	
324927	ImageStart	8	0	0	6305_1.jpg	
334879	ImageEnd	16	0	0	6305_1.jpg	
335080	InstructionStart	2048	0	0	Instruction Element	
337785	KeyPress	4	32	0	Space	
337796	InstructionEnd	4096	0	0	Instruction Element	
337872	ImageStart	8	0	0	6450_1.jpg	
347826	ImageEnd	16	0	0	6450_1.jpg	
347983	InstructionStart	2048	0	0	Instruction Element	
349176	KeyPress	4	32	0	Space	
349183	InstructionEnd	4096	0	0	Instruction Element	
349277	ImageStart	8	0	0	1895_2.jpg	
359221	ImageEnd	16	0	0	1895_2.jpg	
359428	InstructionStart	2048	0	0	Instruction Element	
361176	KeyPress	4	32	0	Space	
361189	InstructionEnd	4096	0	0	Instruction Element	
361272	ImageStart	8	0	0	6315_3.jpg	
371232	ImageEnd	16	0	0	6315_3.jpg	
371422	InstructionStart	2048	0	0	Instruction Element	
372882	KeyPress	4	32	0	Space	
372892	InstructionEnd	4096	0	0	Instruction Element	
372970	ImageStart	8	0	0	1689_3.jpg	
382934	ImageEnd	16	0	0	1689_3.jpg	
383125	InstructionStart	2048	0	0	Instruction Element	
384627	KeyPress	4	32	0	Space	
384631	InstructionEnd	4096	0	0	Instruction Element	
384696	ImageStart	8	0	0	5990_2.jpg	
394659	ImageEnd	16	0	0	5990_2.jpg	
394857	InstructionStart	2048	0	0	Instruction Element	
397141	KeyPress	4	32	0	Space	
397145	InstructionEnd	4096	0	0	Instruction Element	
397232	ImageStart	8	0	0	6016_2.jpg	
407188	ImageEnd	16	0	0	6016_2.jpg	
407348	InstructionStart	2048	0	0	Instruction Element	
408813	KeyPress	4	32	0	Space	
408833	InstructionEnd	4096	0	0	Instruction Element	
408919	ImageStart	8	0	0	5435_3.jpg	
418875	ImageEnd	16	0	0	5435_3.jpg	
419077	InstructionStart	2048	0	0	Instruction Element	
420623	KeyPress	4	32	0	Space	
420629	InstructionEnd	4096	0	0	Instruction Element	
420699	ImageStart	8	0	0	5355_1.jpg	
430662	ImageEnd	16	0	0	5355_1.jpg	
430855	InstructionStart	2048	0	0	Instruction Element	
432617	KeyPress	4	32	0	Space	
432622	InstructionEnd	4096	0	0	Instruction Element	
432711	ImageStart	8	0	0	6245_3.jpg	
442657	ImageEnd	16	0	0	6245_3.jpg	
442876	InstructionStart	2048	0	0	Instruction Element	
444402	KeyPress	4	32	0	Space	
444412	InstructionEnd	4096	0	0	Instruction Element	
444465	ImageStart	8	0	0	5247_2.jpg	
454439	ImageEnd	16	0	0	5247_2.jpg	
454741	InstructionStart	2048	0	0	Instruction Element	
455907	KeyPress	4	32	0	Space	
455911	InstructionEnd	4096	0	0	Instruction Element	
455984	ImageStart	8	0	0	6518_3.jpg	
465957	ImageEnd	16	0	0	6518_3.jpg	
