System Properties:					
Operating System:	 Microsoft Windows NT 6.2.9200.0				
System User Name:	 nuc				
Machine Name:	 DESKTOP-CHDADVS				
Data properties:					
Recording name:	 Rec 11				
Recording date:	 2021/10/3				
Recording time:	 16:28:24				
Recording resolution:	 1280 x 1024				
Export date:	 2021/10/3				
Export time:	 17:32:58				
Participant:	 p15				
Timestamp	Event	EventKey	Data1	Data2	Descriptor
0	ImageStart	8	0	0	2912.jpg
9968	ImageEnd	16	0	0	2912.jpg
10130	InstructionStart	2048	0	0	Instruction Element
10765	KeyPress	4	32	0	Space
10766	InstructionEnd	4096	0	0	Instruction Element
10794	ImageStart	8	0	0	2748.jpg
20776	ImageEnd	16	0	0	2748.jpg
20940	InstructionStart	2048	0	0	Instruction Element
21853	KeyPress	4	32	0	Space
21868	InstructionEnd	4096	0	0	Instruction Element
21898	ImageStart	8	0	0	2990.jpg
31877	ImageEnd	16	0	0	2990.jpg
32003	InstructionStart	2048	0	0	Instruction Element
32673	KeyPress	4	32	0	Space
32675	InstructionEnd	4096	0	0	Instruction Element
32701	ImageStart	8	0	0	3013.jpg
42680	ImageEnd	16	0	0	3013.jpg
42736	InstructionStart	2048	0	0	Instruction Element
43578	KeyPress	4	32	0	Space
43579	InstructionEnd	4096	0	0	Instruction Element
43610	ImageStart	8	0	0	2257.jpg
53576	ImageEnd	16	0	0	2257.jpg
53591	InstructionStart	2048	0	0	Instruction Element
54710	KeyPress	4	32	0	Space
54712	InstructionEnd	4096	0	0	Instruction Element
54742	ImageStart	8	0	0	2972.jpg
64716	ImageEnd	16	0	0	2972.jpg
64733	InstructionStart	2048	0	0	Instruction Element
65723	KeyPress	4	32	0	Space
65724	InstructionEnd	4096	0	0	Instruction Element
65752	ImageStart	8	0	0	2153.jpg
75746	ImageEnd	16	0	0	2153.jpg
75867	InstructionStart	2048	0	0	Instruction Element
76683	KeyPress	4	32	0	Space
76694	InstructionEnd	4096	0	0	Instruction Element
76721	ImageStart	8	0	0	2724.jpg
86702	ImageEnd	16	0	0	2724.jpg
86718	InstructionStart	2048	0	0	Instruction Element
87996	InstructionEnd	4096	0	0	Instruction Element
87996	KeyPress	4	32	0	Space
88025	ImageStart	8	0	0	2281.jpg
98014	ImageEnd	16	0	0	2281.jpg
98038	InstructionStart	2048	0	0	Instruction Element
99277	KeyPress	4	32	0	Space
99290	InstructionEnd	4096	0	0	Instruction Element
99320	ImageStart	8	0	0	2939.jpg
109307	ImageEnd	16	0	0	2939.jpg
109327	InstructionStart	2048	0	0	Instruction Element
110128	KeyPress	4	32	0	Space
110129	InstructionEnd	4096	0	0	Instruction Element
110157	ImageStart	8	0	0	2114.jpg
120143	ImageEnd	16	0	0	2114.jpg
120303	InstructionStart	2048	0	0	Instruction Element
121324	KeyPress	4	32	0	Space
121330	InstructionEnd	4096	0	0	Instruction Element
121357	ImageStart	8	0	0	2840.jpg
131337	ImageEnd	16	0	0	2840.jpg
131417	InstructionStart	2048	0	0	Instruction Element
134033	KeyPress	4	32	0	Space
134034	InstructionEnd	4096	0	0	Instruction Element
134063	ImageStart	8	0	0	2686.jpg
144054	ImageEnd	16	0	0	2686.jpg
144069	InstructionStart	2048	0	0	Instruction Element
145079	KeyPress	4	32	0	Space
145080	InstructionEnd	4096	0	0	Instruction Element
145108	ImageStart	8	0	0	2140.jpg
155088	ImageEnd	16	0	0	2140.jpg
155107	InstructionStart	2048	0	0	Instruction Element
156016	KeyPress	4	32	0	Space
156017	InstructionEnd	4096	0	0	Instruction Element
156046	ImageStart	8	0	0	2684.jpg
166022	ImageEnd	16	0	0	2684.jpg
166158	InstructionStart	2048	0	0	Instruction Element
167278	KeyPress	4	32	0	Space
167279	InstructionEnd	4096	0	0	Instruction Element
167306	ImageStart	8	0	0	2863.jpg
177284	ImageEnd	16	0	0	2863.jpg
177302	InstructionStart	2048	0	0	Instruction Element
178504	KeyPress	4	32	0	Space
178516	InstructionEnd	4096	0	0	Instruction Element
178544	ImageStart	8	0	0	3028.jpg
188528	ImageEnd	16	0	0	3028.jpg
188544	InstructionStart	2048	0	0	Instruction Element
189453	KeyPress	4	32	0	Space
189454	InstructionEnd	4096	0	0	Instruction Element
189482	ImageStart	8	0	0	2889.jpg
199456	ImageEnd	16	0	0	2889.jpg
199475	InstructionStart	2048	0	0	Instruction Element
200283	KeyPress	4	32	0	Space
200284	InstructionEnd	4096	0	0	Instruction Element
200312	ImageStart	8	0	0	5488.jpg
210283	ImageEnd	16	0	0	5488.jpg
210376	InstructionStart	2048	0	0	Instruction Element
211189	KeyPress	4	32	0	Space
211190	InstructionEnd	4096	0	0	Instruction Element
211219	ImageStart	8	0	0	2711.jpg
221205	ImageEnd	16	0	0	2711.jpg
221283	InstructionStart	2048	0	0	Instruction Element
222020	KeyPress	4	32	0	Space
222029	InstructionEnd	4096	0	0	Instruction Element
222056	ImageStart	8	0	0	3279.jpg
232033	ImageEnd	16	0	0	3279.jpg
232190	InstructionStart	2048	0	0	Instruction Element
233000	KeyPress	4	32	0	Space
233001	InstructionEnd	4096	0	0	Instruction Element
233030	ImageStart	8	0	0	6531.jpg
243006	ImageEnd	16	0	0	6531.jpg
243022	InstructionStart	2048	0	0	Instruction Element
243767	KeyPress	4	32	0	Space
243769	InstructionEnd	4096	0	0	Instruction Element
243797	ImageStart	8	0	0	5446.jpg
253789	ImageEnd	16	0	0	5446.jpg
253807	InstructionStart	2048	0	0	Instruction Element
254854	KeyPress	4	32	0	Space
254858	InstructionEnd	4096	0	0	Instruction Element
254886	ImageStart	8	0	0	6254.jpg
264858	ImageEnd	16	0	0	6254.jpg
264944	InstructionStart	2048	0	0	Instruction Element
265922	KeyPress	4	32	0	Space
265923	InstructionEnd	4096	0	0	Instruction Element
265952	ImageStart	8	0	0	3517.jpg
275928	ImageEnd	16	0	0	3517.jpg
275942	InstructionStart	2048	0	0	Instruction Element
277064	KeyPress	4	32	0	Space
277076	InstructionEnd	4096	0	0	Instruction Element
277102	ImageStart	8	0	0	5463.jpg
287076	ImageEnd	16	0	0	5463.jpg
287091	InstructionStart	2048	0	0	Instruction Element
288024	KeyPress	4	32	0	Space
288039	InstructionEnd	4096	0	0	Instruction Element
288066	ImageStart	8	0	0	6198.jpg
298059	ImageEnd	16	0	0	6198.jpg
298314	InstructionStart	2048	0	0	Instruction Element
299325	KeyPress	4	32	0	Space
299326	InstructionEnd	4096	0	0	Instruction Element
299357	ImageStart	8	0	0	6305.jpg
309326	ImageEnd	16	0	0	6305.jpg
309346	InstructionStart	2048	0	0	Instruction Element
310211	KeyPress	4	32	0	Space
310221	InstructionEnd	4096	0	0	Instruction Element
310248	ImageStart	8	0	0	6450.jpg
320223	ImageEnd	16	0	0	6450.jpg
320242	InstructionStart	2048	0	0	Instruction Element
321835	KeyPress	4	32	0	Space
321836	InstructionEnd	4096	0	0	Instruction Element
321864	ImageStart	8	0	0	1895.jpg
331855	ImageEnd	16	0	0	1895.jpg
331872	InstructionStart	2048	0	0	Instruction Element
332848	KeyPress	4	32	0	Space
332848	InstructionEnd	4096	0	0	Instruction Element
332877	ImageStart	8	0	0	6315.jpg
342865	ImageEnd	16	0	0	6315.jpg
342882	InstructionStart	2048	0	0	Instruction Element
343969	KeyPress	4	32	0	Space
343970	InstructionEnd	4096	0	0	Instruction Element
344000	ImageStart	8	0	0	1689.jpg
353972	ImageEnd	16	0	0	1689.jpg
353989	InstructionStart	2048	0	0	Instruction Element
355325	KeyPress	4	32	0	Space
355326	InstructionEnd	4096	0	0	Instruction Element
355355	ImageStart	8	0	0	5990.jpg
365332	ImageEnd	16	0	0	5990.jpg
365349	InstructionStart	2048	0	0	Instruction Element
366360	KeyPress	4	32	0	Space
366361	InstructionEnd	4096	0	0	Instruction Element
366390	ImageStart	8	0	0	6016.jpg
376371	ImageEnd	16	0	0	6016.jpg
376388	InstructionStart	2048	0	0	Instruction Element
