Data properties:				
Recording date: 2021/10/3				
Recording time: 16:28:24:000 (corresponds to time 0)				
Study: Test3				
Subject: p15				
Recording: Rec 11				
Screen resolution: 1280 x 1024				
Coordinate unit: Pixels				
Filter settings:				
Eye: Average				
Validity: Normal				
Fixation filter: Tobii fixation filter				
Fixation radius: 35				
FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY
1	25	233	168	536
2	258	183	434	338
3	441	116	1107	542
4	558	100	1082	567
5	658	200	1124	563
6	858	383	536	272
7	1241	117	1189	619
8	1357	116	1151	596
9	1474	133	1137	535
10	1607	266	685	293
11	1873	599	370	250
12	2472	416	794	303
13	2889	333	407	265
14	3222	451	245	193
15	3856	200	497	245
16	4056	316	1017	478
17	4372	283	1133	595
18	4655	217	713	736
19	4872	217	1068	913
20	5088	167	1118	927
21	5255	200	977	493
22	5455	233	691	338
23	5688	583	577	285
24	6271	283	1115	583
25	6554	200	1163	570
26	6754	250	650	338
27	7004	433	346	291
28	7437	282	884	383
29	7719	200	1086	548
30	7919	200	1135	595
31	8119	233	1136	559
32	8352	100	780	438
33	8452	133	774	371
34	8585	167	823	347
35	8752	483	1133	566
36	9235	183	1019	466
37	9418	350	691	331
38	9768	300	497	270
39	10067	316	833	362
40	10384	200	612	532
41	10584	233	655	516
42	10817	183	647	561
43	11000	216	383	296
44	11216	233	1094	485
45	11450	183	1122	442
46	11633	250	658	289
47	11883	217	1127	496
48	12099	183	1160	449
49	12282	333	576	287
50	12615	283	1130	502
51	13065	883	583	295
52	13948	466	810	301
53	14564	566	462	275
54	15130	416	265	212
55	15546	183	596	756
56	15730	250	578	698
57	15980	250	618	1452
58	16229	117	543	412
59	16346	167	537	479
60	16512	166	558	1415
61	16679	483	612	1511
62	17162	116	811	364
63	17278	100	822	415
64	17378	200	1109	496
65	17578	200	1119	439
66	17778	500	460	222
67	18278	516	398	209
68	18794	550	840	293
69	19344	216	1091	496
70	19560	333	1120	455
71	19893	717	709	383
72	20611	200	1038	415
73	20810	216	1125	439
74	21027	183	577	367
75	21210	266	472	501
76	21477	183	502	522
