System Properties:					
Operating System:	 Microsoft Windows NT 6.2.9200.0				
System User Name:	 nuc				
Machine Name:	 DESKTOP-CHDADVS				
Data properties:					
Recording name:	 Rec 12				
Recording date:	 2021/10/3				
Recording time:	 17:02:52				
Recording resolution:	 1280 x 1024				
Export date:	 2021/10/3				
Export time:	 17:32:17				
Participant:	 P16				
Timestamp	Event	EventKey	Data1	Data2	Descriptor
0	ImageStart	8	0	0	2912.jpg
9984	ImageEnd	16	0	0	2912.jpg
9999	InstructionStart	2048	0	0	Instruction Element
15366	KeyPress	4	32	0	Space
15367	InstructionEnd	4096	0	0	Instruction Element
15415	ImageStart	8	0	0	2748.jpg
25407	ImageEnd	16	0	0	2748.jpg
25423	InstructionStart	2048	0	0	Instruction Element
26195	KeyPress	4	32	0	Space
26196	InstructionEnd	4096	0	0	Instruction Element
26247	ImageStart	8	0	0	2990.jpg
36225	ImageEnd	16	0	0	2990.jpg
36240	InstructionStart	2048	0	0	Instruction Element
37640	KeyPress	4	32	0	Space
37649	InstructionEnd	4096	0	0	Instruction Element
37687	ImageStart	8	0	0	3013.jpg
47672	ImageEnd	16	0	0	3013.jpg
47691	InstructionStart	2048	0	0	Instruction Element
48180	KeyPress	4	32	0	Space
48180	InstructionEnd	4096	0	0	Instruction Element
48221	ImageStart	8	0	0	2257.jpg
58197	ImageEnd	16	0	0	2257.jpg
58258	InstructionStart	2048	0	0	Instruction Element
62134	KeyPress	4	32	0	Space
62160	InstructionEnd	4096	0	0	Instruction Element
62198	ImageStart	8	0	0	2972.jpg
72178	ImageEnd	16	0	0	2972.jpg
72193	InstructionStart	2048	0	0	Instruction Element
74370	KeyPress	4	32	0	Space
74371	InstructionEnd	4096	0	0	Instruction Element
74408	ImageStart	8	0	0	2153.jpg
84382	ImageEnd	16	0	0	2153.jpg
84400	InstructionStart	2048	0	0	Instruction Element
85277	KeyPress	4	32	0	Space
85279	InstructionEnd	4096	0	0	Instruction Element
85315	ImageStart	8	0	0	2724.jpg
95300	ImageEnd	16	0	0	2724.jpg
95400	InstructionStart	2048	0	0	Instruction Element
97781	KeyPress	4	32	0	Space
97782	InstructionEnd	4096	0	0	Instruction Element
97822	ImageStart	8	0	0	2281.jpg
107813	ImageEnd	16	0	0	2281.jpg
107832	InstructionStart	2048	0	0	Instruction Element
110725	KeyPress	4	32	0	Space
110725	InstructionEnd	4096	0	0	Instruction Element
110764	ImageStart	8	0	0	2939.jpg
120745	ImageEnd	16	0	0	2939.jpg
120827	InstructionStart	2048	0	0	Instruction Element
122405	KeyPress	4	32	0	Space
122417	InstructionEnd	4096	0	0	Instruction Element
122454	ImageStart	8	0	0	2114.jpg
132428	ImageEnd	16	0	0	2114.jpg
132448	InstructionStart	2048	0	0	Instruction Element
133535	KeyPress	4	32	0	Space
133537	InstructionEnd	4096	0	0	Instruction Element
133575	ImageStart	8	0	0	2840.jpg
143564	ImageEnd	16	0	0	2840.jpg
143776	InstructionStart	2048	0	0	Instruction Element
146481	KeyPress	4	32	0	Space
146493	InstructionEnd	4096	0	0	Instruction Element
146530	ImageStart	8	0	0	2686.jpg
156516	ImageEnd	16	0	0	2686.jpg
156531	InstructionStart	2048	0	0	Instruction Element
158535	KeyPress	4	32	0	Space
158551	InstructionEnd	4096	0	0	Instruction Element
158588	ImageStart	8	0	0	2140.jpg
168576	ImageEnd	16	0	0	2140.jpg
168729	InstructionStart	2048	0	0	Instruction Element
169087	KeyPress	4	32	0	Space
169088	InstructionEnd	4096	0	0	Instruction Element
169129	ImageStart	8	0	0	2684.jpg
179111	ImageEnd	16	0	0	2684.jpg
179291	InstructionStart	2048	0	0	Instruction Element
180904	KeyPress	4	32	0	Space
180911	InstructionEnd	4096	0	0	Instruction Element
180950	ImageStart	8	0	0	2863.jpg
190936	ImageEnd	16	0	0	2863.jpg
190954	InstructionStart	2048	0	0	Instruction Element
191617	KeyPress	4	32	0	Space
191632	InstructionEnd	4096	0	0	Instruction Element
191670	ImageStart	8	0	0	3028.jpg
201646	ImageEnd	16	0	0	3028.jpg
201660	InstructionStart	2048	0	0	Instruction Element
207107	KeyPress	4	32	0	Space
207108	InstructionEnd	4096	0	0	Instruction Element
207146	ImageStart	8	0	0	2889.jpg
217116	ImageEnd	16	0	0	2889.jpg
217166	InstructionStart	2048	0	0	Instruction Element
219976	KeyPress	4	32	0	Space
219978	InstructionEnd	4096	0	0	Instruction Element
220016	ImageStart	8	0	0	5488.jpg
229999	ImageEnd	16	0	0	5488.jpg
230015	InstructionStart	2048	0	0	Instruction Element
233233	KeyPress	4	32	0	Space
233239	InstructionEnd	4096	0	0	Instruction Element
233279	ImageStart	8	0	0	2711.jpg
243259	ImageEnd	16	0	0	2711.jpg
243438	InstructionStart	2048	0	0	Instruction Element
243763	KeyPress	4	32	0	Space
243764	InstructionEnd	4096	0	0	Instruction Element
243908	ImageStart	8	0	0	3279.jpg
253884	ImageEnd	16	0	0	3279.jpg
253999	InstructionStart	2048	0	0	Instruction Element
254466	KeyPress	4	32	0	Space
254467	InstructionEnd	4096	0	0	Instruction Element
254506	ImageStart	8	0	0	6531.jpg
264474	ImageEnd	16	0	0	6531.jpg
264491	InstructionStart	2048	0	0	Instruction Element
266325	KeyPress	4	32	0	Space
266339	InstructionEnd	4096	0	0	Instruction Element
266385	ImageStart	8	0	0	5446.jpg
276370	ImageEnd	16	0	0	5446.jpg
276387	InstructionStart	2048	0	0	Instruction Element
278766	KeyPress	4	32	0	Space
278781	InstructionEnd	4096	0	0	Instruction Element
278833	ImageStart	8	0	0	6254.jpg
288814	ImageEnd	16	0	0	6254.jpg
288931	InstructionStart	2048	0	0	Instruction Element
292162	KeyPress	4	32	0	Space
292163	InstructionEnd	4096	0	0	Instruction Element
292200	ImageStart	8	0	0	3517.jpg
302184	ImageEnd	16	0	0	3517.jpg
302200	InstructionStart	2048	0	0	Instruction Element
302617	KeyPress	4	32	0	Space
302619	InstructionEnd	4096	0	0	Instruction Element
302656	ImageStart	8	0	0	5463.jpg
312640	ImageEnd	16	0	0	5463.jpg
312655	InstructionStart	2048	0	0	Instruction Element
314778	KeyPress	4	32	0	Space
314787	InstructionEnd	4096	0	0	Instruction Element
314827	ImageStart	8	0	0	6198.jpg
324801	ImageEnd	16	0	0	6198.jpg
324816	InstructionStart	2048	0	0	Instruction Element
325298	KeyPress	4	32	0	Space
325302	InstructionEnd	4096	0	0	Instruction Element
325341	ImageStart	8	0	0	6305.jpg
335328	ImageEnd	16	0	0	6305.jpg
335347	InstructionStart	2048	0	0	Instruction Element
339745	KeyPress	4	32	0	Space
339747	InstructionEnd	4096	0	0	Instruction Element
339786	ImageStart	8	0	0	6450.jpg
349757	ImageEnd	16	0	0	6450.jpg
349806	InstructionStart	2048	0	0	Instruction Element
350264	KeyPress	4	32	0	Space
350277	InstructionEnd	4096	0	0	Instruction Element
350318	ImageStart	8	0	0	1895.jpg
360297	ImageEnd	16	0	0	1895.jpg
360433	InstructionStart	2048	0	0	Instruction Element
360827	KeyPress	4	32	0	Space
360833	InstructionEnd	4096	0	0	Instruction Element
360873	ImageStart	8	0	0	6315.jpg
370852	ImageEnd	16	0	0	6315.jpg
370866	InstructionStart	2048	0	0	Instruction Element
371508	KeyPress	4	32	0	Space
371510	InstructionEnd	4096	0	0	Instruction Element
371549	ImageStart	8	0	0	1689.jpg
381533	ImageEnd	16	0	0	1689.jpg
381548	InstructionStart	2048	0	0	Instruction Element
385204	KeyPress	4	32	0	Space
385210	InstructionEnd	4096	0	0	Instruction Element
385248	ImageStart	8	0	0	5990.jpg
395229	ImageEnd	16	0	0	5990.jpg
395251	InstructionStart	2048	0	0	Instruction Element
399126	KeyPress	4	32	0	Space
399132	InstructionEnd	4096	0	0	Instruction Element
399170	ImageStart	8	0	0	6016.jpg
409156	ImageEnd	16	0	0	6016.jpg
409171	InstructionStart	2048	0	0	Instruction Element
