System Properties:					
Operating System:	 Microsoft Windows NT 6.2.9200.0				
System User Name:	 nuc				
Machine Name:	 DESKTOP-CHDADVS				
Data properties:					
Recording name:	 Rec 06				
Recording date:	 2021/9/22				
Recording time:	 17:07:15				
Recording resolution:	 1280 x 1024				
Export date:	 2021/9/22				
Export time:	 18:56:44				
Participant:	 P10				
Timestamp	Event	EventKey	Data1	Data2	Descriptor
0	ImageStart	8	0	0	5309.jpg
9980	ImageEnd	16	0	0	5309.jpg
10120	InstructionStart	2048	0	0	Instruction Element
13367	KeyPress	4	32	0	Space
13379	InstructionEnd	4096	0	0	Instruction Element
13427	ImageStart	8	0	0	2650.jpg
23405	ImageEnd	16	0	0	2650.jpg
23570	InstructionStart	2048	0	0	Instruction Element
26731	KeyPress	4	32	0	Space
26741	InstructionEnd	4096	0	0	Instruction Element
26775	ImageStart	8	0	0	2576.jpg
36759	ImageEnd	16	0	0	2576.jpg
36896	InstructionStart	2048	0	0	Instruction Element
40931	KeyPress	4	32	0	Space
40944	InstructionEnd	4096	0	0	Instruction Element
40980	ImageStart	8	0	0	5393.jpg
50957	ImageEnd	16	0	0	5393.jpg
50982	InstructionStart	2048	0	0	Instruction Element
53018	KeyPress	4	32	0	Space
53019	InstructionEnd	4096	0	0	Instruction Element
53047	ImageStart	8	0	0	2201.jpg
63028	ImageEnd	16	0	0	2201.jpg
63046	InstructionStart	2048	0	0	Instruction Element
65190	KeyPress	4	32	0	Space
65194	InstructionEnd	4096	0	0	Instruction Element
65232	ImageStart	8	0	0	2450.jpg
75210	ImageEnd	16	0	0	2450.jpg
75243	InstructionStart	2048	0	0	Instruction Element
79187	KeyPress	4	32	0	Space
79189	InstructionEnd	4096	0	0	Instruction Element
79226	ImageStart	8	0	0	2818.jpg
89222	ImageEnd	16	0	0	2818.jpg
89245	InstructionStart	2048	0	0	Instruction Element
91197	KeyPress	4	32	0	Space
91199	InstructionEnd	4096	0	0	Instruction Element
91235	ImageStart	8	0	0	2212.jpg
101213	ImageEnd	16	0	0	2212.jpg
101227	InstructionStart	2048	0	0	Instruction Element
105023	KeyPress	4	32	0	Space
105036	InstructionEnd	4096	0	0	Instruction Element
105065	ImageStart	8	0	0	3621.jpg
115049	ImageEnd	16	0	0	3621.jpg
115069	InstructionStart	2048	0	0	Instruction Element
118043	KeyPress	4	32	0	Space
118052	InstructionEnd	4096	0	0	Instruction Element
118078	ImageStart	8	0	0	3134.jpg
128057	ImageEnd	16	0	0	3134.jpg
128074	InstructionStart	2048	0	0	Instruction Element
129936	KeyPress	4	32	0	Space
129947	InstructionEnd	4096	0	0	Instruction Element
129983	ImageStart	8	0	0	2007.jpg
139961	ImageEnd	16	0	0	2007.jpg
139978	InstructionStart	2048	0	0	Instruction Element
142077	KeyPress	4	32	0	Space
142086	InstructionEnd	4096	0	0	Instruction Element
142120	ImageStart	8	0	0	3471.jpg
152107	ImageEnd	16	0	0	3471.jpg
152260	InstructionStart	2048	0	0	Instruction Element
155129	KeyPress	4	32	0	Space
155130	InstructionEnd	4096	0	0	Instruction Element
155156	ImageStart	8	0	0	1958.jpg
165133	ImageEnd	16	0	0	1958.jpg
165151	InstructionStart	2048	0	0	Instruction Element
168525	KeyPress	4	32	0	Space
168540	InstructionEnd	4096	0	0	Instruction Element
168568	ImageStart	8	0	0	3339.jpg
178565	ImageEnd	16	0	0	3339.jpg
178664	InstructionStart	2048	0	0	Instruction Element
183456	KeyPress	4	32	0	Space
183457	InstructionEnd	4096	0	0	Instruction Element
183484	ImageStart	8	0	0	2797.jpg
193464	ImageEnd	16	0	0	2797.jpg
193488	InstructionStart	2048	0	0	Instruction Element
195253	KeyPress	4	32	0	Space
195254	InstructionEnd	4096	0	0	Instruction Element
195283	ImageStart	8	0	0	3083.jpg
205260	ImageEnd	16	0	0	3083.jpg
205281	InstructionStart	2048	0	0	Instruction Element
208348	KeyPress	4	32	0	Space
208350	InstructionEnd	4096	0	0	Instruction Element
208396	ImageStart	8	0	0	2112.jpg
218373	ImageEnd	16	0	0	2112.jpg
218522	InstructionStart	2048	0	0	Instruction Element
221187	KeyPress	4	32	0	Space
221197	InstructionEnd	4096	0	0	Instruction Element
221228	ImageStart	8	0	0	1653.jpg
231215	ImageEnd	16	0	0	1653.jpg
231233	InstructionStart	2048	0	0	Instruction Element
234176	KeyPress	4	32	0	Space
234178	InstructionEnd	4096	0	0	Instruction Element
234225	ImageStart	8	0	0	3146.jpg
244199	ImageEnd	16	0	0	3146.jpg
244222	InstructionStart	2048	0	0	Instruction Element
246443	KeyPress	4	32	0	Space
246444	InstructionEnd	4096	0	0	Instruction Element
246470	ImageStart	8	0	0	3423.jpg
256452	ImageEnd	16	0	0	3423.jpg
256473	InstructionStart	2048	0	0	Instruction Element
261171	KeyPress	4	32	0	Space
261173	InstructionEnd	4096	0	0	Instruction Element
261204	ImageStart	8	0	0	3359.jpg
271187	ImageEnd	16	0	0	3359.jpg
271293	InstructionStart	2048	0	0	Instruction Element
272656	KeyPress	4	32	0	Space
272668	InstructionEnd	4096	0	0	Instruction Element
272699	ImageStart	8	0	0	3058.jpg
282684	ImageEnd	16	0	0	3058.jpg
282707	InstructionStart	2048	0	0	Instruction Element
285870	KeyPress	4	32	0	Space
285871	InstructionEnd	4096	0	0	Instruction Element
285906	ImageStart	8	0	0	3210.jpg
295886	ImageEnd	16	0	0	3210.jpg
295909	InstructionStart	2048	0	0	Instruction Element
298054	KeyPress	4	32	0	Space
298066	InstructionEnd	4096	0	0	Instruction Element
298095	ImageStart	8	0	0	3434.jpg
308069	ImageEnd	16	0	0	3434.jpg
308086	InstructionStart	2048	0	0	Instruction Element
310698	KeyPress	4	32	0	Space
310710	InstructionEnd	4096	0	0	Instruction Element
310743	ImageStart	8	0	0	5967.jpg
320736	ImageEnd	16	0	0	5967.jpg
320759	InstructionStart	2048	0	0	Instruction Element
323782	KeyPress	4	32	0	Space
323795	InstructionEnd	4096	0	0	Instruction Element
323823	ImageStart	8	0	0	6141.jpg
333803	ImageEnd	16	0	0	6141.jpg
333821	InstructionStart	2048	0	0	Instruction Element
337136	KeyPress	4	32	0	Space
337138	InstructionEnd	4096	0	0	Instruction Element
337172	ImageStart	8	0	0	3403.jpg
347148	ImageEnd	16	0	0	3403.jpg
347167	InstructionStart	2048	0	0	Instruction Element
348729	KeyPress	4	32	0	Space
348752	InstructionEnd	4096	0	0	Instruction Element
348798	ImageStart	8	0	0	1832.jpg
358782	ImageEnd	16	0	0	1832.jpg
358910	InstructionStart	2048	0	0	Instruction Element
360676	KeyPress	4	32	0	Space
360678	InstructionEnd	4096	0	0	Instruction Element
360710	ImageStart	8	0	0	2372.jpg
370701	ImageEnd	16	0	0	2372.jpg
370852	InstructionStart	2048	0	0	Instruction Element
372452	KeyPress	4	32	0	Space
372453	InstructionEnd	4096	0	0	Instruction Element
372481	ImageStart	8	0	0	3327.jpg
382470	ImageEnd	16	0	0	3327.jpg
382489	InstructionStart	2048	0	0	Instruction Element
384120	KeyPress	4	32	0	Space
384136	InstructionEnd	4096	0	0	Instruction Element
384186	ImageStart	8	0	0	2039.jpg
394153	ImageEnd	16	0	0	2039.jpg
394337	InstructionStart	2048	0	0	Instruction Element
395744	KeyPress	4	32	0	Space
395745	InstructionEnd	4096	0	0	Instruction Element
395782	ImageStart	8	0	0	1946.jpg
405760	ImageEnd	16	0	0	1946.jpg
405812	InstructionStart	2048	0	0	Instruction Element
407047	KeyPress	4	32	0	Space
407049	InstructionEnd	4096	0	0	Instruction Element
407079	ImageStart	8	0	0	2403.jpg
417049	ImageEnd	16	0	0	2403.jpg
417066	InstructionStart	2048	0	0	Instruction Element
420324	KeyPress	4	32	0	Space
420338	InstructionEnd	4096	0	0	Instruction Element
420374	ImageStart	8	0	0	1590.jpg
430349	ImageEnd	16	0	0	1590.jpg
430370	InstructionStart	2048	0	0	Instruction Element
