Data properties:

Recording date: 2021/9/22
Recording time: 17:07:15:000 (corresponds to time 0)
Study: Test2
Subject: P10
Recording: Rec 06
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
246	73835	166	522	186	
247	74002	300	422	104	
248	74302	233	408	182	
249	74535	233	493	199	
250	74768	233	1169	139	
251	75001	200	1216	151	
252	75201	266	517	144	
253	76367	16	-87	1469	
254	76533	100	454	1314	
255	76633	833	642	1292	
256	77466	666	584	1325	
257	78132	100	581	1518	
258	79480	100	507	316	
259	79581	267	287	336	
260	79847	250	1041	392	
261	80097	266	1148	504	
262	80364	483	326	396	
263	80847	233	355	241	
264	81080	250	341	788	
265	81330	150	383	840	
266	81480	283	388	266	
267	81763	167	444	219	
268	81929	266	318	344	
269	82196	200	404	181	
270	82396	316	492	118	
271	82712	116	513	223	
272	82829	266	314	373	
273	83095	250	431	252	
274	83345	216	512	187	
275	83562	283	725	193	
276	83845	416	938	295	
277	84261	150	681	298	
278	84411	150	492	309	
279	84561	167	369	303	
280	84728	166	447	173	
281	84894	333	661	227	
282	85227	150	615	294	
283	85377	283	833	265	
284	85810	166	772	257	
285	85977	150	871	243	
286	86127	250	990	335	
287	86376	167	1000	397	
288	86543	283	585	337	
289	86826	266	861	289	
290	87092	166	991	341	
291	87259	267	624	340	
292	87526	316	893	278	
293	87842	233	1009	354	
294	88075	166	1088	464	
295	88242	200	1147	545	
296	88442	233	900	367	
297	88675	166	864	277	
298	88841	166	1019	369	
299	89174	117	1066	409	
300	89291	216	1144	498	
301	89507	200	779	536	
302	91073	200	674	509	
303	91273	216	565	367	
304	91489	333	296	299	
305	91822	216	446	261	
306	92039	400	559	325	
307	92439	500	621	211	
308	92938	300	751	276	
309	93238	166	822	368	
310	93405	266	749	299	
311	93671	150	682	230	
312	94004	117	670	194	
313	94121	233	760	286	
314	94354	300	863	400	
315	94654	266	545	299	
316	94920	183	354	270	
317	95104	316	590	239	
318	95420	200	440	257	
319	95620	250	356	266	
320	96053	150	609	150	
321	96203	166	782	292	
322	96369	233	943	492	
323	96602	216	1030	562	
324	96819	217	963	575	
325	97036	200	920	491	
326	97235	250	998	489	
327	97485	250	1037	525	
328	97735	266	1116	575	
329	98001	283	1087	544	
330	98285	200	1127	568	
331	98651	200	792	359	
332	98851	350	1029	472	
333	99201	200	692	314	
334	99400	283	578	274	
335	99684	216	684	215	
336	99900	183	372	233	
337	100083	316	256	237	
338	100400	300	579	223	
339	100700	266	319	240	
340	100966	633	273	256	
341	102498	283	804	563	
342	102782	116	-584	628	
343	102898	283	-1418	750	
344	103181	200	-1044	638	
345	103381	150	-1105	425	
346	103531	150	-745	229	
347	103681	200	-661	47	
348	104747	216	676	529	
349	104963	299	563	491	
350	105263	167	346	394	
351	105429	217	225	412	
352	105646	366	347	933	
353	106012	117	476	931	
354	106129	350	334	468	
355	106479	150	224	473	
356	106629	267	244	941	
357	106895	300	478	978	
358	107195	600	468	561	
359	107795	183	482	954	
360	107978	316	240	960	
361	108294	266	226	384	
362	108561	150	412	433	
363	108711	300	560	516	
364	109010	350	569	911	
365	109360	316	734	889	
366	109677	216	700	322	
367	109893	200	770	232	
368	110093	133	816	172	
369	110226	400	801	836	
370	110626	300	831	913	
371	110926	483	871	240	
372	111409	283	986	208	
373	111692	183	1032	176	
374	111875	200	893	991	
375	112075	200	908	914	
376	112275	283	1050	926	
377	112558	550	960	909	
378	113108	200	1002	237	
379	113307	283	1028	155	
380	113590	316	1146	102	
381	114123	83	1151	964	
382	114207	350	1116	913	
383	114556	400	814	874	
384	114956	133	763	865	
385	115089	300	975	203	
386	115389	100	741	199	
387	115823	133	-317	651	
388	116105	67	-572	481	
389	116388	17	-694	206	
390	116538	117	-928	-9	
391	117854	200	811	363	
392	118054	216	549	340	
393	118270	217	323	330	
394	118487	200	236	219	
395	118687	333	399	885	
396	119020	233	225	887	
397	119253	250	217	252	
398	119503	233	356	276	
399	119736	166	457	310	
