System Properties:					
Operating System:	 Microsoft Windows NT 6.2.9200.0				
System User Name:	 gaozh				
Machine Name:	 DESKTOP-D1BOOAD				
Data properties:					
Recording name:	 Rec 01				
Recording date:	 2019/11/5				
Recording time:	 16:07:14				
Recording resolution:	 1280 x 1024				
Export date:	 2019/11/5				
Export time:	 16:17:42				
Participant:	 CY				
Timestamp	Event	EventKey	Data1	Data2	Descriptor
0	ImageStart	8	0	0	5309_1.jpg
9973	ImageEnd	16	0	0	5309_1.jpg
10138	InstructionStart	2048	0	0	Instruction Element
11307	KeyPress	4	32	0	Space
11320	InstructionEnd	4096	0	0	Instruction Element
11402	ImageStart	8	0	0	2650_2.jpg
21366	ImageEnd	16	0	0	2650_2.jpg
21549	InstructionStart	2048	0	0	Instruction Element
22852	KeyPress	4	32	0	Space
22859	InstructionEnd	4096	0	0	Instruction Element
22945	ImageStart	8	0	0	2576_2.jpg
32895	ImageEnd	16	0	0	2576_2.jpg
33092	InstructionStart	2048	0	0	Instruction Element
34269	KeyPress	4	32	0	Space
34272	InstructionEnd	4096	0	0	Instruction Element
34365	ImageStart	8	0	0	5393_3.jpg
44314	ImageEnd	16	0	0	5393_3.jpg
44535	InstructionStart	2048	0	0	Instruction Element
45436	KeyPress	4	32	0	Space
45445	InstructionEnd	4096	0	0	Instruction Element
45524	ImageStart	8	0	0	2201_2.jpg
55471	ImageEnd	16	0	0	2201_2.jpg
55675	InstructionStart	2048	0	0	Instruction Element
56696	KeyPress	4	32	0	Space
56709	InstructionEnd	4096	0	0	Instruction Element
56805	ImageStart	8	0	0	2450_1.jpg
66738	ImageEnd	16	0	0	2450_1.jpg
66923	InstructionStart	2048	0	0	Instruction Element
69095	KeyPress	4	32	0	Space
69116	InstructionEnd	4096	0	0	Instruction Element
69201	ImageStart	8	0	0	2818_1.jpg
79159	ImageEnd	16	0	0	2818_1.jpg
79369	InstructionStart	2048	0	0	Instruction Element
80974	KeyPress	4	32	0	Space
80983	InstructionEnd	4096	0	0	Instruction Element
81077	ImageStart	8	0	0	2212_3.jpg
91015	ImageEnd	16	0	0	2212_3.jpg
91114	InstructionStart	2048	0	0	Instruction Element
92677	KeyPress	4	32	0	Space
92689	InstructionEnd	4096	0	0	Instruction Element
92767	ImageStart	8	0	0	3621_2.jpg
102728	ImageEnd	16	0	0	3621_2.jpg
102910	InstructionStart	2048	0	0	Instruction Element
105361	KeyPress	4	32	0	Space
105366	InstructionEnd	4096	0	0	Instruction Element
105456	ImageStart	8	0	0	3134_2.jpg
115410	ImageEnd	16	0	0	3134_2.jpg
115610	InstructionStart	2048	0	0	Instruction Element
117509	KeyPress	4	32	0	Space
117521	InstructionEnd	4096	0	0	Instruction Element
117586	ImageStart	8	0	0	2007_1.jpg
127548	ImageEnd	16	0	0	2007_1.jpg
127812	InstructionStart	2048	0	0	Instruction Element
129692	KeyPress	4	32	0	Space
129703	InstructionEnd	4096	0	0	Instruction Element
129797	ImageStart	8	0	0	3471_2.jpg
139738	ImageEnd	16	0	0	3471_2.jpg
139914	InstructionStart	2048	0	0	Instruction Element
142007	KeyPress	4	32	0	Space
142015	InstructionEnd	4096	0	0	Instruction Element
142089	ImageStart	8	0	0	1958_2.jpg
152052	ImageEnd	16	0	0	1958_2.jpg
152253	InstructionStart	2048	0	0	Instruction Element
154479	KeyPress	4	32	0	Space
154489	InstructionEnd	4096	0	0	Instruction Element
154579	ImageStart	8	0	0	3339_1.jpg
164533	ImageEnd	16	0	0	3339_1.jpg
164657	InstructionStart	2048	0	0	Instruction Element
