Data properties:				
Recording date: 2019/11/5				
Recording time: 16:07:14:000 (corresponds to time 0)				
Study: Test2				
Subject: CY				
Recording: Rec 01				
Screen resolution: 1280 x 1024				
Coordinate unit: Pixels				
Filter settings:				
Eye: Average				
Validity: Normal				
Fixation filter: Tobii fixation filter				
Fixation radius: 35				
FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY
0	53	183	449	527
1	236	58	638	456
2	436	75	647	430
3	511	92	1088	608
4	602	50	1095	567
5	652	50	1065	637
6	702	108	1093	612
7	811	258	951	507
8	1069	300	904	477
9	1369	258	692	445
10	1627	233	439	303
11	1860	225	294	153
12	2085	358	230	114
13	2443	83	1019	572
14	2526	117	1086	571
15	2643	50	1051	602
16	2693	375	1132	631
17	3067	83	984	519
18	3151	67	997	456
19	3217	125	974	519
20	3342	67	981	484
21	3409	233	936	478
22	3642	433	884	502
23	4075	83	678	459
24	4158	50	689	414
25	4208	192	674	456
26	4400	233	561	402
27	4633	391	768	500
28	5024	341	704	469
29	5366	167	814	516
30	5532	183	924	474
31	5857	50	968	457
32	5907	117	965	516
33	6024	216	1076	566
34	6240	117	1130	619
35	6357	133	1173	619
36	6490	125	1149	650
37	6615	83	1007	520
38	6698	50	998	476
39	6748	83	998	530
40	6832	100	1102	947
41	6932	183	1156	928
42	7339	166	1120	603
43	7506	192	1149	626
44	7698	83	899	505
45	7781	67	886	469
46	7847	83	855	550
47	7931	200	422	640
48	8281	42	681	489
49	8322	50	669	442
50	8372	67	660	517
51	8439	58	645	485
52	8497	83	750	477
53	8580	508	874	496
54	9088	83	915	475
55	9172	50	893	505
56	9222	125	897	464
57	9346	283	876	506
58	9630	150	840	526
59	9779	167	707	486
60	10096	50	708	414
61	10146	375	690	446
62	10521	200	485	384
63	10720	308	670	429
64	11029	258	551	406
65	11287	241	677	431
66	11528	200	762	475
67	11728	58	850	508
68	11786	208	874	478
69	11995	491	1132	585
70	12486	58	1139	531
71	12544	100	1048	583
72	12644	83	1107	555
73	12728	108	1074	591
74	12836	92	1096	561
75	12927	67	818	479
76	12994	75	859	422
77	13069	58	833	461
78	13127	125	709	243
79	13252	108	695	276
80	13360	75	724	237
81	13435	283	729	302
82	13718	258	703	236
83	13977	316	756	434
84	14293	175	402	149
85	14468	233	408	112
86	14701	208	1117	524
87	14909	133	1145	555
88	15043	50	1122	604
89	15093	67	1153	580
90	15159	233	958	532
91	15392	183	1117	940
92	15576	91	1105	975
93	15667	316	1102	607
94	15984	100	999	542
95	16192	125	991	527
96	16483	58	632	241
97	16542	266	525	146
98	16808	425	397	120
99	17233	375	545	141
100	17608	266	934	597
101	17874	400	971	548
102	18274	158	1061	588
103	18432	67	1040	622
104	18499	67	1083	614
105	18565	50	1127	563
106	18615	92	1098	610
107	18707	67	1123	541
108	18773	100	1094	607
109	18873	50	1100	562
110	18923	200	1093	610
111	19123	67	1122	567
112	19190	58	1134	519
113	19248	100	1105	588
114	19348	50	1141	540
115	19398	150	1136	596
116	19723	50	1091	570
117	19773	92	1167	468
118	19864	75	1148	564
119	19939	166	1118	624
120	20106	142	906	509
121	20847	58	870	491
122	20905	241	1101	601
123	21430	142	987	488
124	21571	133	965	565
125	21705	258	753	485
126	21963	275	595	462
127	22238	591	682	452
128	22829	50	740	450
129	23520	8	713	311
130	23637	141	804	274
131	23778	175	872	202
132	23953	508	1062	126
133	24461	283	637	298
134	24744	58	629	251
135	24803	108	632	307
136	24911	308	797	201
137	25219	142	914	143
138	25361	341	1104	126
139	25702	375	1106	846
140	26077	275	988	188
141	26352	408	819	176
142	26760	441	1075	91
143	27201	258	968	150
144	27459	308	734	229
145	27767	100	604	258
146	27867	108	593	334
147	27976	241	403	466
148	28217	84	259	590
149	28300	75	231	550
150	28375	75	258	613
151	28450	50	232	537
152	28500	125	231	612
153	28625	125	259	579
154	28750	208	471	426
155	28958	83	499	369
156	29041	192	563	304
157	29233	50	901	178
158	29283	50	895	239
159	29333	58	922	207
160	29391	200	935	150
161	29591	250	1020	127
162	30016	83	1011	124
163	30099	483	991	168
164	30582	275	1044	115
165	30857	583	1138	123
166	31440	175	1092	100
167	31615	333	836	182
168	31948	50	690	226
169	31998	417	674	282
170	32414	208	570	334
171	32622	292	407	447
172	32914	158	340	479
173	33072	150	338	514
174	33347	117	651	274
175	33463	83	643	356
176	33697	317	661	436
177	34013	75	684	390
178	34088	566	577	469
179	34654	167	816	514
180	34821	158	878	540
181	34979	166	989	323
182	35146	75	1009	257
183	35220	242	1070	186
184	35462	83	1111	171
185	35545	400	1129	109
186	35945	191	951	417
187	36136	125	928	462
188	36262	50	934	409
189	36312	108	894	473
190	36420	150	871	515
191	36570	316	1045	266
192	36886	208	1126	119
193	37094	350	1139	81
194	37444	225	1097	157
195	37669	59	1138	74
196	37727	108	1134	111
197	37835	242	1144	76
198	38077	50	1200	520
199	38127	125	1095	836
200	38252	125	1127	802
201	38377	83	1132	868
202	38460	50	1170	804
203	38635	42	976	501
204	38676	117	936	422
205	38793	83	977	378
206	38876	541	918	459
207	39418	108	968	332
208	39526	50	991	266
209	39576	67	957	334
210	39642	358	1016	271
211	40001	491	1058	213
212	40667	200	1113	148
213	40866	275	1131	111
214	41350	108	1125	697
215	41458	50	1129	825
216	41508	108	1168	802
217	41616	50	1128	861
218	41816	150	1103	194
219	41966	258	1128	103
220	42224	216	911	185
221	42441	475	1125	129
222	42915	92	911	117
223	43007	50	901	171
224	43198	333	1129	102
225	43531	200	1134	227
226	43731	225	1144	790
227	43956	58	1127	833
228	44014	166	1140	786
229	44323	50	1090	164
230	44373	91	1129	122
