Data properties:				
Recording date: 2021/9/22				
Recording time: 17:19:32:000 (corresponds to time 0)				
Study: Test3				
Subject: P10				
Recording: Rec 06				
Screen resolution: 1280 x 1024				
Coordinate unit: Pixels				
Filter settings:				
Eye: Average				
Validity: Normal				
Fixation filter: Tobii fixation filter				
Fixation radius: 35				
FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY
1	91	250	567	350
2	341	133	570	271
3	474	183	283	157
4	658	250	194	108
5	907	217	299	960
6	1124	183	181	975
7	1307	466	140	951
8	1774	200	460	994
9	1974	333	474	173
10	2307	266	485	227
11	2573	416	549	1004
12	2989	200	613	274
13	3189	217	630	156
14	3406	200	756	218
15	3606	250	216	102
16	3855	167	853	368
17	4022	200	1023	521
18	4222	117	738	1039
19	4338	150	729	981
20	4488	250	832	339
21	4738	333	607	285
22	5071	183	558	274
23	5254	150	348	243
24	5404	251	165	161
25	5655	217	318	196
26	5872	167	931	538
27	6038	400	882	376
28	6438	117	1063	519
29	6555	167	1052	565
30	6721	133	1118	638
31	6855	400	1166	601
32	7254	366	1150	557
33	7621	433	1041	947
34	8054	183	1040	560
35	8237	250	1026	500
36	8487	166	1039	706
37	8653	117	1055	579
38	8770	167	1048	834
39	8937	367	1123	969
40	9303	500	1160	654
41	9803	283	1170	594
42	10086	217	725	307
43	10303	183	231	256
44	10486	350	-948	89
45	10836	283	835	-499
46	11119	267	-415	-460
47	11385	183	422	134
48	11569	200	705	498
49	11769	283	862	503
50	12252	83	602	480
51	12335	183	492	491
52	12518	317	783	505
53	12835	133	858	515
54	12968	317	581	505
55	13285	100	521	1412
56	13918	83	477	408
57	14001	200	333	199
58	14201	233	187	158
59	14434	167	244	206
60	14601	200	202	111
61	14801	233	103	98
62	15217	332	315	195
63	15549	450	365	972
64	15998	150	462	936
65	16148	333	228	1000
66	16481	333	322	196
67	16814	333	337	119
68	17147	183	402	1049
69	17331	216	355	998
70	17547	250	336	963
71	17797	433	328	113
72	18230	233	436	993
73	18463	267	378	969
74	18730	250	462	977
75	18980	316	431	183
76	19296	233	459	54
77	19529	250	506	9
78	19779	166	557	-3
79	19946	233	413	51
80	20179	116	518	-6
81	20295	150	380	-31
82	20445	316	158	39
83	20761	266	117	87
84	21028	183	240	291
85	21211	366	251	325
86	21577	183	467	273
87	21761	250	728	255
88	22011	333	762	276
89	22344	200	888	322
90	22543	167	1006	489
91	22710	316	1033	623
92	23026	150	1088	613
93	23176	166	1113	474
94	23343	183	918	353
95	23526	216	212	306
96	23743	183	252	313
97	23926	250	793	379
98	24176	100	725	448
99	24942	283	-839	-75
100	25225	166	-30	17
101	25391	167	667	417
102	26324	83	642	466
103	26407	217	837	494
104	26624	183	570	341
105	26807	216	409	245
106	27024	133	309	300
107	27157	300	155	106
108	27457	250	381	390
109	27707	283	400	421
110	27990	150	397	674
111	28140	317	393	999
112	28456	150	243	984
113	28606	233	548	1014
114	28839	200	169	868
115	29039	183	141	905
116	29222	150	166	389
117	29372	383	110	63
118	29755	183	158	98
119	29938	283	876	428
120	30222	150	771	958
121	30371	233	258	1021
122	30605	183	365	1022
123	30788	650	595	1024
124	31437	216	504	468
125	31654	167	707	451
126	31820	316	768	558
127	32137	150	769	928
128	32287	233	767	989
129	32520	150	754	1024
130	32670	183	891	983
131	32853	183	907	845
132	33036	183	923	374
133	33219	250	948	287
134	33469	250	1032	250
135	33719	317	976	976
136	34036	283	1079	1023
137	34319	300	1148	1015
138	34618	200	1177	271
139	34818	333	1206	169
140	35151	166	384	163
141	35318	233	175	107
142	35551	233	1095	193
143	35784	383	1206	152
144	36167	216	1128	204
145	36384	183	1041	281
146	36767	133	926	317
147	36900	200	877	396
148	37100	150	-449	627
149	37500	83	-342	-411
150	37583	200	1468	-401
151	37783	100	1523	-274
152	38049	83	502	291
153	38133	233	716	433
154	38366	100	787	503
155	39282	117	609	372
156	39398	183	318	274
157	39581	417	199	417
158	39998	333	395	499
159	40331	233	367	423
160	40564	183	465	641
161	40748	200	463	902
162	40948	233	450	1003
163	41181	266	523	888
164	41447	283	585	196
165	41730	250	543	269
166	41980	200	513	409
167	42180	266	469	570
168	42446	366	569	938
169	42813	250	516	963
170	43063	316	577	254
171	43379	167	500	372
172	43546	350	611	184
173	43895	316	678	152
174	44212	217	810	130
175	44428	133	634	165
176	44562	183	927	100
177	44745	366	1042	127
178	45111	216	1032	60
179	45328	483	1127	182
180	45811	150	915	181
181	45961	133	1171	187
182	46094	300	718	188
183	46394	183	666	176
184	46577	266	906	145
185	47093	83	1088	99
186	47177	200	683	153
187	47376	100	378	160
188	48742	83	-1118	753
189	48825	250	354	540
190	49075	166	326	376
191	49242	283	1090	176
192	49525	233	546	64
193	49958	117	635	547
194	50074	100	564	1413
195	50691	282	595	505
196	50973	216	534	223
197	51190	167	309	223
198	51356	233	186	133
199	51590	300	321	192
200	51889	166	451	291
201	52056	233	431	1029
202	52289	283	294	1016
203	52572	233	442	290
204	52805	283	534	328
205	53088	317	574	1041
206	53405	183	659	1018
207	53588	333	647	321
208	53921	266	748	372
209	54188	217	886	412
210	54404	266	959	599
211	54671	117	812	1047
212	54787	133	772	1051
213	54921	167	411	1074
214	55087	216	258	1011
215	55304	200	354	1010
216	55503	250	625	1023
217	55753	200	810	1036
218	55953	183	952	1028
219	56136	266	934	442
220	56403	250	1044	452
221	56653	250	1096	378
222	56902	350	1091	903
223	57252	217	1123	965
224	57469	366	1219	325
225	57835	350	1172	237
226	58185	183	1167	301
227	58368	267	1212	373
228	58634	183	810	375
229	58818	200	631	342
230	59018	233	382	270
231	59251	283	319	225
232	59534	333	234	173
233	59867	200	297	128
234	60067	217	548	201
235	60283	300	664	288
236	60583	216	1009	339
237	60800	433	286	183
238	62632	100	426	547
239	62732	183	791	518
240	63731	83	326	225
241	63814	167	254	133
242	63981	150	189	120
243	64131	283	518	282
244	64414	150	458	169
245	64563	350	655	440
246	64913	116	747	441
247	65030	200	863	456
248	65230	150	660	953
249	65380	300	451	1016
250	65680	250	790	1020
251	65929	366	870	424
252	66296	266	950	399
253	66562	167	798	420
254	66912	150	777	409
255	67062	150	914	439
256	67212	267	1053	616
257	67478	166	1022	564
258	67645	233	1143	537
259	67878	300	1208	379
260	68178	200	1219	296
261	68378	300	616	210
262	68677	300	1249	307
263	68977	233	1160	812
264	69210	283	1171	925
265	69493	183	827	1006
266	69677	283	615	1017
267	69960	233	393	1035
268	70193	133	206	994
269	70326	283	437	240
270	70609	334	1070	418
271	70943	100	1210	405
272	71043	167	1241	265
273	71210	283	450	119
274	71493	283	593	301
275	71776	283	1002	395
276	72059	166	1222	504
277	72226	250	1049	956
278	72475	267	524	1019
279	72742	216	370	1010
280	72959	483	315	146
281	73441	233	918	988
282	73675	300	1158	976
283	73975	100	928	988
284	74807	83	499	479
285	74890	183	724	479
286	75074	233	513	334
287	75307	300	271	525
288	75607	233	449	941
289	75840	300	252	968
290	76140	216	227	571
291	76356	200	347	428
292	76556	283	492	329
293	76839	283	589	943
294	77122	416	316	943
295	77539	166	607	846
296	77705	200	599	219
297	77905	333	662	76
298	78238	183	674	758
299	78422	200	672	887
300	78621	216	750	990
301	78838	183	819	990
302	79021	400	817	170
303	79421	183	888	197
304	79604	216	1075	136
305	79821	483	1197	143
306	80304	200	1078	156
307	80503	899	1207	147
308	81403	250	1160	142
309	81653	450	984	197
310	82102	533	1059	168
311	82635	133	999	173
312	82769	250	1232	171
313	83285	150	1026	915
314	83435	233	794	145
315	83668	250	571	215
316	83918	250	677	91
317	84168	466	1045	163
318	84634	300	1181	107
319	84934	316	819	164
320	86416	166	584	489
321	86583	233	761	490
322	86816	183	440	354
323	87166	200	196	141
324	87365	233	378	384
