System Properties:					
Operating System:	 Microsoft Windows NT 6.2.9200.0				
System User Name:	 nuc				
Machine Name:	 DESKTOP-CHDADVS				
Data properties:					
Recording name:	 Rec 06				
Recording date:	 2021/9/22				
Recording time:	 17:19:32				
Recording resolution:	 1280 x 1024				
Export date:	 2021/9/22				
Export time:	 19:03:35				
Participant:	 P10				
Timestamp	Event	EventKey	Data1	Data2	Descriptor
0	ImageStart	8	0	0	2912.jpg
9976	ImageEnd	16	0	0	2912.jpg
10145	InstructionStart	2048	0	0	Instruction Element
13746	KeyPress	4	32	0	Space
13748	InstructionEnd	4096	0	0	Instruction Element
13781	ImageStart	8	0	0	2748.jpg
23776	ImageEnd	16	0	0	2748.jpg
23797	InstructionStart	2048	0	0	Instruction Element
26690	KeyPress	4	32	0	Space
26692	InstructionEnd	4096	0	0	Instruction Element
26724	ImageStart	8	0	0	2990.jpg
36713	ImageEnd	16	0	0	2990.jpg
36736	InstructionStart	2048	0	0	Instruction Element
39185	KeyPress	4	32	0	Space
39187	InstructionEnd	4096	0	0	Instruction Element
39222	ImageStart	8	0	0	3013.jpg
49207	ImageEnd	16	0	0	3013.jpg
49508	InstructionStart	2048	0	0	Instruction Element
50926	KeyPress	4	32	0	Space
50935	InstructionEnd	4096	0	0	Instruction Element
50960	ImageStart	8	0	0	2257.jpg
60940	ImageEnd	16	0	0	2257.jpg
60974	InstructionStart	2048	0	0	Instruction Element
63539	KeyPress	4	32	0	Space
63542	InstructionEnd	4096	0	0	Instruction Element
63569	ImageStart	8	0	0	2972.jpg
73552	ImageEnd	16	0	0	2972.jpg
73691	InstructionStart	2048	0	0	Instruction Element
74918	KeyPress	4	32	0	Space
74920	InstructionEnd	4096	0	0	Instruction Element
74954	ImageStart	8	0	0	2153.jpg
84937	ImageEnd	16	0	0	2153.jpg
84959	InstructionStart	2048	0	0	Instruction Element
86617	KeyPress	4	32	0	Space
86622	InstructionEnd	4096	0	0	Instruction Element
86652	ImageStart	8	0	0	2724.jpg
96624	ImageEnd	16	0	0	2724.jpg
96649	InstructionStart	2048	0	0	Instruction Element
98596	KeyPress	4	32	0	Space
98611	InstructionEnd	4096	0	0	Instruction Element
98643	ImageStart	8	0	0	2281.jpg
108627	ImageEnd	16	0	0	2281.jpg
108647	InstructionStart	2048	0	0	Instruction Element
111219	KeyPress	4	32	0	Space
111221	InstructionEnd	4096	0	0	Instruction Element
111248	ImageStart	8	0	0	2939.jpg
121243	ImageEnd	16	0	0	2939.jpg
121261	InstructionStart	2048	0	0	Instruction Element
122641	KeyPress	4	32	0	Space
122654	InstructionEnd	4096	0	0	Instruction Element
122683	ImageStart	8	0	0	2114.jpg
132680	ImageEnd	16	0	0	2114.jpg
132702	InstructionStart	2048	0	0	Instruction Element
134061	KeyPress	4	32	0	Space
134062	InstructionEnd	4096	0	0	Instruction Element
134089	ImageStart	8	0	0	2840.jpg
144058	ImageEnd	16	0	0	2840.jpg
144078	InstructionStart	2048	0	0	Instruction Element
145729	KeyPress	4	32	0	Space
145731	InstructionEnd	4096	0	0	Instruction Element
145765	ImageStart	8	0	0	2686.jpg
155755	ImageEnd	16	0	0	2686.jpg
155780	InstructionStart	2048	0	0	Instruction Element
157783	KeyPress	4	32	0	Space
157784	InstructionEnd	4096	0	0	Instruction Element
157818	ImageStart	8	0	0	2140.jpg
167803	ImageEnd	16	0	0	2140.jpg
167981	InstructionStart	2048	0	0	Instruction Element
170944	KeyPress	4	32	0	Space
170959	InstructionEnd	4096	0	0	Instruction Element
170998	ImageStart	8	0	0	2684.jpg
180978	ImageEnd	16	0	0	2684.jpg
181116	InstructionStart	2048	0	0	Instruction Element
184125	KeyPress	4	32	0	Space
184137	InstructionEnd	4096	0	0	Instruction Element
184172	ImageStart	8	0	0	2863.jpg
194167	ImageEnd	16	0	0	2863.jpg
194187	InstructionStart	2048	0	0	Instruction Element
198122	KeyPress	4	32	0	Space
198123	InstructionEnd	4096	0	0	Instruction Element
198158	ImageStart	8	0	0	3028.jpg
208142	ImageEnd	16	0	0	3028.jpg
208161	InstructionStart	2048	0	0	Instruction Element
209640	KeyPress	4	32	0	Space
209653	InstructionEnd	4096	0	0	Instruction Element
209680	ImageStart	8	0	0	2889.jpg
219661	ImageEnd	16	0	0	2889.jpg
219682	InstructionStart	2048	0	0	Instruction Element
220986	KeyPress	4	32	0	Space
221000	InstructionEnd	4096	0	0	Instruction Element
221035	ImageStart	8	0	0	5488.jpg
231025	ImageEnd	16	0	0	5488.jpg
231048	InstructionStart	2048	0	0	Instruction Element
232697	KeyPress	4	32	0	Space
232699	InstructionEnd	4096	0	0	Instruction Element
232733	ImageStart	8	0	0	2711.jpg
242721	ImageEnd	16	0	0	2711.jpg
242743	InstructionStart	2048	0	0	Instruction Element
245125	KeyPress	4	32	0	Space
245152	InstructionEnd	4096	0	0	Instruction Element
245186	ImageStart	8	0	0	3279.jpg
255174	ImageEnd	16	0	0	3279.jpg
255196	InstructionStart	2048	0	0	Instruction Element
258779	KeyPress	4	32	0	Space
258781	InstructionEnd	4096	0	0	Instruction Element
258815	ImageStart	8	0	0	6531.jpg
268798	ImageEnd	16	0	0	6531.jpg
268954	InstructionStart	2048	0	0	Instruction Element
271005	KeyPress	4	32	0	Space
271018	InstructionEnd	4096	0	0	Instruction Element
271047	ImageStart	8	0	0	5446.jpg
281035	ImageEnd	16	0	0	5446.jpg
281057	InstructionStart	2048	0	0	Instruction Element
283392	KeyPress	4	32	0	Space
283394	InstructionEnd	4096	0	0	Instruction Element
283439	ImageStart	8	0	0	6254.jpg
293416	ImageEnd	16	0	0	6254.jpg
293436	InstructionStart	2048	0	0	Instruction Element
295414	KeyPress	4	32	0	Space
295420	InstructionEnd	4096	0	0	Instruction Element
295446	ImageStart	8	0	0	3517.jpg
305423	ImageEnd	16	0	0	3517.jpg
305441	InstructionStart	2048	0	0	Instruction Element
309100	KeyPress	4	32	0	Space
309102	InstructionEnd	4096	0	0	Instruction Element
309136	ImageStart	8	0	0	5463.jpg
319117	ImageEnd	16	0	0	5463.jpg
319382	InstructionStart	2048	0	0	Instruction Element
320822	KeyPress	4	32	0	Space
320833	InstructionEnd	4096	0	0	Instruction Element
320858	ImageStart	8	0	0	6198.jpg
330842	ImageEnd	16	0	0	6198.jpg
331130	InstructionStart	2048	0	0	Instruction Element
333755	KeyPress	4	32	0	Space
333765	InstructionEnd	4096	0	0	Instruction Element
333814	ImageStart	8	0	0	6305.jpg
343789	ImageEnd	16	0	0	6305.jpg
343813	InstructionStart	2048	0	0	Instruction Element
346165	KeyPress	4	32	0	Space
346168	InstructionEnd	4096	0	0	Instruction Element
346201	ImageStart	8	0	0	6450.jpg
356193	ImageEnd	16	0	0	6450.jpg
356216	InstructionStart	2048	0	0	Instruction Element
359721	KeyPress	4	32	0	Space
359723	InstructionEnd	4096	0	0	Instruction Element
359771	ImageStart	8	0	0	1895.jpg
369738	ImageEnd	16	0	0	1895.jpg
369758	InstructionStart	2048	0	0	Instruction Element
371572	KeyPress	4	32	0	Space
371587	InstructionEnd	4096	0	0	Instruction Element
371627	ImageStart	8	0	0	6315.jpg
381597	ImageEnd	16	0	0	6315.jpg
381620	InstructionStart	2048	0	0	Instruction Element
383315	KeyPress	4	32	0	Space
383327	InstructionEnd	4096	0	0	Instruction Element
383378	ImageStart	8	0	0	1689.jpg
393346	ImageEnd	16	0	0	1689.jpg
393492	InstructionStart	2048	0	0	Instruction Element
394854	KeyPress	4	32	0	Space
394856	InstructionEnd	4096	0	0	Instruction Element
394883	ImageStart	8	0	0	5990.jpg
404857	ImageEnd	16	0	0	5990.jpg
404875	InstructionStart	2048	0	0	Instruction Element
407209	KeyPress	4	32	0	Space
407211	InstructionEnd	4096	0	0	Instruction Element
407240	ImageStart	8	0	0	6016.jpg
417226	ImageEnd	16	0	0	6016.jpg
417356	InstructionStart	2048	0	0	Instruction Element
