Data properties:				
Recording date: 2021/8/26				
Recording time: 16:01:20:000 (corresponds to time 0)				
Study: Test3				
Subject: Pan				
Recording: Rec 01				
Screen resolution: 1280 x 1024				
Coordinate unit: Pixels				
Filter settings:				
Eye: Average				
Validity: Normal				
Fixation filter: Tobii fixation filter				
Fixation radius: 35				
FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY
1	65	250	445	511
2	314	267	621	506
3	581	167	475	504
4	748	366	773	517
5	1114	167	849	516
6	1281	150	805	570
7	1431	450	770	505
8	1997	383	570	396
9	2380	350	664	455
10	2730	566	622	446
11	3296	117	912	449
12	3413	150	1058	550
13	3563	233	1150	582
14	3796	167	1079	907
15	3963	383	1138	956
16	4346	167	1043	812
17	4512	283	1045	529
18	4795	1066	1030	606
19	5862	167	1043	675
20	6028	167	1058	857
21	6195	100	1067	966
22	6295	100	1120	943
23	6395	215	1099	982
24	6610	183	1025	947
25	6793	233	1092	545
26	7026	233	1135	553
27	7259	283	1015	432
28	7543	150	1119	511
29	7693	450	1154	547
30	8142	266	1100	559
31	8409	183	970	378
32	8592	183	793	260
33	8775	216	703	225
34	8992	300	392	193
35	9291	183	538	209
36	9474	300	650	236
37	9774	250	615	826
38	10024	217	433	866
39	10241	183	855	856
40	10424	266	1069	970
41	10690	716	1149	970
42	11406	216	1156	632
43	11623	316	1150	570
44	11939	233	1069	455
45	12172	217	1073	493
46	12389	100	1135	564
47	12489	799	1143	520
48	13288	333	809	499
49	13621	283	658	502
50	13905	350	459	496
51	14254	100	523	643
52	14637	216	700	585
53	14854	566	775	505
54	15420	183	994	504
55	15603	749	1147	450
56	16353	250	1132	848
57	16603	233	1145	905
58	16836	450	1121	443
59	17286	233	977	381
60	17519	466	1152	442
61	17985	433	1138	486
62	18418	266	798	300
63	18685	300	712	193
64	18985	183	812	247
65	19168	200	1085	498
66	19368	350	1120	471
67	19717	233	1074	502
68	19951	183	1118	843
69	20134	566	1146	908
70	20700	233	1156	518
71	20933	2432	1150	452
72	23365	233	1046	425
73	23598	300	858	324
74	23898	183	1066	491
75	24081	167	1130	803
76	24248	433	1143	902
77	24681	233	1069	808
78	24914	366	1080	610
79	25280	266	1093	551
80	25547	400	870	503
81	27595	83	880	347
82	27678	650	900	476
83	28328	166	966	358
84	28494	200	1063	274
85	28694	916	1111	230
86	29610	117	1087	490
87	29727	283	1153	878
88	30010	300	1135	919
89	30310	217	1030	405
90	30526	283	989	271
91	30810	400	1087	235
92	31209	183	285	147
93	31392	283	216	122
94	31676	266	537	175
95	31942	250	1049	234
96	32192	233	1049	814
97	32425	183	1042	893
98	32608	166	1122	947
99	32775	366	1116	229
100	33141	283	1064	252
101	33424	183	1025	485
102	33608	300	986	847
103	33907	250	1063	911
104	34157	333	1048	406
105	34490	216	924	610
106	34707	166	920	733
107	34873	433	1048	303
108	35306	916	1102	235
109	36222	283	1050	314
110	36506	250	1100	322
111	36755	250	1145	258
112	37005	683	1068	244
113	37688	283	1017	755
114	37971	350	883	836
115	38321	250	841	490
116	38571	216	721	482
117	38787	383	837	459
118	39170	183	1024	265
119	39354	316	1117	250
120	39670	300	1152	262
121	39970	583	1097	266
122	40553	600	1141	258
123	41152	183	971	187
124	41335	150	923	151
125	41485	200	624	305
126	41685	167	1038	939
127	41852	100	1106	986
128	41952	200	1160	945
129	42152	200	1113	948
