System Properties:					
Operating System:	 Microsoft Windows NT 6.2.9200.0				
System User Name:	 nuc				
Machine Name:	 DESKTOP-CHDADVS				
Data properties:					
Recording name:	 Rec 01				
Recording date:	 2021/8/26				
Recording time:	 16:01:20				
Recording resolution:	 1280 x 1024				
Export date:	 2021/8/26				
Export time:	 17:19:47				
Participant:	 Pan				
Timestamp	Event	EventKey	Data1	Data2	Descriptor
3032	ImageStart	8	0	0	2912.jpg
13004	ImageEnd	16	0	0	2912.jpg
13023	InstructionStart	2048	0	0	Instruction Element
15176	KeyPress	4	32	0	Space
15178	InstructionEnd	4096	0	0	Instruction Element
15214	ImageStart	8	0	0	2748.jpg
25200	ImageEnd	16	0	0	2748.jpg
25314	InstructionStart	2048	0	0	Instruction Element
28034	KeyPress	4	32	0	Space
28036	InstructionEnd	4096	0	0	Instruction Element
28069	ImageStart	8	0	0	2990.jpg
38060	ImageEnd	16	0	0	2990.jpg
38078	InstructionStart	2048	0	0	Instruction Element
38853	KeyPress	4	32	0	Space
38868	InstructionEnd	4096	0	0	Instruction Element
38897	ImageStart	8	0	0	3013.jpg
48890	ImageEnd	16	0	0	3013.jpg
48911	InstructionStart	2048	0	0	Instruction Element
49351	KeyPress	4	32	0	Space
49352	InstructionEnd	4096	0	0	Instruction Element
49380	ImageStart	8	0	0	2257.jpg
59366	ImageEnd	16	0	0	2257.jpg
59388	InstructionStart	2048	0	0	Instruction Element
62952	KeyPress	4	32	0	Space
62954	InstructionEnd	4096	0	0	Instruction Element
62988	ImageStart	8	0	0	2972.jpg
72972	ImageEnd	16	0	0	2972.jpg
73243	InstructionStart	2048	0	0	Instruction Element
74060	KeyPress	4	32	0	Space
74061	InstructionEnd	4096	0	0	Instruction Element
74090	ImageStart	8	0	0	2153.jpg
84071	ImageEnd	16	0	0	2153.jpg
84091	InstructionStart	2048	0	0	Instruction Element
84998	KeyPress	4	32	0	Space
85001	InstructionEnd	4096	0	0	Instruction Element
85038	ImageStart	8	0	0	2724.jpg
95032	ImageEnd	16	0	0	2724.jpg
95185	InstructionStart	2048	0	0	Instruction Element
95560	KeyPress	4	32	0	Space
95563	InstructionEnd	4096	0	0	Instruction Element
95602	ImageStart	8	0	0	2281.jpg
105596	ImageEnd	16	0	0	2281.jpg
105616	InstructionStart	2048	0	0	Instruction Element
108516	KeyPress	4	32	0	Space
108525	InstructionEnd	4096	0	0	Instruction Element
108560	ImageStart	8	0	0	2939.jpg
118546	ImageEnd	16	0	0	2939.jpg
118610	InstructionStart	2048	0	0	Instruction Element
119014	KeyPress	4	32	0	Space
119025	InstructionEnd	4096	0	0	Instruction Element
119056	ImageStart	8	0	0	2114.jpg
129040	ImageEnd	16	0	0	2114.jpg
129063	InstructionStart	2048	0	0	Instruction Element
129500	KeyPress	4	32	0	Space
129507	InstructionEnd	4096	0	0	Instruction Element
129543	ImageStart	8	0	0	2840.jpg
139521	ImageEnd	16	0	0	2840.jpg
139543	InstructionStart	2048	0	0	Instruction Element
140020	KeyPress	4	32	0	Space
140036	InstructionEnd	4096	0	0	Instruction Element
140069	ImageStart	8	0	0	2686.jpg
150061	ImageEnd	16	0	0	2686.jpg
150076	InstructionStart	2048	0	0	Instruction Element
150550	KeyPress	4	32	0	Space
150553	InstructionEnd	4096	0	0	Instruction Element
150589	ImageStart	8	0	0	2140.jpg
160566	ImageEnd	16	0	0	2140.jpg
160734	InstructionStart	2048	0	0	Instruction Element
161337	KeyPress	4	32	0	Space
161340	InstructionEnd	4096	0	0	Instruction Element
161377	ImageStart	8	0	0	2684.jpg
171348	ImageEnd	16	0	0	2684.jpg
171371	InstructionStart	2048	0	0	Instruction Element
171803	KeyPress	4	32	0	Space
171805	InstructionEnd	4096	0	0	Instruction Element
171840	ImageStart	8	0	0	2863.jpg
181828	ImageEnd	16	0	0	2863.jpg
181845	InstructionStart	2048	0	0	Instruction Element
182300	KeyPress	4	32	0	Space
182302	InstructionEnd	4096	0	0	Instruction Element
182335	ImageStart	8	0	0	3028.jpg
192317	ImageEnd	16	0	0	3028.jpg
192338	InstructionStart	2048	0	0	Instruction Element
192862	KeyPress	4	32	0	Space
192863	InstructionEnd	4096	0	0	Instruction Element
192890	ImageStart	8	0	0	2889.jpg
202864	ImageEnd	16	0	0	2889.jpg
202883	InstructionStart	2048	0	0	Instruction Element
206044	KeyPress	4	32	0	Space
206053	InstructionEnd	4096	0	0	Instruction Element
206080	ImageStart	8	0	0	5488.jpg
216053	ImageEnd	16	0	0	5488.jpg
216185	InstructionStart	2048	0	0	Instruction Element
220631	KeyPress	4	32	0	Space
220632	InstructionEnd	4096	0	0	Instruction Element
220660	ImageStart	8	0	0	2711.jpg
230654	ImageEnd	16	0	0	2711.jpg
230811	InstructionStart	2048	0	0	Instruction Element
233007	KeyPress	4	32	0	Space
233010	InstructionEnd	4096	0	0	Instruction Element
233196	ImageStart	8	0	0	3279.jpg
243172	ImageEnd	16	0	0	3279.jpg
243280	InstructionStart	2048	0	0	Instruction Element
243654	KeyPress	4	32	0	Space
243655	InstructionEnd	4096	0	0	Instruction Element
243685	ImageStart	8	0	0	6531.jpg
253674	ImageEnd	16	0	0	6531.jpg
253695	InstructionStart	2048	0	0	Instruction Element
254173	KeyPress	4	32	0	Space
254176	InstructionEnd	4096	0	0	Instruction Element
254217	ImageStart	8	0	0	5446.jpg
264198	ImageEnd	16	0	0	5446.jpg
264221	InstructionStart	2048	0	0	Instruction Element
264864	KeyPress	4	32	0	Space
264865	InstructionEnd	4096	0	0	Instruction Element
264894	ImageStart	8	0	0	6254.jpg
274879	ImageEnd	16	0	0	6254.jpg
274897	InstructionStart	2048	0	0	Instruction Element
276414	KeyPress	4	32	0	Space
276417	InstructionEnd	4096	0	0	Instruction Element
276451	ImageStart	8	0	0	3517.jpg
286433	ImageEnd	16	0	0	3517.jpg
286509	InstructionStart	2048	0	0	Instruction Element
288318	KeyPress	4	32	0	Space
288331	InstructionEnd	4096	0	0	Instruction Element
288365	ImageStart	8	0	0	5463.jpg
298351	ImageEnd	16	0	0	5463.jpg
298403	InstructionStart	2048	0	0	Instruction Element
298826	KeyPress	4	32	0	Space
298829	InstructionEnd	4096	0	0	Instruction Element
298866	ImageStart	8	0	0	6198.jpg
308858	ImageEnd	16	0	0	6198.jpg
308876	InstructionStart	2048	0	0	Instruction Element
314561	KeyPress	4	32	0	Space
314562	InstructionEnd	4096	0	0	Instruction Element
314592	ImageStart	8	0	0	6305.jpg
324575	ImageEnd	16	0	0	6305.jpg
324759	InstructionStart	2048	0	0	Instruction Element
327152	KeyPress	4	32	0	Space
327168	InstructionEnd	4096	0	0	Instruction Element
327204	ImageStart	8	0	0	6450.jpg
337175	ImageEnd	16	0	0	6450.jpg
337194	InstructionStart	2048	0	0	Instruction Element
339377	KeyPress	4	32	0	Space
339379	InstructionEnd	4096	0	0	Instruction Element
339414	ImageStart	8	0	0	1895.jpg
349396	ImageEnd	16	0	0	1895.jpg
349419	InstructionStart	2048	0	0	Instruction Element
350766	KeyPress	4	32	0	Space
350780	InstructionEnd	4096	0	0	Instruction Element
350818	ImageStart	8	0	0	6315.jpg
360812	ImageEnd	16	0	0	6315.jpg
360837	InstructionStart	2048	0	0	Instruction Element
362949	KeyPress	4	32	0	Space
362959	InstructionEnd	4096	0	0	Instruction Element
362999	ImageStart	8	0	0	1689.jpg
372983	ImageEnd	16	0	0	1689.jpg
373101	InstructionStart	2048	0	0	Instruction Element
373640	KeyPress	4	32	0	Space
373652	InstructionEnd	4096	0	0	Instruction Element
373679	ImageStart	8	0	0	5990.jpg
383667	ImageEnd	16	0	0	5990.jpg
383685	InstructionStart	2048	0	0	Instruction Element
387132	KeyPress	4	32	0	Space
387147	InstructionEnd	4096	0	0	Instruction Element
387179	ImageStart	8	0	0	6016.jpg
397170	ImageEnd	16	0	0	6016.jpg
397189	InstructionStart	2048	0	0	Instruction Element
