Data properties:

Recording date: 2019/11/13
Recording time: 09:50:55:000 (corresponds to time 0)
Study: Test2
Subject: HZT
Recording: HZT
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
242	56575	50	164	399	
243	56625	216	169	491	
244	56842	100	818	485	
245	57200	150	993	259	
246	57350	192	1224	42	
247	57541	333	1265	-22	
248	57875	500	1216	-1	
249	58374	250	759	326	
250	58624	183	978	432	
251	58807	216	1169	241	
252	59024	266	209	228	
253	59290	241	194	269	
254	59757	166	847	255	
255	59923	300	1177	228	
256	60223	233	300	265	
257	60456	716	172	284	
258	61172	466	399	220	
259	61639	283	328	170	
260	61922	208	1127	232	
261	62130	633	1170	252	
262	62763	225	1112	900	
263	62988	458	1176	818	
264	63446	241	1176	314	
265	63687	333	1161	220	
266	64020	217	1145	274	
267	64237	325	1103	418	
268	64562	283	1151	872	
269	64845	200	1160	794	
270	65044	566	718	400	
271	65611	208	1063	326	
272	65819	291	386	173	
273	66110	466	201	262	
274	66577	408	1162	252	
275	66985	83	1119	387	
276	67068	133	1103	574	
277	67201	433	1174	810	
278	67634	50	1189	767	
279	67684	83	1144	801	
280	67768	58	1131	234	
281	67826	75	1122	357	
282	68092	350	1156	307	
283	68442	142	1142	110	
284	68759	175	1284	43	
285	68934	1066	1278	-7	
286	70000	325	1220	-6	
287	70324	191	943	341	
288	70516	133	1078	482	
289	70649	192	1213	1044	
290	70841	400	1187	923	
291	71240	308	1173	579	
292	71548	166	1148	608	
293	71715	250	1188	684	
294	71965	208	1170	754	
295	72173	266	1148	962	
296	72439	291	1127	932	
297	72731	383	1162	918	
298	73114	67	1157	552	
299	73181	58	1161	478	
300	73239	208	1138	548	
301	73447	358	822	293	
302	73805	166	1118	762	
303	73972	158	1164	1032	
304	74130	300	1138	924	
305	74430	616	1132	569	
306	75046	291	1186	928	
307	75338	491	800	864	
308	75829	158	1068	434	
309	75987	125	1050	466	
310	76112	383	733	247	
311	76495	50	734	309	
312	76545	75	728	261	
313	76620	300	978	334	
314	76920	92	645	305	
315	77011	50	625	267	
316	77061	117	649	313	
317	77178	233	1020	989	
318	77411	67	1102	926	
319	77478	50	1160	863	
320	77528	208	1102	923	
321	77736	525	1128	539	
322	78261	266	1159	619	
323	78527	375	1042	963	
324	78902	175	1103	649	
325	79077	375	1157	591	
326	79451	333	953	305	
327	79784	233	704	227	
328	80018	333	453	255	
329	80909	58	1068	662	
330	80967	100	1188	1036	
331	81067	92	1202	1071	
332	81492	67	1054	801	
333	81558	67	956	388	
334	81625	142	964	488	
335	81766	75	995	471	
336	81841	217	1139	606	
337	82058	91	1165	651	
338	82149	50	1201	638	
339	82199	58	1192	914	
340	82258	192	1169	977	
341	82449	75	1063	844	
342	82524	100	1010	842	
343	82624	117	652	323	
344	82741	133	648	366	
345	82874	391	618	193	
346	83265	383	412	292	
347	83649	375	627	229	
348	84023	241	1003	564	
349	84265	466	1132	623	
350	84731	92	1133	831	
351	84823	308	1119	877	
352	85131	508	1160	620	
353	85639	150	910	651	
354	85789	316	1045	937	
355	86105	325	1165	924	
356	86430	108	1073	546	
357	86538	50	1089	511	
358	86588	108	1050	543	
359	86696	375	61	365	
360	87071	266	649	351	
361	87338	316	1088	537	
362	87654	575	1151	638	
363	88229	100	1115	636	
364	88329	458	32	295	
365	88787	58	432	300	
366	88845	217	483	333	
367	89061	575	664	236	
368	89636	216	508	304	
369	89853	258	1123	590	
370	90111	266	1165	630	
371	90377	133	1203	1008	
372	90510	608	1190	907	
373	91118	233	1117	559	
374	91352	425	802	402	
375	92109	233	1075	546	
376	92659	525	1117	601	
377	93184	308	857	423	
378	93492	200	945	251	
379	93692	333	1147	207	
380	94025	266	1047	180	
381	94566	216	1100	169	
382	94783	275	958	204	
383	95057	233	776	278	
384	95290	291	1149	202	
385	95582	208	1178	794	
386	95790	300	1172	887	
387	96090	158	1183	813	
388	96248	383	1127	141	
389	96631	250	1146	191	
390	96881	216	1172	243	
391	97098	108	733	228	
392	97206	258	274	423	
393	97464	200	385	1025	
394	97664	266	377	948	
395	97930	100	238	914	
396	98030	50	131	844	
397	98080	241	227	953	
398	98322	116	200	926	
399	98438	50	232	947	
400	98488	50	200	904	
401	98538	158	490	919	
402	98697	141	536	907	
403	98838	333	495	953	
404	99171	375	847	821	
405	99546	242	512	874	
406	99788	225	335	990	
407	100012	67	405	999	
408	100079	267	266	428	
409	100345	300	911	211	
410	100645	508	772	237	
411	101153	191	416	772	
412	101345	241	600	899	
413	101586	92	809	258	
414	101678	50	826	226	
415	101728	258	813	268	
416	101986	333	1084	170	
417	102319	283	1180	225	
418	102602	216	1169	270	
419	102819	416	765	273	
420	103235	308	850	176	
421	103768	541	1076	486	
422	104309	450	1081	548	
423	105409	117	977	617	
424	105525	75	982	533	
425	105900	58	1055	453	
426	105958	50	1017	452	
427	106008	58	1058	414	
428	106066	325	1029	458	
429	106391	225	1316	398	
430	106616	183	914	428	
431	106799	225	878	475	
432	107024	117	1165	824	
433	107141	50	1201	785	
434	107191	400	1162	841	
435	107591	116	1147	880	
436	107707	366	1177	638	
437	108073	208	1145	622	
438	108282	133	632	356	
439	108415	83	587	389	
440	108498	308	404	193	
441	108806	275	1184	16	
442	109081	133	1261	27	
443	109214	158	1029	884	
444	109373	50	1034	949	
445	109423	150	1034	880	
446	109572	308	481	852	
447	109881	208	1131	836	
448	110089	208	1141	610	
449	110297	50	1162	565	
450	110347	67	1127	614	
451	110414	216	708	397	
452	110630	75	750	397	
453	110705	316	543	296	
454	111021	408	294	222	
455	111429	233	460	314	
456	111663	175	823	410	
457	112121	125	1106	565	
458	112246	700	1158	638	
459	112945	316	1109	946	
460	113262	350	1150	840	
461	113611	291	1126	563	
462	113903	358	687	426	
463	114261	167	595	364	
464	114427	58	599	310	
465	114486	158	600	369	
466	114644	183	911	726	
467	114827	316	1091	561	
468	115144	408	983	492	
469	115552	200	1200	702	
470	115752	283	1161	631	
471	116035	275	1126	831	
472	116310	58	1222	839	
473	116718	183	1180	879	
474	117317	208	825	491	
475	117525	225	947	309	
476	117750	216	1246	181	
477	117967	333	1258	9	
