System Properties:
Operating System:	 Microsoft Windows NT 6.2.9200.0
System User Name:	 gaozh
Machine Name:	 DESKTOP-D1BOOAD

Data properties:

Recording name:	 HZT
Recording date:	 2019/11/13
Recording time:	 9:50:55
Recording resolution:	 1280 x 1024

Export date:	 2019/11/13
Export time:	 10:01:16

Participant:	 HZT
Timestamp	Event	EventKey	Data1	Data2	Descriptor	
0	ImageStart	8	0	0	5309_1.jpg	
9971	ImageEnd	16	0	0	5309_1.jpg	
10207	InstructionStart	2048	0	0	Instruction Element	
11077	KeyPress	4	32	0	Space	
11087	InstructionEnd	4096	0	0	Instruction Element	
11171	ImageStart	8	0	0	2650_2.jpg	
21129	ImageEnd	16	0	0	2650_2.jpg	
21333	InstructionStart	2048	0	0	Instruction Element	
22908	KeyPress	4	32	0	Space	
22931	InstructionEnd	4096	0	0	Instruction Element	
23004	ImageStart	8	0	0	2576_2.jpg	
32968	ImageEnd	16	0	0	2576_2.jpg	
33071	InstructionStart	2048	0	0	Instruction Element	
34786	KeyPress	4	32	0	Space	
34804	InstructionEnd	4096	0	0	Instruction Element	
34885	ImageStart	8	0	0	5393_3.jpg	
44849	ImageEnd	16	0	0	5393_3.jpg	
45027	InstructionStart	2048	0	0	Instruction Element	
46464	KeyPress	4	32	0	Space	
46473	InstructionEnd	4096	0	0	Instruction Element	
46575	ImageStart	8	0	0	2201_2.jpg	
56518	ImageEnd	16	0	0	2201_2.jpg	
56726	InstructionStart	2048	0	0	Instruction Element	
58116	KeyPress	4	32	0	Space	
58124	InstructionEnd	4096	0	0	Instruction Element	
58210	ImageStart	8	0	0	2450_1.jpg	
68162	ImageEnd	16	0	0	2450_1.jpg	
68293	InstructionStart	2048	0	0	Instruction Element	
69948	KeyPress	4	32	0	Space	
69954	InstructionEnd	4096	0	0	Instruction Element	
70043	ImageStart	8	0	0	2818_1.jpg	
79988	ImageEnd	16	0	0	2818_1.jpg	
80148	InstructionStart	2048	0	0	Instruction Element	
81434	KeyPress	4	32	0	Space	
81440	InstructionEnd	4096	0	0	Instruction Element	
81526	ImageStart	8	0	0	2212_3.jpg	
91472	ImageEnd	16	0	0	2212_3.jpg	
91615	InstructionStart	2048	0	0	Instruction Element	
93142	KeyPress	4	32	0	Space	
93147	InstructionEnd	4096	0	0	Instruction Element	
93243	ImageStart	8	0	0	3621_2.jpg	
103194	ImageEnd	16	0	0	3621_2.jpg	
103349	InstructionStart	2048	0	0	Instruction Element	
106327	KeyPress	4	32	0	Space	
106336	InstructionEnd	4096	0	0	Instruction Element	
106418	ImageStart	8	0	0	3134_2.jpg	
116379	ImageEnd	16	0	0	3134_2.jpg	
116585	InstructionStart	2048	0	0	Instruction Element	
118019	KeyPress	4	32	0	Space	
118037	InstructionEnd	4096	0	0	Instruction Element	
118113	ImageStart	8	0	0	2007_1.jpg	
128064	ImageEnd	16	0	0	2007_1.jpg	
128344	InstructionStart	2048	0	0	Instruction Element	
129796	KeyPress	4	32	0	Space	
129818	InstructionEnd	4096	0	0	Instruction Element	
129891	ImageStart	8	0	0	3471_2.jpg	
139859	ImageEnd	16	0	0	3471_2.jpg	
140011	InstructionStart	2048	0	0	Instruction Element	
141493	KeyPress	4	32	0	Space	
141501	InstructionEnd	4096	0	0	Instruction Element	
141587	ImageStart	8	0	0	1958_2.jpg	
151536	ImageEnd	16	0	0	1958_2.jpg	
151708	InstructionStart	2048	0	0	Instruction Element	
153186	KeyPress	4	32	0	Space	
153196	InstructionEnd	4096	0	0	Instruction Element	
153270	ImageStart	8	0	0	3339_1.jpg	
163240	ImageEnd	16	0	0	3339_1.jpg	
163413	InstructionStart	2048	0	0	Instruction Element	
164824	KeyPress	4	32	0	Space	
164831	InstructionEnd	4096	0	0	Instruction Element	
