Data properties:

Recording date: 2021/9/22
Recording time: 18:39:26:000 (corresponds to time 0)
Study: Test3
Subject: P12
Recording: Rec 08
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
1	50	167	416	482	
2	217	233	429	240	
3	450	200	970	383	
4	650	333	1151	549	
5	983	233	1172	874	
6	1216	233	1163	914	
7	1449	150	879	901	
8	1599	266	1152	555	
9	1866	166	1158	600	
10	2032	217	1187	557	
11	2249	216	1192	874	
12	2465	283	1171	916	
13	2748	283	1040	774	
14	3032	150	1039	709	
15	3182	133	1086	487	
16	3315	183	1061	519	
17	3498	183	1012	554	
18	3681	150	996	485	
19	3831	216	476	234	
20	4047	366	701	242	
21	4414	233	963	854	
22	4647	183	532	854	
23	4830	266	1109	920	
24	5097	450	1160	922	
25	5547	100	1168	881	
26	5830	150	1133	539	
27	5979	300	694	313	
28	6279	500	718	243	
29	6779	283	733	291	
30	7062	316	900	381	
31	7379	216	558	246	
32	7595	533	670	227	
33	8245	83	920	452	
34	8328	183	916	417	
35	8511	366	1085	602	
36	10160	100	910	943	
37	10260	117	829	944	
38	10376	267	619	452	
39	10643	200	767	547	
40	10843	166	628	521	
41	11642	83	1043	397	
42	11726	183	1110	436	
43	11909	100	1056	616	
44	12442	17	1075	875	
45	12892	166	1096	587	
46	13474	100	287	284	
47	13574	250	251	319	
48	13824	383	890	455	
49	14374	150	410	399	
50	15523	133	1356	874	
51	15656	167	1356	922	
52	15823	133	1169	897	
53	15956	150	397	869	
54	16106	183	393	935	
55	16289	133	359	887	
56	16589	216	270	239	
57	16805	400	803	272	
58	17205	200	1029	401	
59	17405	300	1171	436	
60	17705	150	1128	443	
61	17855	100	1153	400	
62	17955	100	1169	439	
63	18205	16	1324	822	
64	18388	116	1181	923	
65	18504	333	1188	875	
66	18837	233	1194	440	
67	19070	283	1136	458	
68	19354	100	1074	528	
69	19654	216	1133	830	
70	19870	383	1114	762	
71	20253	200	1039	505	
72	20453	533	1099	537	
73	20986	116	1166	764	
74	21102	100	1120	785	
75	21336	166	328	183	
76	21502	516	724	438	
77	22018	216	399	426	
78	22235	250	948	293	
79	22485	433	1090	235	
80	23068	83	1121	845	
81	23151	300	1065	894	
82	23451	266	1150	933	
83	23717	366	877	788	
84	24267	150	1197	166	
85	24417	233	1130	236	
86	24650	350	401	281	
87	25000	350	609	367	
88	25350	400	947	331	
89	25749	200	1109	305	
90	25949	300	1169	230	
91	26249	333	1134	879	
92	26582	500	1147	916	
93	27082	200	1061	903	
94	27282	150	890	773	
95	27432	400	1120	234	
96	27831	200	1145	203	
97	28031	366	176	116	
98	28397	167	255	180	
99	28564	233	307	849	
100	28797	450	176	883	
101	29247	283	191	89	
102	29530	100	190	127	
103	29630	100	253	171	
104	29846	133	280	800	
105	29980	283	218	866	
106	30263	300	917	849	
107	30812	100	493	171	
108	30912	283	960	298	
109	31196	383	1137	272	
110	31579	167	1084	264	
111	31745	233	609	405	
112	31978	266	809	505	
113	32428	150	337	162	
114	32578	633	732	457	
115	33211	200	653	248	
116	33411	200	945	160	
117	33611	350	1057	215	
118	33960	167	1142	260	
119	34127	383	833	170	
