Data properties:				
Recording date: 2021/9/14				
Recording time: 16:23:48:000 (corresponds to time 0)				
Study: Test2				
Subject: P09				
Recording: Rec 05				
Screen resolution: 1280 x 1024				
Coordinate unit: Pixels				
Filter settings:				
Eye: Average				
Validity: Normal				
Fixation filter: Tobii fixation filter				
Fixation radius: 35				
FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY
1	312	151	970	459
2	463	200	969	592
3	663	283	1027	634
4	946	267	971	917
5	1213	233	620	809
6	1446	317	1115	637
7	1763	217	893	486
8	1980	250	381	243
9	2230	317	269	159
10	2546	583	936	555
11	3130	200	1099	556
12	3330	250	943	499
13	3580	267	693	471
14	3847	200	1044	464
15	4047	100	906	464
16	4147	133	717	396
17	6130	183	1008	690
18	6314	117	919	936
19	6758	316	1120	698
20	7075	266	1015	631
21	7341	150	817	581
22	7491	300	1091	917
23	7791	200	862	901
24	7991	266	667	904
25	8257	300	1118	926
26	8557	250	1108	682
27	9173	83	799	521
28	9257	866	634	529
29	10123	250	400	380
30	10373	200	565	538
31	10572	166	745	547
32	10739	200	835	547
33	10939	233	666	539
34	11172	100	592	680
35	12021	300	750	490
36	12321	216	1099	627
37	12538	316	663	895
38	12854	250	1077	659
39	13104	216	1076	877
40	13321	216	585	881
41	13537	250	378	880
42	13787	166	991	544
43	13953	283	1061	589
44	14237	300	1072	937
45	14536	383	575	913
46	14920	200	417	551
47	15119	250	477	232
48	15369	316	654	256
49	15686	500	782	483
50	16335	83	956	551
51	16418	217	953	593
52	16635	217	783	536
53	16852	250	1038	650
54	17218	83	802	458
55	17301	150	779	515
56	17451	150	1062	726
57	17601	216	1060	790
58	17817	183	1130	794
59	18001	100	803	792
60	18101	150	823	757
61	18251	166	887	472
62	18417	100	884	540
63	18517	100	1107	456
64	18617	250	1074	607
65	18867	100	1062	909
66	18967	150	1111	769
67	19117	133	1078	885
68	19250	133	1110	509
69	19383	183	1133	424
70	19566	316	869	449
71	19883	200	602	230
72	20083	266	868	900
73	20349	183	1101	933
74	20532	266	694	929
75	21032	167	660	886
76	21199	166	880	880
77	21365	233	1047	605
78	21598	183	797	488
79	21781	500	693	560
80	22281	233	845	540
81	22514	566	573	557
82	23081	250	995	252
83	23330	300	1097	165
84	23630	283	1118	917
85	23913	117	803	852
86	24030	117	841	786
87	24147	250	536	766
88	24396	350	1058	870
89	24746	216	1128	877
90	25079	366	1107	196
91	25446	583	384	545
92	26029	266	577	871
93	26295	250	342	953
94	26545	316	-355	852
95	27444	166	973	317
96	27611	433	824	255
97	28044	266	1094	193
98	28310	300	1094	1007
99	28610	233	734	927
100	28843	300	558	903
101	29143	100	617	827
102	29393	166	1072	174
103	29560	383	681	321
104	29943	799	1093	212
105	30742	316	1042	737
106	31059	383	1092	881
107	31442	283	759	838
108	31725	383	1090	184
109	32108	366	895	251
110	32474	716	1130	147
111	33191	316	831	429
112	33507	150	838	561
113	33857	83	896	465
114	33940	300	886	390
115	34240	150	1100	766
116	34390	100	1086	897
117	34490	233	1086	848
118	34723	200	891	882
119	34923	216	1113	862
120	35139	216	1186	189
121	35356	266	1130	163
122	35622	266	1091	881
123	35889	500	1111	829
124	36388	316	960	846
125	36705	233	752	887
126	36938	299	421	845
127	37237	266	946	340
128	37503	117	934	415
129	37620	117	1112	175
130	37736	150	1101	217
131	37886	300	1134	123
132	38186	200	702	379
133	38386	316	1119	214
134	38702	316	1135	146
135	39019	333	1054	304
136	39352	250	1138	146
137	39835	83	479	543
138	39918	100	474	507
139	40018	116	471	461
140	40134	450	840	605
141	40584	200	924	737
142	40784	316	427	786
143	41100	100	1028	268
144	41200	217	1012	343
145	41417	216	1121	145
146	41633	100	814	696
147	41900	150	824	661
148	42050	233	812	600
149	42283	100	796	498
150	42383	133	805	548
151	42516	150	986	308
152	42666	350	975	369
153	43016	416	900	800
154	43432	100	873	736
155	43532	216	851	798
156	43748	300	1111	764
157	44048	233	854	520
158	44281	183	584	524
159	44465	550	777	549
160	45014	316	928	794
161	45331	183	1066	413
162	45514	300	790	232
163	45814	233	1120	620
164	46047	300	1155	906
165	46347	183	972	920
166	46530	400	1121	551
167	46930	100	1132	513
168	47029	250	1155	907
169	47279	216	831	872
170	47496	300	998	460
171	47796	400	815	289
172	48195	150	1049	531
173	48345	316	932	799
174	48662	316	777	853
175	48978	283	437	844
176	49261	300	1010	937
177	49561	333	1141	937
178	49894	183	1146	893
179	50194	83	844	944
180	50277	216	798	907
181	50494	167	924	947
182	50660	283	1050	474
183	50943	300	844	291
184	51243	300	581	309
185	51543	416	289	367
186	51959	400	602	419
187	52359	500	907	518
188	52859	316	1061	516
189	53175	250	764	321
190	53425	333	1161	529
191	53758	183	1102	620
192	54074	83	1189	1057
193	54158	383	1150	912
194	54541	217	711	859
195	54757	583	1117	816
196	55340	183	712	569
197	55523	250	842	557
198	55773	233	589	547
199	56006	416	877	555
200	56423	583	519	541
201	57006	366	-331	816
202	57372	283	871	508
203	57655	250	665	537
204	57905	366	836	551
205	58388	233	1172	279
206	58621	633	1135	299
207	59254	516	451	166
208	59770	366	765	564
209	60137	466	1079	378
210	60603	300	644	413
211	60903	500	434	196
212	61403	366	945	637
213	61769	550	1171	273
214	62319	366	1093	375
215	62685	383	448	245
216	63068	416	1115	366
217	63601	83	1102	998
218	63684	167	1097	795
219	63851	200	1131	807
220	64051	899	1057	427
221	64950	366	606	350
222	65316	450	1145	293
223	65766	200	1096	381
224	66133	250	1087	366
225	66382	100	1094	327
226	66482	100	1092	391
227	66582	266	1137	287
228	66849	250	1116	367
229	67098	383	940	539
230	67482	316	1110	901
231	67798	200	1143	850
232	67998	333	1147	298
233	68331	333	820	475
234	68664	250	591	520
235	68914	350	860	545
236	69264	400	626	546
237	69663	316	726	544
238	69980	416	1119	548
239	70396	250	965	330
240	70646	533	1142	645
241	71179	333	1157	949
242	71512	200	1031	896
243	71712	350	1079	485
244	72062	266	966	343
245	72328	316	1154	641
246	72811	150	1110	522
247	72961	200	572	509
248	73161	250	1121	541
249	73410	233	627	774
250	73644	166	604	323
251	73927	33	1038	351
252	74093	83	959	319
253	74559	83	1084	887
254	74643	400	1071	854
255	75043	150	1159	768
256	75192	400	825	788
257	75592	117	1015	475
258	75709	133	998	563
259	75958	183	1060	532
260	76342	167	1142	613
261	76508	150	988	642
262	76658	316	1047	582
263	77758	167	656	916
264	77925	100	395	826
265	78025	133	430	867
266	78158	416	1097	518
267	78574	367	1126	642
268	78941	400	912	971
269	79341	333	563	865
270	79674	317	1145	660
271	79990	1233	817	533
272	81340	83	1083	625
273	81423	233	1119	571
274	81656	183	1158	612
275	81839	317	1096	942
276	82156	466	1011	576
277	82622	500	1114	934
278	83122	200	960	892
279	83322	217	819	398
280	83538	250	675	264
281	83788	350	928	515
282	84771	233	973	376
283	85004	117	488	222
284	85121	100	484	69
285	85221	167	556	738
286	86004	83	859	1140
287	86087	183	1152	1067
288	86270	267	1068	1122
289	86537	283	520	1079
290	86820	366	227	1073
291	87186	150	259	1023
292	87336	282	1147	598
293	87618	300	1088	646
294	87918	516	508	1133
295	88434	200	359	901
296	88634	183	-1265	824
297	88817	117	-235	1005
298	88934	366	1117	526
299	89300	133	975	522
300	89433	116	1077	421
301	89550	117	1170	544
302	89667	100	1176	470
303	89767	200	942	521
304	89966	116	940	569
305	90083	133	854	466
306	90799	450	1009	531
307	91249	150	732	363
308	91399	216	692	453
309	91615	683	821	410
310	92298	150	559	398
311	92448	100	1012	171
312	92548	366	1007	229
313	92914	266	582	658
314	93181	216	908	293
315	93397	233	487	938
316	93630	183	481	893
317	93947	83	1062	85
318	94030	200	1015	79
319	94230	283	1015	136
320	94513	167	1049	254
321	94680	200	1967	704
322	95063	200	3848	200
323	95263	266	3984	172
324	95529	183	1009	131
325	95712	150	1035	41
326	95979	150	1134	191
327	96129	333	860	234
328	96462	333	1109	198
329	96795	133	1012	197
330	97061	183	1141	273
331	97245	266	942	203
332	97511	216	1118	107
333	97728	167	1169	812
334	97894	250	1153	752
335	98144	200	1002	784
336	98344	183	1141	613
337	98527	150	1152	48
338	98677	116	1122	202
339	98793	516	949	220
340	99310	150	1164	780
341	99460	117	1190	724
342	99576	100	1157	784
343	99676	116	1160	164
344	99793	483	1169	219
345	100276	217	1956	131
346	100492	283	1779	375
347	100776	100	1008	448
348	100875	133	1035	413
349	101009	266	978	308
350	101275	250	1135	950
351	101525	233	1122	885
352	101941	217	1169	257
353	102158	283	1135	192
354	102441	383	746	575
355	103024	266	735	551
356	103290	217	506	538
357	103507	350	583	555
358	103857	283	1016	555
359	104140	133	1147	662
360	104273	150	1155	783
361	104423	250	780	380
362	104673	266	1126	957
363	104939	266	754	917
364	105206	250	968	550
365	105456	416	586	334
366	105872	283	1055	889
367	106155	333	549	904
368	106488	366	381	889
369	106855	266	967	627
370	107121	316	873	485
371	107438	150	684	346
372	107887	183	540	451
373	108070	133	543	1197
374	108203	100	579	1113
375	108503	250	672	952
376	108753	100	611	1072
377	109553	83	778	602
378	109636	183	793	446
379	109819	266	1069	499
380	110085	483	999	492
381	110568	849	1078	650
382	111418	266	874	492
383	111684	433	1036	574
384	112117	133	935	585
385	112250	183	1066	924
386	112434	250	1094	599
387	112683	300	657	383
388	112983	383	468	242
389	113366	550	1026	556
390	113916	283	810	535
391	114199	1116	702	548
392	115315	733	1100	560
393	116164	1149	761	205
394	117313	799	1081	551
395	118113	516	833	348
396	118629	483	940	389
397	119112	416	728	189
398	119529	266	1048	508
399	119795	366	944	486
400	120278	83	1042	538
401	120361	383	1051	497
402	120744	716	1102	650
403	121461	450	1095	968
404	121910	400	969	420
405	122310	1616	701	200
406	123926	1216	909	378
407	125141	400	1054	575
408	125708	566	831	554
409	126274	233	841	502
410	126507	150	834	546
411	126657	117	1141	841
412	126773	100	1123	876
413	126873	416	963	461
414	127290	350	1034	620
415	127823	200	1097	502
416	128023	600	631	348
417	128622	1316	1083	528
418	129938	366	810	434
419	130304	666	1087	552
420	130971	699	1114	913
421	131670	1366	1105	538
422	133036	533	1121	910
423	133569	1549	1130	483
424	135118	833	1105	892
425	136084	100	1160	338
426	136184	216	1151	412
427	136400	350	1131	476
428	136750	233	756	546
429	136983	233	852	581
430	137216	999	571	555
431	138215	266	1186	378
432	138482	216	1092	349
433	138698	167	1651	389
434	138865	183	970	455
435	139048	117	2157	127
436	139165	167	1870	307
437	139331	350	1965	152
438	139681	350	1087	369
439	140031	167	645	514
440	140314	167	566	302
441	140481	433	1055	298
442	140913	167	1094	243
443	141080	283	812	321
444	141363	100	611	461
445	141463	166	633	417
446	141630	250	1041	328
447	141880	100	1098	489
448	141979	150	1088	428
449	142129	133	1115	807
450	142629	250	847	288
451	142879	116	1069	297
452	143129	150	869	324
453	143279	366	1110	828
454	143645	100	775	826
455	143745	100	773	861
456	144011	166	1046	307
457	144178	233	818	320
458	144411	416	816	858
459	144994	500	800	801
460	145494	233	472	885
461	145727	150	1058	828
462	145877	217	1035	882
463	146093	266	1111	357
464	146360	216	946	341
465	146576	150	1108	335
466	146726	266	1097	925
467	146992	216	1125	898
468	147209	217	1131	307
469	147426	316	881	335
470	147742	200	649	478
471	147942	250	1084	342
472	148192	200	786	601
473	148392	783	838	563
474	149174	333	732	536
475	149507	450	1095	632
476	149957	683	1070	921
477	150640	250	1035	575
478	150890	266	546	404
479	151156	233	956	541
480	153105	83	948	461
481	153388	83	904	454
482	153471	316	-326	343
483	153788	533	-451	413
484	154321	333	1063	662
485	154654	250	1005	586
486	154903	183	886	602
487	155087	383	1117	905
488	155470	233	1105	611
489	155703	300	908	588
490	156003	350	1112	889
491	156352	233	1137	915
492	156586	183	974	913
493	156769	100	1007	570
494	156869	150	1005	616
495	157019	250	1108	944
496	157269	250	871	928
497	157518	117	875	893
498	157785	83	910	764
499	157868	133	928	605
500	158001	150	942	569
501	158151	150	778	502
502	158301	150	819	408
503	158451	150	1023	548
504	158601	150	1044	468
505	158751	116	960	447
506	158867	117	962	402
507	158984	266	437	373
508	159250	316	822	564
509	159567	183	691	527
510	159750	266	569	532
511	160017	300	442	557
512	160316	383	617	551
513	160699	250	888	156
514	160949	333	1129	190
515	161465	83	976	244
516	161549	216	732	175
517	161765	316	467	438
518	162082	117	1015	942
519	162398	83	1213	901
520	164430	83	1035	219
521	164513	183	1106	213
522	164697	183	744	213
523	164996	166	856	160
524	165163	100	476	279
525	165379	233	442	332
526	165896	416	548	293
527	166312	100	1100	117
528	166412	150	1058	162
529	166562	183	936	234
530	166745	433	573	324
531	167178	333	1146	170
532	167511	150	1094	209
533	168777	150	419	320
534	168927	100	415	414
535	169027	100	335	388
536	169127	200	318	550
537	169460	300	988	166
538	169760	366	528	423
539	170126	350	401	470
540	170476	266	392	553
541	170743	200	674	554
542	170942	266	870	547
543	171209	100	651	1238
544	172558	83	817	322
545	172641	450	659	409
546	173091	366	1106	505
547	173457	250	477	291
548	173707	350	1003	524
549	174057	366	882	404
550	174423	466	671	411
551	174890	400	543	454
552	175290	266	1066	483
553	175556	183	952	464
554	175889	116	756	390
555	176006	133	749	441
556	176139	133	1149	981
557	176272	416	1148	900
558	176888	150	1098	457
559	177038	183	1125	378
560	177421	300	1240	777
561	177721	266	1189	810
562	177988	167	933	804
563	178337	200	1065	438
564	178537	300	1141	476
565	178837	400	1191	842
566	179237	200	1029	828
567	179437	100	1140	473
568	179537	183	1123	530
569	179720	200	1034	459
570	179920	216	869	378
571	180136	300	604	405
572	180436	250	440	295
573	180686	283	843	924
574	180969	333	1177	894
575	181302	400	1091	515
576	181702	350	545	561
577	182052	216	769	526
578	182268	450	545	528
579	182718	100	397	1007
580	183567	83	1124	248
581	183651	216	1100	283
582	183867	216	1144	140
583	184084	216	878	501
584	184300	316	1119	873
585	184617	516	1128	834
586	185133	116	1009	1101
587	185249	117	915	994
588	185566	167	1013	717
589	185732	233	887	513
590	185966	133	867	542
591	186099	266	855	611
592	186365	200	958	816
593	186765	250	979	941
594	187015	550	863	932
595	187565	100	1089	929
596	187665	216	1094	849
597	187881	117	1091	760
598	190279	33	999	249
599	190696	100	1127	774
600	190796	250	1138	833
601	191045	233	966	834
602	191279	250	908	543
603	191645	250	1135	244
604	191895	383	1141	127
605	192278	283	1122	866
606	192561	350	652	877
607	192911	266	346	707
608	193177	200	999	635
609	193377	783	837	548
610	194160	167	461	607
611	194327	350	480	530
612	194676	250	1021	475
613	194926	100	1015	531
614	195026	300	442	244
615	195509	83	350	798
616	195592	266	350	857
617	195859	100	368	890
618	195959	100	331	845
619	196309	133	437	253
620	196442	233	332	109
621	196675	167	314	240
622	196842	150	419	119
623	199640	150	559	361
624	199790	133	333	191
625	199923	100	315	235
626	200023	283	638	479
627	200306	266	948	568
628	200689	166	847	439
629	200855	266	435	306
630	201122	233	844	532
631	201355	350	963	554
632	201705	100	689	487
633	201805	116	705	454
634	201921	233	999	561
635	202155	250	1035	977
636	202404	216	819	939
637	202621	233	578	932
638	202987	199	609	908
639	203186	200	1120	840
640	203386	167	1080	922
641	203553	216	864	924
642	203769	266	1034	563
643	204036	350	1122	559
644	204385	150	1039	501
645	204718	133	755	387
646	204852	167	666	524
647	205018	899	864	546
648	205918	266	717	544
649	206184	383	533	528
650	206567	166	413	224
651	206734	266	1111	572
652	207000	300	1057	913
653	207300	266	689	898
654	207566	166	345	824
655	207949	167	347	730
656	208116	133	-508	834
657	208249	383	-467	887
658	208632	266	986	411
659	208899	116	453	180
660	209015	233	447	251
661	209249	250	300	191
662	209498	283	648	351
663	209782	466	1064	526
664	210248	183	1127	918
665	210614	83	983	948
666	210698	466	966	853
667	211164	167	1127	468
668	211330	100	1112	528
669	211547	167	766	347
670	211863	183	745	197
671	212047	133	643	794
672	212180	133	631	852
673	212463	100	1063	901
