System Properties:					
Operating System:	 Microsoft Windows NT 6.2.9200.0				
System User Name:	 nuc				
Machine Name:	 DESKTOP-CHDADVS				
Data properties:					
Recording name:	 Rec 02				
Recording date:	 2021/9/7				
Recording time:	 17:24:35				
Recording resolution:	 1280 x 1024				
Export date:	 2021/9/7				
Export time:	 17:38:44				
Participant:	 Zhou				
Timestamp	Event	EventKey	Data1	Data2	Descriptor
3082	ImageStart	8	0	0	2912.jpg
13055	ImageEnd	16	0	0	2912.jpg
13071	InstructionStart	2048	0	0	Instruction Element
13625	KeyPress	4	32	0	Space
13627	InstructionEnd	4096	0	0	Instruction Element
13669	ImageStart	8	0	0	2748.jpg
23644	ImageEnd	16	0	0	2748.jpg
23657	InstructionStart	2048	0	0	Instruction Element
24327	KeyPress	4	32	0	Space
24329	InstructionEnd	4096	0	0	Instruction Element
24379	ImageStart	8	0	0	2990.jpg
34361	ImageEnd	16	0	0	2990.jpg
34379	InstructionStart	2048	0	0	Instruction Element
34932	KeyPress	4	32	0	Space
34934	InstructionEnd	4096	0	0	Instruction Element
34999	ImageStart	8	0	0	3013.jpg
44972	ImageEnd	16	0	0	3013.jpg
44989	InstructionStart	2048	0	0	Instruction Element
45655	KeyPress	4	32	0	Space
45656	InstructionEnd	4096	0	0	Instruction Element
45695	ImageStart	8	0	0	2257.jpg
55681	ImageEnd	16	0	0	2257.jpg
55703	InstructionStart	2048	0	0	Instruction Element
56315	KeyPress	4	32	0	Space
56317	InstructionEnd	4096	0	0	Instruction Element
56383	ImageStart	8	0	0	2972.jpg
66355	ImageEnd	16	0	0	2972.jpg
66378	InstructionStart	2048	0	0	Instruction Element
67136	KeyPress	4	32	0	Space
67145	InstructionEnd	4096	0	0	Instruction Element
67202	ImageStart	8	0	0	2153.jpg
77177	ImageEnd	16	0	0	2153.jpg
77199	InstructionStart	2048	0	0	Instruction Element
77632	KeyPress	4	32	0	Space
77642	InstructionEnd	4096	0	0	Instruction Element
77683	ImageStart	8	0	0	2724.jpg
87668	ImageEnd	16	0	0	2724.jpg
87686	InstructionStart	2048	0	0	Instruction Element
88283	KeyPress	4	32	0	Space
88285	InstructionEnd	4096	0	0	Instruction Element
88342	ImageStart	8	0	0	2281.jpg
98327	ImageEnd	16	0	0	2281.jpg
98346	InstructionStart	2048	0	0	Instruction Element
98972	KeyPress	4	32	0	Space
98975	InstructionEnd	4096	0	0	Instruction Element
99024	ImageStart	8	0	0	2939.jpg
109009	ImageEnd	16	0	0	2939.jpg
109028	InstructionStart	2048	0	0	Instruction Element
112972	KeyPress	4	32	0	Space
112986	InstructionEnd	4096	0	0	Instruction Element
113044	ImageStart	8	0	0	2114.jpg
123022	ImageEnd	16	0	0	2114.jpg
123163	InstructionStart	2048	0	0	Instruction Element
123749	KeyPress	4	32	0	Space
123751	InstructionEnd	4096	0	0	Instruction Element
123794	ImageStart	8	0	0	2840.jpg
133773	ImageEnd	16	0	0	2840.jpg
133916	InstructionStart	2048	0	0	Instruction Element
134492	KeyPress	4	32	0	Space
134501	InstructionEnd	4096	0	0	Instruction Element
134542	ImageStart	8	0	0	2686.jpg
144515	ImageEnd	16	0	0	2686.jpg
144605	InstructionStart	2048	0	0	Instruction Element
145143	KeyPress	4	32	0	Space
145145	InstructionEnd	4096	0	0	Instruction Element
145212	ImageStart	8	0	0	2140.jpg
155176	ImageEnd	16	0	0	2140.jpg
155242	InstructionStart	2048	0	0	Instruction Element
155844	KeyPress	4	32	0	Space
155845	InstructionEnd	4096	0	0	Instruction Element
155884	ImageStart	8	0	0	2684.jpg
165868	ImageEnd	16	0	0	2684.jpg
166040	InstructionStart	2048	0	0	Instruction Element
166470	KeyPress	4	32	0	Space
166471	InstructionEnd	4096	0	0	Instruction Element
166508	ImageStart	8	0	0	2863.jpg
176493	ImageEnd	16	0	0	2863.jpg
176622	InstructionStart	2048	0	0	Instruction Element
177409	KeyPress	4	32	0	Space
177412	InstructionEnd	4096	0	0	Instruction Element
177453	ImageStart	8	0	0	3028.jpg
187423	ImageEnd	16	0	0	3028.jpg
187523	InstructionStart	2048	0	0	Instruction Element
187832	KeyPress	4	32	0	Space
187843	InstructionEnd	4096	0	0	Instruction Element
187881	ImageStart	8	0	0	2889.jpg
197863	ImageEnd	16	0	0	2889.jpg
197976	InstructionStart	2048	0	0	Instruction Element
198588	KeyPress	4	32	0	Space
198593	InstructionEnd	4096	0	0	Instruction Element
198634	ImageStart	8	0	0	5488.jpg
208613	ImageEnd	16	0	0	5488.jpg
208640	InstructionStart	2048	0	0	Instruction Element
209182	KeyPress	4	32	0	Space
209189	InstructionEnd	4096	0	0	Instruction Element
209244	ImageStart	8	0	0	2711.jpg
219226	ImageEnd	16	0	0	2711.jpg
219339	InstructionStart	2048	0	0	Instruction Element
219853	KeyPress	4	32	0	Space
219866	InstructionEnd	4096	0	0	Instruction Element
220015	ImageStart	8	0	0	3279.jpg
229983	ImageEnd	16	0	0	3279.jpg
230083	InstructionStart	2048	0	0	Instruction Element
230748	KeyPress	4	32	0	Space
230750	InstructionEnd	4096	0	0	Instruction Element
230794	ImageStart	8	0	0	6531.jpg
240771	ImageEnd	16	0	0	6531.jpg
240794	InstructionStart	2048	0	0	Instruction Element
241836	KeyPress	4	32	0	Space
241847	InstructionEnd	4096	0	0	Instruction Element
241886	ImageStart	8	0	0	5446.jpg
251860	ImageEnd	16	0	0	5446.jpg
251878	InstructionStart	2048	0	0	Instruction Element
252441	KeyPress	4	32	0	Space
252443	InstructionEnd	4096	0	0	Instruction Element
252482	ImageStart	8	0	0	6254.jpg
262455	ImageEnd	16	0	0	6254.jpg
262477	InstructionStart	2048	0	0	Instruction Element
263100	KeyPress	4	32	0	Space
263103	InstructionEnd	4096	0	0	Instruction Element
263153	ImageStart	8	0	0	3517.jpg
273136	ImageEnd	16	0	0	3517.jpg
273152	InstructionStart	2048	0	0	Instruction Element
276089	KeyPress	4	32	0	Space
276093	InstructionEnd	4096	0	0	Instruction Element
276135	ImageStart	8	0	0	5463.jpg
286108	ImageEnd	16	0	0	5463.jpg
286124	InstructionStart	2048	0	0	Instruction Element
286555	KeyPress	4	32	0	Space
286561	InstructionEnd	4096	0	0	Instruction Element
286605	ImageStart	8	0	0	6198.jpg
296581	ImageEnd	16	0	0	6198.jpg
296599	InstructionStart	2048	0	0	Instruction Element
297118	KeyPress	4	32	0	Space
297139	InstructionEnd	4096	0	0	Instruction Element
297191	ImageStart	8	0	0	6305.jpg
307178	ImageEnd	16	0	0	6305.jpg
307196	InstructionStart	2048	0	0	Instruction Element
308142	KeyPress	4	32	0	Space
308144	InstructionEnd	4096	0	0	Instruction Element
308194	ImageStart	8	0	0	6450.jpg
318180	ImageEnd	16	0	0	6450.jpg
318203	InstructionStart	2048	0	0	Instruction Element
318759	KeyPress	4	32	0	Space
318770	InstructionEnd	4096	0	0	Instruction Element
318808	ImageStart	8	0	0	1895.jpg
328783	ImageEnd	16	0	0	1895.jpg
328805	InstructionStart	2048	0	0	Instruction Element
329438	KeyPress	4	32	0	Space
329452	InstructionEnd	4096	0	0	Instruction Element
329489	ImageStart	8	0	0	6315.jpg
339483	ImageEnd	16	0	0	6315.jpg
339521	InstructionStart	2048	0	0	Instruction Element
340066	KeyPress	4	32	0	Space
340067	InstructionEnd	4096	0	0	Instruction Element
340124	ImageStart	8	0	0	1689.jpg
350090	ImageEnd	16	0	0	1689.jpg
350105	InstructionStart	2048	0	0	Instruction Element
353205	KeyPress	4	32	0	Space
353218	InstructionEnd	4096	0	0	Instruction Element
353268	ImageStart	8	0	0	5990.jpg
363252	ImageEnd	16	0	0	5990.jpg
363269	InstructionStart	2048	0	0	Instruction Element
363822	KeyPress	4	32	0	Space
363824	InstructionEnd	4096	0	0	Instruction Element
363865	ImageStart	8	0	0	6016.jpg
373843	ImageEnd	16	0	0	6016.jpg
373864	InstructionStart	2048	0	0	Instruction Element
