Data properties:				
Recording date: 2021/9/7				
Recording time: 17:24:35:000 (corresponds to time 0)				
Study: Test3				
Subject: Zhou				
Recording: Rec 02				
Screen resolution: 1280 x 1024				
Coordinate unit: Pixels				
Filter settings:				
Eye: Average				
Validity: Normal				
Fixation filter: Tobii fixation filter				
Fixation radius: 35				
FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY
1	215	200	605	527
2	631	50	600	531
3	815	199	582	551
4	1014	233	565	585
5	1247	284	577	508
6	1531	333	596	544
7	1864	100	616	450
8	1964	316	597	552
9	2580	17	694	786
10	2929	100	556	547
11	3029	117	584	579
12	3146	100	596	518
13	3529	84	1021	526
14	4229	167	844	388
15	4395	250	766	306
16	5378	17	1157	1011
17	5645	116	992	870
18	5761	200	976	771
19	5961	133	1098	516
20	6094	466	1051	621
21	6560	150	974	854
22	6710	167	1051	824
23	6877	250	1100	642
24	7442	150	1213	615
25	7593	300	1182	971
26	7893	217	1104	967
27	8109	400	503	396
28	8509	100	465	1427
29	8775	17	546	1258
30	8975	250	635	355
31	9225	100	793	306
32	9325	117	843	335
33	9441	266	801	335
34	9708	100	594	294
35	10557	133	1106	628
36	10690	216	954	501
37	10907	167	874	370
38	11257	17	735	288
39	11906	250	604	293
40	12156	100	570	210
41	12256	416	575	290
42	12672	383	573	329
43	13055	117	924	522
44	13172	150	911	559
45	13322	266	717	515
46	13588	316	692	566
47	13905	167	938	467
48	14071	416	1106	469
49	14488	233	888	394
50	14721	183	759	307
51	14904	333	648	210
52	15237	167	1070	673
53	15404	168	1128	882
54	15571	166	1082	960
55	15904	166	1102	875
56	16070	167	1098	561
57	16237	116	1151	434
58	16920	17	1104	476
59	17103	283	1119	498
60	17386	117	1135	446
61	17886	34	1150	475
62	18736	133	612	356
63	18869	583	1111	514
64	19452	167	1021	536
65	19618	100	763	493
66	19718	117	769	446
67	19835	150	726	414
68	19985	100	485	466
69	21234	17	690	523
70	21600	183	784	394
71	21783	233	1068	633
72	22016	283	1138	478
73	22299	100	1165	443
74	22400	117	1140	494
75	22516	183	1159	437
76	22699	150	660	346
77	22849	217	621	372
78	23066	216	502	211
79	23282	383	446	238
80	23665	100	447	294
81	23765	167	460	229
82	23932	183	629	487
83	24115	150	684	507
84	24265	166	638	565
85	24431	433	684	487
86	24865	283	398	365
87	25148	150	331	363
88	25298	133	361	305
89	25431	100	749	444
90	25531	133	743	485
91	25664	200	912	388
92	25864	200	622	958
93	26064	283	404	926
94	26697	16	820	287
95	27313	133	1051	323
96	27446	150	1052	986
97	27596	133	1094	978
98	27729	233	1126	959
99	27962	416	1142	266
100	28529	17	1204	242
101	29128	133	1045	284
102	29261	183	609	296
103	29445	217	914	330
104	29661	233	401	228
105	29894	233	1029	275
106	30127	816	1137	267
107	30944	283	1095	293
108	31227	166	1092	231
109	31393	383	722	469
110	31776	150	972	865
111	31926	117	937	904
112	32043	133	854	502
113	33026	83	837	338
114	33109	466	830	388
115	33575	100	755	393
116	33675	716	685	439
117	34391	133	745	550
118	34524	183	746	508
119	34708	483	700	529
120	35191	117	627	346
121	35590	83	774	263
122	35673	183	1045	197
123	35857	416	958	157
124	36273	216	842	136
125	36490	183	1066	257
126	36673	400	1148	245
127	37073	200	1143	292
128	37272	117	993	270
129	37389	166	1002	235
130	38005	233	1140	1024
131	38239	117	934	972
132	38355	150	974	943
133	38505	183	1129	987
134	38821	183	837	858
135	39005	100	958	306
136	39105	266	851	233
137	39704	100	890	223
138	39804	133	928	155
139	39937	100	943	105
140	40037	117	941	160
141	40154	416	921	206
142	40570	100	584	319
143	41070	16	507	468
144	41669	33	544	814
145	41869	166	540	630
146	42036	150	507	363
147	42186	150	563	406
148	42336	233	581	253
