Data properties:				
Recording date: 2021/10/3				
Recording time: 15:33:38:000 (corresponds to time 0)				
Study: Test2				
Subject: p14				
Recording: Rec 10				
Screen resolution: 1280 x 1024				
Coordinate unit: Pixels				
Filter settings:				
Eye: Average				
Validity: Normal				
Fixation filter: Tobii fixation filter				
Fixation radius: 35				
FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY
0	41	100	719	359
1	491	133	626	395
2	624	550	305	183
3	1174	217	585	463
4	1391	150	722	473
5	1740	17	203	160
6	2023	83	469	347
7	2107	117	918	543
8	2223	266	1069	574
9	2490	266	1097	619
10	2756	383	632	455
11	3139	350	513	400
12	3489	333	570	842
13	3822	233	576	899
14	4055	167	941	870
15	4222	216	1030	543
16	4438	266	426	302
17	4705	283	549	427
18	4988	283	666	482
19	5271	266	474	339
20	5538	1482	559	419
21	7020	266	658	472
22	7286	300	432	304
23	7586	183	891	529
24	8052	167	512	299
25	8219	300	654	455
26	8519	333	438	292
27	8852	250	660	492
28	9102	433	712	439
29	9535	300	526	393
30	9834	449	505	346
31	10284	200	614	497
32	10484	150	657	519
33	10634	283	567	526
34	11183	583	507	528
35	11766	383	624	529
36	12149	233	766	460
37	12382	333	522	211
38	12898	117	614	231
39	13015	350	686	282
40	13365	233	757	510
41	13598	233	1033	544
42	13831	300	1085	562
43	14131	216	675	331
44	14347	250	559	208
45	14597	166	667	273
46	14764	266	350	152
47	15413	166	634	237
48	15580	316	658	265
49	16196	200	453	159
50	16396	250	727	358
51	16879	183	710	267
52	17062	216	656	245
53	17278	266	699	344
54	17545	283	981	528
55	17828	516	1078	585
56	18344	200	918	512
57	18544	150	689	378
58	18860	416	668	314
59	19277	183	746	354
60	19460	217	853	478
61	19677	200	1041	568
62	19876	501	1094	614
63	20378	200	649	392
64	20578	267	583	354
65	20844	200	433	203
66	21044	416	371	149
67	21677	116	612	288
68	21793	450	776	496
69	22243	166	663	531
70	22410	616	534	527
71	23026	383	659	528
72	23409	267	639	326
73	23676	200	1014	177
74	23875	367	1099	134
75	24242	300	1135	147
76	24708	317	250	563
77	25025	217	880	192
78	25241	183	1111	112
79	25424	167	1148	129
80	25591	283	926	219
81	25874	217	830	211
82	26091	333	1117	146
83	26424	367	786	253
84	27007	150	884	191
85	27157	333	652	336
86	27756	800	589	308
87	28556	350	435	534
88	28906	466	645	777
89	29372	117	1037	845
90	29489	233	1083	831
91	29722	383	1065	182
92	30105	317	368	516
93	30421	283	258	836
94	30705	416	208	604
95	31121	267	519	805
96	31388	116	541	527
97	31504	516	542	326
98	32020	516	840	210
99	32537	183	825	897
100	32720	183	781	841
101	32903	450	683	872
102	33353	200	672	395
103	33553	183	649	483
104	33736	700	798	527
105	34436	416	647	340
106	34852	215	611	433
107	35067	266	1098	233
108	35334	183	934	336
109	35517	283	262	451
110	35800	700	187	543
111	36766	117	296	871
112	36883	416	881	865
113	37299	250	589	663
114	37549	333	562	473
115	37882	350	707	547
116	38232	283	458	466
117	38515	366	295	452
118	38881	433	410	444
119	39314	516	634	508
120	39831	200	482	459
121	40030	333	738	541
122	40363	250	811	594
123	40613	167	941	394
124	40780	200	1061	183
125	40980	333	1110	137
126	41313	300	1021	254
127	41612	650	1128	116
128	42495	167	980	568
129	42662	300	1064	225
130	42961	266	1037	762
131	43228	150	1049	797
132	43378	450	1118	118
133	43828	167	1053	243
134	43994	266	1123	110
135	44261	266	781	437
136	44527	383	578	474
137	44910	366	718	521
138	45277	699	662	531
139	45976	266	542	498
140	46242	250	513	362
141	46492	200	751	310
142	46692	200	1016	432
143	46892	316	303	379
144	47208	150	243	359
145	47358	300	190	520
146	47658	266	299	917
147	47925	599	218	824
148	48524	167	200	749
149	48941	833	177	595
150	49773	400	300	353
151	50173	716	407	324
152	50889	366	617	370
153	51256	133	697	337
154	51572	183	494	310
155	51755	233	833	354
156	51988	266	1051	498
157	52255	167	798	302
158	52421	466	852	270
159	52888	350	840	880
160	53237	183	853	932
161	53421	266	872	364
162	53687	233	994	460
163	53920	483	930	970
164	54403	1199	970	511
165	55602	216	809	238
166	55819	483	770	139
167	56302	283	711	528
168	57035	83	728	358
169	57118	566	613	510
170	57684	999	658	515
171	58684	400	998	409
172	59083	216	503	285
173	59300	283	323	223
174	59583	366	478	272
175	59949	283	396	246
176	60232	233	427	198
177	60749	117	421	406
178	61049	216	408	262
179	61265	183	398	226
180	61448	316	406	191
181	61765	300	606	322
182	62065	116	935	388
183	62181	133	964	365
184	62314	250	1095	296
185	62564	483	1136	244
186	63047	283	1068	392
187	63330	216	1075	787
