System Properties:					
Operating System:	 Microsoft Windows NT 6.2.9200.0				
System User Name:	 nuc				
Machine Name:	 DESKTOP-CHDADVS				
Data properties:					
Recording name:	 Rec 10				
Recording date:	 2021/10/3				
Recording time:	 15:33:38				
Recording resolution:	 1280 x 1024				
Export date:	 2021/10/3				
Export time:	 17:30:27				
Participant:	 p14				
Timestamp	Event	EventKey	Data1	Data2	Descriptor
0	ImageStart	8	0	0	5309.jpg
9976	ImageEnd	16	0	0	5309.jpg
10043	InstructionStart	2048	0	0	Instruction Element
11859	KeyPress	4	32	0	Space
11873	InstructionEnd	4096	0	0	Instruction Element
11904	ImageStart	8	0	0	2650.jpg
21894	ImageEnd	16	0	0	2650.jpg
22145	InstructionStart	2048	0	0	Instruction Element
23194	KeyPress	4	32	0	Space
23196	InstructionEnd	4096	0	0	Instruction Element
23232	ImageStart	8	0	0	2576.jpg
33212	ImageEnd	16	0	0	2576.jpg
33231	InstructionStart	2048	0	0	Instruction Element
34561	KeyPress	4	32	0	Space
34564	InstructionEnd	4096	0	0	Instruction Element
34604	ImageStart	8	0	0	5393.jpg
44586	ImageEnd	16	0	0	5393.jpg
44612	InstructionStart	2048	0	0	Instruction Element
45992	KeyPress	4	32	0	Space
46006	InstructionEnd	4096	0	0	Instruction Element
46037	ImageStart	8	0	0	2201.jpg
56026	ImageEnd	16	0	0	2201.jpg
56042	InstructionStart	2048	0	0	Instruction Element
58262	KeyPress	4	32	0	Space
58263	InstructionEnd	4096	0	0	Instruction Element
58293	ImageStart	8	0	0	2450.jpg
68284	ImageEnd	16	0	0	2450.jpg
68389	InstructionStart	2048	0	0	Instruction Element
70101	KeyPress	4	32	0	Space
70103	InstructionEnd	4096	0	0	Instruction Element
70140	ImageStart	8	0	0	2818.jpg
80115	ImageEnd	16	0	0	2818.jpg
80133	InstructionStart	2048	0	0	Instruction Element
82371	KeyPress	4	32	0	Space
82373	InstructionEnd	4096	0	0	Instruction Element
82410	ImageStart	8	0	0	2212.jpg
92392	ImageEnd	16	0	0	2212.jpg
92515	InstructionStart	2048	0	0	Instruction Element
93846	KeyPress	4	32	0	Space
93852	InstructionEnd	4096	0	0	Instruction Element
93880	ImageStart	8	0	0	3621.jpg
103879	ImageEnd	16	0	0	3621.jpg
103903	InstructionStart	2048	0	0	Instruction Element
105931	KeyPress	4	32	0	Space
105946	InstructionEnd	4096	0	0	Instruction Element
105979	ImageStart	8	0	0	3134.jpg
115961	ImageEnd	16	0	0	3134.jpg
116060	InstructionStart	2048	0	0	Instruction Element
117223	KeyPress	4	32	0	Space
117254	InstructionEnd	4096	0	0	Instruction Element
117282	ImageStart	8	0	0	2007.jpg
127263	ImageEnd	16	0	0	2007.jpg
127337	InstructionStart	2048	0	0	Instruction Element
129030	KeyPress	4	32	0	Space
129032	InstructionEnd	4096	0	0	Instruction Element
129060	ImageStart	8	0	0	3471.jpg
139050	ImageEnd	16	0	0	3471.jpg
139214	InstructionStart	2048	0	0	Instruction Element
141525	KeyPress	4	32	0	Space
141527	InstructionEnd	4096	0	0	Instruction Element
141562	ImageStart	8	0	0	1958.jpg
151538	ImageEnd	16	0	0	1958.jpg
151563	InstructionStart	2048	0	0	Instruction Element
152968	KeyPress	4	32	0	Space
152983	InstructionEnd	4096	0	0	Instruction Element
153019	ImageStart	8	0	0	3339.jpg
162995	ImageEnd	16	0	0	3339.jpg
163121	InstructionStart	2048	0	0	Instruction Element
164507	KeyPress	4	32	0	Space
164522	InstructionEnd	4096	0	0	Instruction Element
164557	ImageStart	8	0	0	2797.jpg
174544	ImageEnd	16	0	0	2797.jpg
174733	InstructionStart	2048	0	0	Instruction Element
177142	KeyPress	4	32	0	Space
177143	InstructionEnd	4096	0	0	Instruction Element
177180	ImageStart	8	0	0	3083.jpg
187175	ImageEnd	16	0	0	3083.jpg
187357	InstructionStart	2048	0	0	Instruction Element
188400	KeyPress	4	32	0	Space
188403	InstructionEnd	4096	0	0	Instruction Element
188431	ImageStart	8	0	0	2112.jpg
198411	ImageEnd	16	0	0	2112.jpg
198429	InstructionStart	2048	0	0	Instruction Element
200272	KeyPress	4	32	0	Space
200274	InstructionEnd	4096	0	0	Instruction Element
200310	ImageStart	8	0	0	1653.jpg
210290	ImageEnd	16	0	0	1653.jpg
210436	InstructionStart	2048	0	0	Instruction Element
211811	KeyPress	4	32	0	Space
211818	InstructionEnd	4096	0	0	Instruction Element
211856	ImageStart	8	0	0	3146.jpg
221846	ImageEnd	16	0	0	3146.jpg
221867	InstructionStart	2048	0	0	Instruction Element
223350	KeyPress	4	32	0	Space
223352	InstructionEnd	4096	0	0	Instruction Element
223386	ImageStart	8	0	0	3423.jpg
233373	ImageEnd	16	0	0	3423.jpg
233391	InstructionStart	2048	0	0	Instruction Element
234587	KeyPress	4	32	0	Space
234590	InstructionEnd	4096	0	0	Instruction Element
234626	ImageStart	8	0	0	3359.jpg
244601	ImageEnd	16	0	0	3359.jpg
244666	InstructionStart	2048	0	0	Instruction Element
246480	KeyPress	4	32	0	Space
246482	InstructionEnd	4096	0	0	Instruction Element
246514	ImageStart	8	0	0	3058.jpg
256492	ImageEnd	16	0	0	3058.jpg
256590	InstructionStart	2048	0	0	Instruction Element
258224	KeyPress	4	32	0	Space
258226	InstructionEnd	4096	0	0	Instruction Element
258253	ImageStart	8	0	0	3210.jpg
268226	ImageEnd	16	0	0	3210.jpg
268242	InstructionStart	2048	0	0	Instruction Element
269740	KeyPress	4	32	0	Space
269742	InstructionEnd	4096	0	0	Instruction Element
269774	ImageStart	8	0	0	3434.jpg
279763	ImageEnd	16	0	0	3434.jpg
279940	InstructionStart	2048	0	0	Instruction Element
281698	KeyPress	4	32	0	Space
281708	InstructionEnd	4096	0	0	Instruction Element
281738	ImageStart	8	0	0	5967.jpg
291721	ImageEnd	16	0	0	5967.jpg
291738	InstructionStart	2048	0	0	Instruction Element
293376	KeyPress	4	32	0	Space
293388	InstructionEnd	4096	0	0	Instruction Element
293426	ImageStart	8	0	0	6141.jpg
303405	ImageEnd	16	0	0	6141.jpg
303478	InstructionStart	2048	0	0	Instruction Element
304915	KeyPress	4	32	0	Space
304927	InstructionEnd	4096	0	0	Instruction Element
304959	ImageStart	8	0	0	3403.jpg
314929	ImageEnd	16	0	0	3403.jpg
314956	InstructionStart	2048	0	0	Instruction Element
316325	KeyPress	4	32	0	Space
316326	InstructionEnd	4096	0	0	Instruction Element
316353	ImageStart	8	0	0	1832.jpg
326348	ImageEnd	16	0	0	1832.jpg
326467	InstructionStart	2048	0	0	Instruction Element
327950	KeyPress	4	32	0	Space
327952	InstructionEnd	4096	0	0	Instruction Element
328005	ImageStart	8	0	0	2372.jpg
337990	ImageEnd	16	0	0	2372.jpg
338034	InstructionStart	2048	0	0	Instruction Element
339209	KeyPress	4	32	0	Space
339211	InstructionEnd	4096	0	0	Instruction Element
339239	ImageStart	8	0	0	3327.jpg
349223	ImageEnd	16	0	0	3327.jpg
349417	InstructionStart	2048	0	0	Instruction Element
350962	KeyPress	4	32	0	Space
350975	InstructionEnd	4096	0	0	Instruction Element
351026	ImageStart	8	0	0	2039.jpg
360993	ImageEnd	16	0	0	2039.jpg
361017	InstructionStart	2048	0	0	Instruction Element
362447	KeyPress	4	32	0	Space
362449	InstructionEnd	4096	0	0	Instruction Element
362476	ImageStart	8	0	0	1946.jpg
372469	ImageEnd	16	0	0	1946.jpg
372485	InstructionStart	2048	0	0	Instruction Element
373600	KeyPress	4	32	0	Space
373603	InstructionEnd	4096	0	0	Instruction Element
373634	ImageStart	8	0	0	2403.jpg
383628	ImageEnd	16	0	0	2403.jpg
383649	InstructionStart	2048	0	0	Instruction Element
385495	KeyPress	4	32	0	Space
385510	InstructionEnd	4096	0	0	Instruction Element
385539	ImageStart	8	0	0	1590.jpg
395534	ImageEnd	16	0	0	1590.jpg
395560	InstructionStart	2048	0	0	Instruction Element
