Data properties:				
Recording date: 2021/9/14				
Recording time: 14:22:40:000 (corresponds to time 0)				
Study: Test1				
Subject: Ding				
Recording: Rec 03				
Screen resolution: 1280 x 1024				
Coordinate unit: Pixels				
Filter settings:				
Eye: Average				
Validity: Normal				
Fixation filter: Tobii fixation filter				
Fixation radius: 35				
FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY
1	10	200	586	528
2	209	183	637	383
3	393	433	1119	170
4	826	150	948	845
5	976	500	1109	904
6	1476	633	1143	164
7	2242	117	1061	938
8	2359	100	1023	1005
9	2459	333	1099	954
10	2792	217	1054	244
11	3009	300	1108	152
12	3308	267	972	125
13	3575	150	927	175
14	3725	383	964	852
15	4108	100	1093	957
16	4208	950	1097	912
17	5158	183	1043	906
18	5341	233	928	855
19	5574	133	920	935
20	5707	217	961	171
21	5924	167	924	146
22	6207	315	938	845
23	6522	433	1119	911
24	6955	550	1039	890
25	7505	366	1129	189
26	7871	216	1176	168
27	8088	216	885	273
28	8304	300	656	282
29	8720	350	479	465
30	9070	250	1004	932
31	9320	200	477	907
32	9520	350	278	870
33	9870	200	494	893
34	10069	266	615	347
35	10336	217	738	536
36	10553	300	641	551
37	10852	766	837	564
38	11785	183	887	627
39	11968	783	879	587
40	12751	666	868	622
41	13417	117	2116	1265
42	13534	100	3394	1626
43	13634	150	1469	1531
44	17147	267	631	529
45	17414	266	516	585
46	17680	283	435	508
47	17963	216	1076	218
48	18180	167	1145	212
49	18347	200	1030	849
50	18546	266	1117	847
51	18946	200	1152	181
52	19146	400	1145	234
53	19546	266	1112	870
54	19812	216	1095	131
55	20029	216	985	130
56	20245	283	1065	202
57	20528	433	1137	245
58	20961	100	1097	965
59	21061	217	1055	841
60	21278	116	1071	886
61	21394	333	1113	864
62	21728	150	1167	304
63	21878	233	1123	287
64	22227	433	1122	857
65	22660	200	1001	847
66	22860	266	829	848
67	23127	316	633	846
68	23443	366	506	862
69	23810	150	423	834
70	23960	283	624	311
71	24243	250	956	168
72	24493	316	812	200
73	24809	217	961	86
74	25026	416	1137	217
75	25442	266	1101	205
76	25708	183	1010	157
77	25892	350	1107	825
78	26241	266	1142	244
79	26508	400	1093	846
80	26908	350	1030	144
81	27257	216	1132	233
82	27474	266	1071	864
83	27740	233	1121	828
84	27974	250	788	535
85	28223	383	656	536
86	28606	117	596	469
87	28840	383	529	314
88	29223	400	543	498
89	29622	100	591	529
90	29839	133	754	559
91	29972	1133	666	570
92	31105	466	683	538
93	31704	266	716	487
94	31971	683	670	558
95	32654	600	820	555
96	33253	333	1703	887
97	33586	217	3232	1611
98	33803	166	3162	1554
99	33969	167	2256	1336
100	34353	166	2469	1296
101	34686	100	622	473
102	34786	100	618	521
103	35002	333	710	558
104	35335	183	720	485
105	35518	416	508	566
106	35935	250	697	484
107	36185	117	628	318
108	36301	183	1029	415
109	36485	200	1106	530
110	36684	183	978	309
111	37017	116	1005	411
112	37134	250	1011	902
113	37384	233	1080	923
114	37617	183	1162	553
115	37800	433	1126	542
116	38233	200	1098	903
117	38433	183	917	454
118	38616	316	490	388
119	38933	233	728	980
120	39166	233	749	414
121	39399	416	374	305
122	39816	350	345	941
123	40165	300	210	869
124	40465	266	754	432
125	40732	533	586	368
126	41265	266	905	298
127	41531	282	911	217
128	41979	283	889	226
129	42262	300	934	279
130	42562	300	1105	556
131	42862	216	797	362
132	43079	183	756	350
133	43262	216	734	903
134	43478	183	281	850
135	43661	216	241	190
136	43878	250	443	319
137	44128	300	215	223
138	44428	250	238	356
139	44677	117	547	309
140	44927	100	1136	442
141	45027	300	1066	504
142	45327	333	1103	861
143	45660	283	1040	905
144	45943	200	843	925
145	46143	150	384	862
146	46293	150	555	507
147	46443	334	731	525
148	46777	650	496	544
149	47426	133	949	910
150	47560	183	1091	892
151	47743	400	1128	607
152	48143	316	843	360
153	48459	233	1115	858
154	48692	183	1104	915
155	48876	316	681	850
156	49192	350	446	185
157	49542	250	1075	593
158	49925	200	1126	624
159	50125	283	1095	931
160	50408	267	1087	643
161	50674	317	778	417
162	50991	217	1033	509
163	51207	300	416	221
164	51507	250	564	937
165	51757	266	404	838
166	52024	133	298	797
167	52157	250	347	176
168	52407	283	471	89
169	52690	367	385	845
170	53056	466	589	199
171	53739	83	708	424
172	53823	250	734	913
173	54073	350	979	912
174	54422	317	1107	900
175	54739	783	1119	666
176	55522	233	1100	842
177	55755	367	1090	588
178	56121	183	1047	959
179	56305	283	1035	614
180	56588	349	1028	552
181	56936	150	886	423
182	57086	500	1126	640
183	57586	216	745	527
184	57803	533	550	548
185	58469	466	543	550
186	58935	316	772	534
187	59251	450	683	516
188	59701	250	599	545
189	59951	200	579	602
190	60151	283	782	542
191	60434	283	499	507
192	60717	133	639	312
193	60850	117	1063	206
194	60967	200	1126	130
195	61167	200	1026	791
196	61367	333	1102	881
197	61700	233	947	881
198	61933	217	1091	882
199	62150	400	550	865
200	62549	316	983	215
201	62866	300	765	884
202	63166	383	653	295
203	63549	200	382	588
204	63748	200	449	948
205	63948	333	494	810
206	64281	233	732	816
207	64515	300	1029	179
208	64814	383	1147	97
209	65197	466	1107	935
210	65664	250	1060	897
211	65914	433	834	853
212	66347	316	1080	891
213	66663	299	1088	849
214	66962	250	1150	118
215	67212	516	1179	70
216	67729	300	1093	856
217	68028	516	999	126
218	68545	233	627	309
219	68778	400	298	637
220	69178	633	1094	245
221	69810	733	874	186
222	70543	283	953	452
223	70826	167	754	551
224	70993	150	524	561
225	71143	433	434	563
226	71576	250	800	556
227	71826	883	665	551
228	72708	200	517	259
229	72908	266	1116	261
230	73175	150	1145	905
231	73325	533	1104	914
232	73858	316	1134	326
233	74174	100	1094	237
234	74391	167	714	952
235	74557	216	795	342
236	74774	266	710	288
237	75040	233	656	897
238	75273	300	775	816
239	75573	200	700	874
240	75773	316	1056	864
241	76206	217	1119	825
242	76423	166	1124	928
243	76589	100	849	864
244	76689	100	1043	230
245	77205	350	506	243
246	77555	233	660	152
247	77788	283	757	390
248	78071	350	1052	292
249	78421	416	1106	200
250	78837	266	966	350
251	79104	500	637	856
252	79604	500	877	930
253	80103	166	889	388
254	80270	333	809	446
255	80603	266	876	942
256	80869	200	975	934
257	81069	283	1053	843
258	81352	283	1149	219
259	81635	283	1108	186
260	81919	300	1137	303
261	82335	200	1050	973
262	82535	366	1081	857
263	82901	316	716	531
264	83218	616	649	563
265	83834	183	649	658
266	84017	250	666	591
267	84267	699	704	593
268	85116	933	611	651
269	86049	300	757	630
270	86532	400	793	541
271	86932	250	656	571
272	87182	233	629	451
273	87415	183	930	487
274	87598	100	1030	689
275	87698	100	1083	575
276	87798	233	1083	900
277	88031	166	1123	911
278	88197	266	612	852
279	88464	266	1083	663
280	88730	250	906	430
281	88980	216	628	270
282	89197	300	456	141
283	89497	316	462	908
284	89813	167	361	875
285	89980	300	1013	914
286	90279	333	1108	911
287	90612	233	1104	635
288	90846	500	918	463
289	91345	316	873	452
290	91662	233	1009	528
291	91895	233	1105	633
292	92128	133	1036	903
293	92378	250	1000	607
294	92628	250	479	245
295	92877	266	226	325
296	93144	250	487	897
297	93394	200	1002	914
298	93594	150	1679	-487
299	93744	250	1996	-1279
