System Properties:					
Operating System:	 Microsoft Windows NT 6.2.9200.0				
System User Name:	 nuc				
Machine Name:	 DESKTOP-CHDADVS				
Data properties:					
Recording name:	 Rec 03				
Recording date:	 2021/9/14				
Recording time:	 14:22:40				
Recording resolution:	 1280 x 1024				
Export date:	 2021/9/14				
Export time:	 16:50:00				
Participant:	 Ding				
Timestamp	Event	EventKey	Data1	Data2	Descriptor
0	ImageStart	8	0	0	6282.jpg
9982	ImageEnd	16	0	0	6282.jpg
10003	InstructionStart	2048	0	0	Instruction Element
17624	KeyPress	4	32	0	Space
17627	InstructionEnd	4096	0	0	Instruction Element
17659	ImageStart	8	0	0	5428.jpg
27639	ImageEnd	16	0	0	5428.jpg
27727	InstructionStart	2048	0	0	Instruction Element
35956	KeyPress	4	32	0	Space
35970	InstructionEnd	4096	0	0	Instruction Element
36009	ImageStart	8	0	0	1699.jpg
45992	ImageEnd	16	0	0	1699.jpg
46012	InstructionStart	2048	0	0	Instruction Element
47205	KeyPress	4	32	0	Space
47206	InstructionEnd	4096	0	0	Instruction Element
47236	ImageStart	8	0	0	5273.jpg
57223	ImageEnd	16	0	0	5273.jpg
57397	InstructionStart	2048	0	0	Instruction Element
60504	KeyPress	4	32	0	Space
60507	InstructionEnd	4096	0	0	Instruction Element
60540	ImageStart	8	0	0	3251.jpg
70520	ImageEnd	16	0	0	3251.jpg
70538	InstructionStart	2048	0	0	Instruction Element
72495	KeyPress	4	32	0	Space
72506	InstructionEnd	4096	0	0	Instruction Element
72541	ImageStart	8	0	0	1718.jpg
82528	ImageEnd	16	0	0	1718.jpg
82663	InstructionStart	2048	0	0	Instruction Element
87135	KeyPress	4	32	0	Space
87149	InstructionEnd	4096	0	0	Instruction Element
87193	ImageStart	8	0	0	5274.jpg
97164	ImageEnd	16	0	0	5274.jpg
97393	InstructionStart	2048	0	0	Instruction Element
100521	KeyPress	4	32	0	Space
100524	InstructionEnd	4096	0	0	Instruction Element
100566	ImageStart	8	0	0	6065.jpg
110541	ImageEnd	16	0	0	6065.jpg
110666	InstructionStart	2048	0	0	Instruction Element
111352	KeyPress	4	32	0	Space
111367	InstructionEnd	4096	0	0	Instruction Element
111399	ImageStart	8	0	0	2091.jpg
121380	ImageEnd	16	0	0	2091.jpg
121406	InstructionStart	2048	0	0	Instruction Element
126186	KeyPress	4	32	0	Space
126187	InstructionEnd	4096	0	0	Instruction Element
126215	ImageStart	8	0	0	6272.jpg
136199	ImageEnd	16	0	0	6272.jpg
136213	InstructionStart	2048	0	0	Instruction Element
136705	KeyPress	4	32	0	Space
136708	InstructionEnd	4096	0	0	Instruction Element
136744	ImageStart	8	0	0	3299.jpg
146726	ImageEnd	16	0	0	3299.jpg
146915	InstructionStart	2048	0	0	Instruction Element
151743	KeyPress	4	32	0	Space
151749	InstructionEnd	4096	0	0	Instruction Element
151784	ImageStart	8	0	0	2345.jpg
161765	ImageEnd	16	0	0	2345.jpg
161945	InstructionStart	2048	0	0	Instruction Element
166364	InstructionEnd	4096	0	0	Instruction Element
166365	KeyPress	4	32	0	Space
166399	ImageStart	8	0	0	1771.jpg
176388	ImageEnd	16	0	0	1771.jpg
176407	InstructionStart	2048	0	0	Instruction Element
177547	KeyPress	4	32	0	Space
177549	InstructionEnd	4096	0	0	Instruction Element
177602	ImageStart	8	0	0	2624.jpg
187577	ImageEnd	16	0	0	2624.jpg
187601	InstructionStart	2048	0	0	Instruction Element
189344	KeyPress	4	32	0	Space
189346	InstructionEnd	4096	0	0	Instruction Element
189397	ImageStart	8	0	0	6112.jpg
199360	ImageEnd	16	0	0	6112.jpg
199513	InstructionStart	2048	0	0	Instruction Element
203921	KeyPress	4	32	0	Space
203924	InstructionEnd	4096	0	0	Instruction Element
203960	ImageStart	8	0	0	5535.jpg
213941	ImageEnd	16	0	0	5535.jpg
214070	InstructionStart	2048	0	0	Instruction Element
219002	KeyPress	4	32	0	Space
219004	InstructionEnd	4096	0	0	Instruction Element
219036	ImageStart	8	0	0	3537.jpg
229020	ImageEnd	16	0	0	3537.jpg
229037	InstructionStart	2048	0	0	Instruction Element
257254	KeyPress	4	32	0	Space
257268	InstructionEnd	4096	0	0	Instruction Element
257316	ImageStart	8	0	0	6147.jpg
267295	ImageEnd	16	0	0	6147.jpg
267441	InstructionStart	2048	0	0	Instruction Element
268150	KeyPress	4	32	0	Space
268152	InstructionEnd	4096	0	0	Instruction Element
268199	ImageStart	8	0	0	5586.jpg
278179	ImageEnd	16	0	0	5586.jpg
278223	InstructionStart	2048	0	0	Instruction Element
278272	KeyPress	4	32	0	Space
278286	InstructionEnd	4096	0	0	Instruction Element
278313	ImageStart	8	0	0	6173.jpg
288303	ImageEnd	16	0	0	6173.jpg
288450	InstructionStart	2048	0	0	Instruction Element
288964	KeyPress	4	32	0	Space
288974	InstructionEnd	4096	0	0	Instruction Element
289003	ImageStart	8	0	0	1736.jpg
298987	ImageEnd	16	0	0	1736.jpg
299003	InstructionStart	2048	0	0	Instruction Element
306137	KeyPress	4	32	0	Space
306141	InstructionEnd	4096	0	0	Instruction Element
306176	ImageStart	8	0	0	6360.jpg
316163	ImageEnd	16	0	0	6360.jpg
316383	InstructionStart	2048	0	0	Instruction Element
320789	KeyPress	4	32	0	Space
320810	InstructionEnd	4096	0	0	Instruction Element
320837	ImageStart	8	0	0	1633.jpg
330818	ImageEnd	16	0	0	1633.jpg
331003	InstructionStart	2048	0	0	Instruction Element
331437	KeyPress	4	32	0	Space
331438	InstructionEnd	4096	0	0	Instruction Element
331467	ImageStart	8	0	0	1871.jpg
341451	ImageEnd	16	0	0	1871.jpg
341469	InstructionStart	2048	0	0	Instruction Element
349281	KeyPress	4	32	0	Space
349285	InstructionEnd	4096	0	0	Instruction Element
349323	ImageStart	8	0	0	2478.jpg
359307	ImageEnd	16	0	0	2478.jpg
359495	InstructionStart	2048	0	0	Instruction Element
366494	KeyPress	4	32	0	Space
366500	InstructionEnd	4096	0	0	Instruction Element
366536	ImageStart	8	0	0	3187.jpg
376524	ImageEnd	16	0	0	3187.jpg
376676	InstructionStart	2048	0	0	Instruction Element
383356	KeyPress	4	32	0	Space
383366	InstructionEnd	4096	0	0	Instruction Element
383407	ImageStart	8	0	0	1635.jpg
393383	ImageEnd	16	0	0	1635.jpg
393426	InstructionStart	2048	0	0	Instruction Element
394154	KeyPress	4	32	0	Space
394156	InstructionEnd	4096	0	0	Instruction Element
394187	ImageStart	8	0	0	6044.jpg
404181	ImageEnd	16	0	0	6044.jpg
404319	InstructionStart	2048	0	0	Instruction Element
410587	KeyPress	4	32	0	Space
410599	InstructionEnd	4096	0	0	Instruction Element
410632	ImageStart	8	0	0	6326.jpg
420610	ImageEnd	16	0	0	6326.jpg
420629	InstructionStart	2048	0	0	Instruction Element
421257	KeyPress	4	32	0	Space
421268	InstructionEnd	4096	0	0	Instruction Element
421317	ImageStart	8	0	0	5303.jpg
431291	ImageEnd	16	0	0	5303.jpg
431314	InstructionStart	2048	0	0	Instruction Element
431883	KeyPress	4	32	0	Space
431899	InstructionEnd	4096	0	0	Instruction Element
431936	ImageStart	8	0	0	1682.jpg
441907	ImageEnd	16	0	0	1682.jpg
441932	InstructionStart	2048	0	0	Instruction Element
444398	KeyPress	4	32	0	Space
444399	InstructionEnd	4096	0	0	Instruction Element
444428	ImageStart	8	0	0	2533.jpg
454417	ImageEnd	16	0	0	2533.jpg
454475	InstructionStart	2048	0	0	Instruction Element
459479	KeyPress	4	32	0	Space
459483	InstructionEnd	4096	0	0	Instruction Element
459535	ImageStart	8	0	0	3595.jpg
469507	ImageEnd	16	0	0	3595.jpg
469534	InstructionStart	2048	0	0	Instruction Element
470193	KeyPress	4	32	0	Space
470196	InstructionEnd	4096	0	0	Instruction Element
470226	ImageStart	8	0	0	5513.jpg
480204	ImageEnd	16	0	0	5513.jpg
480222	InstructionStart	2048	0	0	Instruction Element
