Data properties:				
Recording date: 2021/9/14				
Recording time: 16:11:37:000 (corresponds to time 0)				
Study: Test1				
Subject: P09				
Recording: Rec 05				
Screen resolution: 1280 x 1024				
Coordinate unit: Pixels				
Filter settings:				
Eye: Average				
Validity: Normal				
Fixation filter: Tobii fixation filter				
Fixation radius: 35				
FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY
1	84	233	666	895
2	317	350	382	536
3	667	200	986	226
4	866	283	1177	182
5	1150	300	826	798
6	1449	283	343	672
7	1732	466	945	821
8	2199	266	517	798
9	2465	266	1078	202
10	2732	183	1189	186
11	3032	200	612	665
12	3231	400	384	490
13	3631	683	1172	171
14	4314	466	268	721
15	4780	199	252	614
16	4980	216	1148	154
17	5196	266	1174	200
18	5463	483	947	257
19	5946	833	1164	178
20	6779	216	1124	185
21	6995	216	1182	179
22	7212	450	1049	141
23	7661	200	1146	194
24	7861	1016	1162	906
25	8877	233	1220	197
26	9110	466	1185	177
27	9577	283	1153	827
28	9860	250	661	867
29	10110	250	319	670
30	10359	283	687	543
31	10642	233	552	541
32	10876	233	1187	850
33	11109	233	794	576
34	11342	283	550	542
35	11625	200	733	542
36	11825	333	538	533
37	12158	200	1079	203
38	12358	1416	1169	232
39	13774	167	1044	153
40	13940	233	1200	839
41	14173	533	1160	845
42	14706	150	1133	986
43	14856	133	1142	789
44	14989	250	1150	265
45	15239	183	951	200
46	15423	283	693	368
47	15706	316	473	437
48	16022	566	1064	168
49	16588	350	1162	228
50	16938	350	1002	160
51	17288	300	955	840
52	17588	200	697	869
53	17788	266	338	903
54	18054	300	1084	867
55	18354	216	809	861
56	18570	300	1116	163
57	18870	233	1168	215
58	19103	250	449	614
59	19353	366	383	599
60	19720	433	256	911
61	20153	350	875	641
62	20502	416	959	234
63	20919	400	248	586
64	21318	283	728	710
65	21602	316	429	481
66	21918	233	1093	224
67	22151	233	704	551
68	22384	266	508	531
69	22651	416	866	538
70	23067	450	1126	551
71	23517	200	1058	540
72	23717	233	381	425
73	23950	500	1127	492
74	24450	200	1138	581
75	24650	366	994	355
76	25016	233	1079	469
77	25249	250	1067	594
78	25499	117	1086	946
79	25615	283	1135	912
80	25899	217	1135	958
81	26115	250	1084	814
82	26365	100	1139	500
83	26465	300	1135	542
84	26765	150	1171	528
85	26915	350	1172	903
86	27264	100	1111	457
87	27364	167	1098	496
88	27531	216	1141	546
89	27747	266	1072	580
90	28014	400	1051	400
91	28414	333	1074	624
92	28747	400	1127	511
93	29146	366	997	351
94	29513	350	947	244
95	29863	216	1108	685
96	30212	167	1101	909
97	30379	233	708	850
98	30612	100	1156	576
99	30712	117	1146	632
100	30829	566	1148	550
101	31395	450	1187	964
102	31844	150	1199	905
103	31994	200	992	851
104	32194	250	1182	857
105	32444	233	1099	822
106	32677	133	1181	479
107	32811	100	1159	570
108	32910	183	1123	537
109	33094	250	771	518
110	33344	166	695	535
111	33510	283	853	540
112	33793	266	503	528
113	34060	633	802	556
114	34693	250	543	556
115	34942	400	863	533
116	35342	416	1131	648
117	35759	200	1164	619
118	35958	300	464	225
119	36258	433	444	104
120	36691	450	1037	517
121	37141	450	1137	628
122	37591	183	1167	647
123	37774	166	1196	542
124	37940	200	1210	870
125	38140	100	1175	580
126	38240	383	1151	624
127	38623	233	1077	579
128	38856	333	825	399
129	39189	266	721	255
130	39456	300	511	168
131	39756	266	1182	728
132	40022	400	1144	653
133	40422	350	1056	561
134	40772	200	737	353
135	40971	350	840	364
136	41321	666	1159	917
137	41988	166	1138	884
138	42154	283	880	888
139	42587	100	778	805
140	42687	300	1161	846
141	42987	150	1018	762
142	43137	116	985	856
143	43253	100	1135	604
144	43353	183	1113	642
145	43536	333	1152	643
146	43870	233	742	436
147	44103	250	1130	600
148	44353	416	1154	643
