System Properties:					
Operating System:	 Microsoft Windows NT 6.2.9200.0				
System User Name:	 nuc				
Machine Name:	 DESKTOP-CHDADVS				
Data properties:					
Recording name:	 Rec 03				
Recording date:	 2021/9/14				
Recording time:	 14:35:07				
Recording resolution:	 1280 x 1024				
Export date:	 2021/9/14				
Export time:	 16:51:53				
Participant:	 Ding				
Timestamp	Event	EventKey	Data1	Data2	Descriptor
0	ImageStart	8	0	0	5309.jpg
9969	ImageEnd	16	0	0	5309.jpg
10095	InstructionStart	2048	0	0	Instruction Element
10554	KeyPress	4	32	0	Space
10559	InstructionEnd	4096	0	0	Instruction Element
10594	ImageStart	8	0	0	2650.jpg
20585	ImageEnd	16	0	0	2650.jpg
20611	InstructionStart	2048	0	0	Instruction Element
21501	KeyPress	4	32	0	Space
21512	InstructionEnd	4096	0	0	Instruction Element
21538	ImageStart	8	0	0	2576.jpg
31523	ImageEnd	16	0	0	2576.jpg
31538	InstructionStart	2048	0	0	Instruction Element
31946	KeyPress	4	32	0	Space
31947	InstructionEnd	4096	0	0	Instruction Element
31974	ImageStart	8	0	0	5393.jpg
41955	ImageEnd	16	0	0	5393.jpg
41977	InstructionStart	2048	0	0	Instruction Element
43925	KeyPress	4	32	0	Space
43928	InstructionEnd	4096	0	0	Instruction Element
43976	ImageStart	8	0	0	2201.jpg
53945	ImageEnd	16	0	0	2201.jpg
54127	InstructionStart	2048	0	0	Instruction Element
54349	KeyPress	4	32	0	Space
54365	InstructionEnd	4096	0	0	Instruction Element
54408	ImageStart	8	0	0	2450.jpg
64379	ImageEnd	16	0	0	2450.jpg
64402	InstructionStart	2048	0	0	Instruction Element
64579	KeyPress	4	32	0	Space
64581	InstructionEnd	4096	0	0	Instruction Element
64619	ImageStart	8	0	0	2818.jpg
74598	ImageEnd	16	0	0	2818.jpg
74675	InstructionStart	2048	0	0	Instruction Element
75131	KeyPress	4	32	0	Space
75141	InstructionEnd	4096	0	0	Instruction Element
75180	ImageStart	8	0	0	2212.jpg
85157	ImageEnd	16	0	0	2212.jpg
85219	InstructionStart	2048	0	0	Instruction Element
92970	KeyPress	4	32	0	Space
92971	InstructionEnd	4096	0	0	Instruction Element
92999	ImageStart	8	0	0	3621.jpg
102982	ImageEnd	16	0	0	3621.jpg
103004	InstructionStart	2048	0	0	Instruction Element
103488	KeyPress	4	32	0	Space
103511	InstructionEnd	4096	0	0	Instruction Element
103543	ImageStart	8	0	0	3134.jpg
113539	ImageEnd	16	0	0	3134.jpg
113565	InstructionStart	2048	0	0	Instruction Element
114738	KeyPress	4	32	0	Space
114750	InstructionEnd	4096	0	0	Instruction Element
114784	ImageStart	8	0	0	2007.jpg
124776	ImageEnd	16	0	0	2007.jpg
125000	InstructionStart	2048	0	0	Instruction Element
126244	KeyPress	4	32	0	Space
126253	InstructionEnd	4096	0	0	Instruction Element
126283	ImageStart	8	0	0	3471.jpg
136268	ImageEnd	16	0	0	3471.jpg
136380	InstructionStart	2048	0	0	Instruction Element
136892	KeyPress	4	32	0	Space
136905	InstructionEnd	4096	0	0	Instruction Element
136939	ImageStart	8	0	0	1958.jpg
146930	ImageEnd	16	0	0	1958.jpg
147120	InstructionStart	2048	0	0	Instruction Element
147411	KeyPress	4	32	0	Space
147412	InstructionEnd	4096	0	0	Instruction Element
147442	ImageStart	8	0	0	3339.jpg
157426	ImageEnd	16	0	0	3339.jpg
157440	InstructionStart	2048	0	0	Instruction Element
157727	KeyPress	4	32	0	Space
157736	InstructionEnd	4096	0	0	Instruction Element
157782	ImageStart	8	0	0	2797.jpg
167758	ImageEnd	16	0	0	2797.jpg
167912	InstructionStart	2048	0	0	Instruction Element
168514	KeyPress	4	32	0	Space
168517	InstructionEnd	4096	0	0	Instruction Element
168551	ImageStart	8	0	0	3083.jpg
178542	ImageEnd	16	0	0	3083.jpg
178705	InstructionStart	2048	0	0	Instruction Element
178916	KeyPress	4	32	0	Space
178918	InstructionEnd	4096	0	0	Instruction Element
178965	ImageStart	8	0	0	2112.jpg
188950	ImageEnd	16	0	0	2112.jpg
188973	InstructionStart	2048	0	0	Instruction Element
189500	KeyPress	4	32	0	Space
189502	InstructionEnd	4096	0	0	Instruction Element
189538	ImageStart	8	0	0	1653.jpg
199520	ImageEnd	16	0	0	1653.jpg
199785	InstructionStart	2048	0	0	Instruction Element
200201	KeyPress	4	32	0	Space
200202	InstructionEnd	4096	0	0	Instruction Element
200228	ImageStart	8	0	0	3146.jpg
210206	ImageEnd	16	0	0	3146.jpg
210411	InstructionStart	2048	0	0	Instruction Element
210872	KeyPress	4	32	0	Space
210874	InstructionEnd	4096	0	0	Instruction Element
210907	ImageStart	8	0	0	3423.jpg
220898	ImageEnd	16	0	0	3423.jpg
221113	InstructionStart	2048	0	0	Instruction Element
221380	KeyPress	4	32	0	Space
221382	InstructionEnd	4096	0	0	Instruction Element
221419	ImageStart	8	0	0	3359.jpg
231399	ImageEnd	16	0	0	3359.jpg
231432	InstructionStart	2048	0	0	Instruction Element
234313	KeyPress	4	32	0	Space
234315	InstructionEnd	4096	0	0	Instruction Element
234363	ImageStart	8	0	0	3058.jpg
244333	ImageEnd	16	0	0	3058.jpg
244347	InstructionStart	2048	0	0	Instruction Element
245305	KeyPress	4	32	0	Space
245315	InstructionEnd	4096	0	0	Instruction Element
245348	ImageStart	8	0	0	3210.jpg
255334	ImageEnd	16	0	0	3210.jpg
255487	InstructionStart	2048	0	0	Instruction Element
255513	KeyPress	4	32	0	Space
255514	InstructionEnd	4096	0	0	Instruction Element
255541	ImageStart	8	0	0	3434.jpg
265521	ImageEnd	16	0	0	3434.jpg
265738	InstructionStart	2048	0	0	Instruction Element
268329	KeyPress	4	32	0	Space
268331	InstructionEnd	4096	0	0	Instruction Element
268379	ImageStart	8	0	0	5967.jpg
278347	ImageEnd	16	0	0	5967.jpg
278368	InstructionStart	2048	0	0	Instruction Element
278849	KeyPress	4	32	0	Space
278858	InstructionEnd	4096	0	0	Instruction Element
278907	ImageStart	8	0	0	6141.jpg
288881	ImageEnd	16	0	0	6141.jpg
289007	InstructionStart	2048	0	0	Instruction Element
293511	KeyPress	4	32	0	Space
293511	InstructionEnd	4096	0	0	Instruction Element
293551	ImageStart	8	0	0	3403.jpg
303529	ImageEnd	16	0	0	3403.jpg
303687	InstructionStart	2048	0	0	Instruction Element
304180	KeyPress	4	32	0	Space
304184	InstructionEnd	4096	0	0	Instruction Element
304217	ImageStart	8	0	0	1832.jpg
314208	ImageEnd	16	0	0	1832.jpg
314225	InstructionStart	2048	0	0	Instruction Element
314701	KeyPress	4	32	0	Space
314703	InstructionEnd	4096	0	0	Instruction Element
314736	ImageStart	8	0	0	2372.jpg
324727	ImageEnd	16	0	0	2372.jpg
324753	InstructionStart	2048	0	0	Instruction Element
325157	KeyPress	4	32	0	Space
325160	InstructionEnd	4096	0	0	Instruction Element
325198	ImageStart	8	0	0	3327.jpg
335171	ImageEnd	16	0	0	3327.jpg
335189	InstructionStart	2048	0	0	Instruction Element
335675	KeyPress	4	32	0	Space
335687	InstructionEnd	4096	0	0	Instruction Element
335715	ImageStart	8	0	0	2039.jpg
345714	ImageEnd	16	0	0	2039.jpg
345882	InstructionStart	2048	0	0	Instruction Element
346378	KeyPress	4	32	0	Space
346380	InstructionEnd	4096	0	0	Instruction Element
346415	ImageStart	8	0	0	1946.jpg
356400	ImageEnd	16	0	0	1946.jpg
356423	InstructionStart	2048	0	0	Instruction Element
358947	KeyPress	4	32	0	Space
358951	InstructionEnd	4096	0	0	Instruction Element
358985	ImageStart	8	0	0	2403.jpg
368970	ImageEnd	16	0	0	2403.jpg
369066	InstructionStart	2048	0	0	Instruction Element
369865	KeyPress	4	32	0	Space
369877	InstructionEnd	4096	0	0	Instruction Element
369912	ImageStart	8	0	0	1590.jpg
379890	ImageEnd	16	0	0	1590.jpg
379954	InstructionStart	2048	0	0	Instruction Element
