Data properties:				
Recording date: 2021/9/14				
Recording time: 14:35:07:000 (corresponds to time 0)				
Study: Test2				
Subject: Ding				
Recording: Rec 03				
Screen resolution: 1280 x 1024				
Coordinate unit: Pixels				
Filter settings:				
Eye: Average				
Validity: Normal				
Fixation filter: Tobii fixation filter				
Fixation radius: 35				
FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY
1	162	233	619	390
2	395	183	1062	528
3	578	200	1131	601
4	778	283	317	173
5	1061	200	880	871
6	1261	233	1087	908
7	1494	217	451	895
8	1827	283	894	633
9	2111	350	931	656
10	2460	233	902	974
11	2693	167	885	895
12	2860	200	839	419
13	3060	183	518	324
14	3243	200	338	236
15	3443	266	423	911
16	3709	150	699	839
17	3859	400	827	439
18	4259	333	231	138
19	4592	233	355	940
20	4825	266	282	837
21	5091	200	1090	761
22	5291	899	1132	652
23	6190	167	987	821
24	8106	17	339	1076
25	8472	233	272	109
26	8855	100	200	94
27	8955	216	231	891
28	9172	266	212	801
29	9555	83	1093	936
30	9638	183	1081	887
31	9821	266	617	865
32	10088	233	397	157
33	10321	300	554	484
34	10621	233	588	302
35	10854	250	801	384
36	11103	200	662	254
37	11303	266	750	895
38	11570	333	355	807
39	11903	416	228	118
40	12469	283	277	814
41	12752	266	364	798
42	13019	250	342	87
43	13269	200	246	67
44	13468	266	535	158
45	13735	283	729	425
46	14018	450	757	831
47	14468	450	1104	583
48	14917	283	1107	882
49	15200	216	914	603
50	15417	117	933	545
51	15534	366	1113	615
52	15900	100	1159	1133
53	16000	216	1124	933
54	16216	200	995	886
55	16416	483	767	879
56	16899	366	1138	556
57	17266	216	1117	593
58	17482	183	810	368
59	17665	250	674	221
60	17915	283	755	353
61	18198	333	1108	589
62	18665	250	1048	866
63	18914	217	721	375
64	19131	266	526	153
65	19397	266	725	277
66	19664	250	1149	557
67	19914	133	1034	1186
68	20213	433	920	696
69	20646	100	1611	1207
70	21246	83	775	427
71	21329	233	624	514
72	21562	316	625	324
73	21879	250	1021	176
74	22129	233	1029	890
75	22362	266	1118	886
76	22628	250	616	871
77	22878	316	1130	146
78	23195	766	1157	87
79	23961	233	675	402
80	24194	300	298	621
81	24494	183	397	973
82	24793	83	370	902
83	24877	117	388	843
