System Properties:					
Operating System:	 Microsoft Windows NT 6.2.9200.0				
System User Name:	 nuc				
Machine Name:	 DESKTOP-CHDADVS				
Data properties:					
Recording name:	 Rec 07				
Recording date:	 2021/9/22				
Recording time:	 18:01:38				
Recording resolution:	 1280 x 1024				
Export date:	 2021/9/22				
Export time:	 19:05:39				
Participant:	 P11				
Timestamp	Event	EventKey	Data1	Data2	Descriptor
325311	KeyPress	4	32	0	Space
325324	InstructionEnd	4096	0	0	Instruction Element
325358	ImageStart	8	0	0	6305.jpg
335349	ImageEnd	16	0	0	6305.jpg
335371	InstructionStart	2048	0	0	Instruction Element
337430	KeyPress	4	32	0	Space
337443	InstructionEnd	4096	0	0	Instruction Element
337470	ImageStart	8	0	0	6450.jpg
347451	ImageEnd	16	0	0	6450.jpg
347470	InstructionStart	2048	0	0	Instruction Element
349108	KeyPress	4	32	0	Space
349110	InstructionEnd	4096	0	0	Instruction Element
349144	ImageStart	8	0	0	1895.jpg
359133	ImageEnd	16	0	0	1895.jpg
359152	InstructionStart	2048	0	0	Instruction Element
361281	KeyPress	4	32	0	Space
361282	InstructionEnd	4096	0	0	Instruction Element
361315	ImageStart	8	0	0	6315.jpg
371297	ImageEnd	16	0	0	6315.jpg
371430	InstructionStart	2048	0	0	Instruction Element
373163	KeyPress	4	32	0	Space
373178	InstructionEnd	4096	0	0	Instruction Element
373213	ImageStart	8	0	0	1689.jpg
383188	ImageEnd	16	0	0	1689.jpg
383351	InstructionStart	2048	0	0	Instruction Element
385261	KeyPress	4	32	0	Space
385263	InstructionEnd	4096	0	0	Instruction Element
385291	ImageStart	8	0	0	5990.jpg
395267	ImageEnd	16	0	0	5990.jpg
395520	InstructionStart	2048	0	0	Instruction Element
397058	KeyPress	4	32	0	Space
397060	InstructionEnd	4096	0	0	Instruction Element
397089	ImageStart	8	0	0	6016.jpg
407081	ImageEnd	16	0	0	6016.jpg
407203	InstructionStart	2048	0	0	Instruction Element
408769	KeyPress	4	32	0	Space
408777	InstructionEnd	4096	0	0	Instruction Element
408825	ImageStart	8	0	0	5435.jpg
418797	ImageEnd	16	0	0	5435.jpg
418972	InstructionStart	2048	0	0	Instruction Element
420534	KeyPress	4	32	0	Space
420544	InstructionEnd	4096	0	0	Instruction Element
420596	ImageStart	8	0	0	5355.jpg
430561	ImageEnd	16	0	0	5355.jpg
430711	InstructionStart	2048	0	0	Instruction Element
432620	KeyPress	4	32	0	Space
432622	InstructionEnd	4096	0	0	Instruction Element
432654	ImageStart	8	0	0	6245.jpg
442642	ImageEnd	16	0	0	6245.jpg
442662	InstructionStart	2048	0	0	Instruction Element
444996	KeyPress	4	32	0	Space
444998	InstructionEnd	4096	0	0	Instruction Element
445045	ImageStart	8	0	0	5247.jpg
455013	ImageEnd	16	0	0	5247.jpg
455142	InstructionStart	2048	0	0	Instruction Element
457242	KeyPress	4	32	0	Space
457248	InstructionEnd	4096	0	0	Instruction Element
457278	ImageStart	8	0	0	6518.jpg
467268	ImageEnd	16	0	0	6518.jpg
467298	InstructionStart	2048	0	0	Instruction Element
469029	KeyPress	4	32	0	Space
469030	InstructionEnd	4096	0	0	Instruction Element
469056	ImageStart	8	0	0	5495.jpg
479040	ImageEnd	16	0	0	5495.jpg
479066	InstructionStart	2048	0	0	Instruction Element
480902	KeyPress	4	32	0	Space
480903	InstructionEnd	4096	0	0	Instruction Element
480938	ImageStart	8	0	0	3495.jpg
490929	ImageEnd	16	0	0	3495.jpg
490957	InstructionStart	2048	0	0	Instruction Element
492612	KeyPress	4	32	0	Space
492623	InstructionEnd	4096	0	0	Instruction Element
492651	ImageStart	8	0	0	6221.jpg
502648	ImageEnd	16	0	0	6221.jpg
502692	InstructionStart	2048	0	0	Instruction Element
504527	KeyPress	4	32	0	Space
504528	InstructionEnd	4096	0	0	Instruction Element
504555	ImageStart	8	0	0	6380.jpg
514530	ImageEnd	16	0	0	6380.jpg
514555	InstructionStart	2048	0	0	Instruction Element
516860	KeyPress	4	32	0	Space
516862	InstructionEnd	4096	0	0	Instruction Element
516889	ImageStart	8	0	0	5222.jpg
526875	ImageEnd	16	0	0	5222.jpg
526897	InstructionStart	2048	0	0	Instruction Element
528872	KeyPress	4	32	0	Space
528872	InstructionEnd	4096	0	0	Instruction Element
528898	ImageStart	8	0	0	2601.jpg
538877	ImageEnd	16	0	0	2601.jpg
539012	InstructionStart	2048	0	0	Instruction Element
540981	KeyPress	4	32	0	Space
540982	InstructionEnd	4096	0	0	Instruction Element
541018	ImageStart	8	0	0	5375.jpg
551004	ImageEnd	16	0	0	5375.jpg
551028	InstructionStart	2048	0	0	Instruction Element
552757	KeyPress	4	32	0	Space
552762	InstructionEnd	4096	0	0	Instruction Element
552797	ImageStart	8	0	0	2512.jpg
562790	ImageEnd	16	0	0	2512.jpg
562874	InstructionStart	2048	0	0	Instruction Element
564434	KeyPress	4	32	0	Space
564435	InstructionEnd	4096	0	0	Instruction Element
564460	ImageStart	8	0	0	6243.jpg
574441	ImageEnd	16	0	0	6243.jpg
574579	InstructionStart	2048	0	0	Instruction Element
576136	KeyPress	4	32	0	Space
576138	InstructionEnd	4096	0	0	Instruction Element
576186	ImageStart	8	0	0	3108.jpg
586164	ImageEnd	16	0	0	3108.jpg
586336	InstructionStart	2048	0	0	Instruction Element
588190	KeyPress	4	32	0	Space
588204	InstructionEnd	4096	0	0	Instruction Element
588234	ImageStart	8	0	0	6086.jpg
598223	ImageEnd	16	0	0	6086.jpg
598240	InstructionStart	2048	0	0	Instruction Element
601382	KeyPress	4	32	0	Space
601384	InstructionEnd	4096	0	0	Instruction Element
