Data properties:				
Recording date: 2021/9/22				
Recording time: 18:01:38:000 (corresponds to time 0)				
Study: Test3				
Subject: P11				
Recording: Rec 07				
Screen resolution: 1280 x 1024				
Coordinate unit: Pixels				
Filter settings:				
Eye: Average				
Validity: Normal				
Fixation filter: Tobii fixation filter				
Fixation radius: 35				
FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY
1	75	217	564	566
2	291	333	722	374
3	624	283	1124	580
4	907	250	1163	577
5	1157	200	1116	614
6	1357	216	613	329
7	1574	183	902	700
8	1757	350	854	609
9	2107	350	760	686
10	2456	200	1079	789
11	2656	316	1128	990
12	2973	250	1093	592
13	3222	183	1147	601
14	3522	566	1138	615
15	4288	333	1146	630
16	4621	183	928	498
17	4805	350	530	281
18	5154	233	783	318
19	5704	200	659	289
20	5904	316	604	294
21	6404	300	641	309
22	6703	250	618	275
23	6953	233	552	303
24	7186	133	588	315
25	7503	233	660	491
26	7736	117	578	446
27	7853	350	592	413
28	8202	316	805	398
29	8519	233	597	345
30	8752	283	554	286
31	9318	400	720	363
32	9718	200	627	351
33	9918	416	590	360
34	10334	266	559	574
35	12483	716	576	495
36	13199	200	1061	460
37	13399	217	1162	478
38	13798	217	1022	492
39	14015	283	695	337
40	14298	183	817	331
41	14481	150	1136	534
42	15364	17	1101	466
43	15564	17	1270	533
44	15697	217	1139	544
45	15914	200	961	413
46	16397	33	667	251
47	16813	416	595	242
48	17229	166	470	1018
49	17396	183	464	955
50	17579	233	576	484
51	17812	283	599	356
52	18095	217	521	309
53	18578	100	684	393
54	18995	17	582	285
55	19178	233	557	319
56	20977	33	395	906
57	21760	150	975	905
58	21910	200	1018	655
59	22109	250	1069	634
60	22359	266	1097	856
61	22842	17	1127	541
62	25407	83	514	522
63	25490	150	542	416
64	25640	100	560	374
65	25873	150	606	328
66	26023	183	698	444
67	26206	383	1138	269
68	26589	133	888	278
69	26839	83	1007	1075
70	26922	133	1016	1006
71	27056	250	1099	1001
72	27306	233	1041	313
73	27539	250	1153	260
74	28138	216	951	288
75	28355	300	1036	310
76	28655	217	1096	275
77	29171	117	1077	329
78	29287	500	984	296
79	30353	200	709	479
80	30553	483	621	473
81	31519	316	782	490
82	31836	133	807	453
83	31969	100	755	628
84	32185	83	661	1022
85	32269	200	519	967
86	32835	133	440	372
87	33834	83	372	934
88	33917	133	501	998
89	34051	216	602	466
90	34267	100	789	439
91	34900	67	1111	292
92	35616	150	1079	234
93	35767	133	1092	290
94	37499	316	802	590
95	37815	150	739	523
96	38698	250	1149	242
97	39381	117	1033	299
98	39681	17	698	413
99	40713	266	1149	287
100	41180	400	1118	273
101	41579	383	1157	274
102	42296	183	1006	243
103	42479	183	821	257
104	42662	200	843	294
105	45144	17	1037	330
106	45344	17	1132	300
107	51939	267	1275	429
108	52489	83	1208	400
109	52572	266	1207	486
110	53022	150	1276	484
111	53172	116	1271	533
112	53555	150	1204	593
113	53838	183	1160	1058
114	54021	283	1163	551
115	54304	217	667	420
116	55020	150	713	465
117	55170	250	659	428
118	55420	266	721	451
119	55686	200	675	502
120	55886	200	572	819
121	56086	100	564	857
122	56186	200	546	709
123	56385	200	544	425
124	56585	133	468	410
125	57218	250	1035	391
126	57468	117	1055	954
127	59150	133	1168	446
128	62997	33	625	463
129	63264	133	635	411
130	63397	150	637	457
131	63547	100	1089	470
132	65979	33	688	466
133	66445	83	628	346
134	66528	300	611	384
135	71641	167	595	317
136	75638	50	918	522
137	75822	250	624	347
138	87930	183	612	485
139	88113	133	1118	472
140	88247	150	1198	403
141	88396	166	1208	503
142	88813	83	1250	461
143	114295	16	437	287
144	153035	17	1055	531
145	153868	17	797	563
146	266405	150	919	402
147	375996	184	1162	499
148	392567	17	1120	376
149	393067	17	1119	430
150	395299	150	1180	557
151	395448	100	1251	526
152	400761	16	1038	455
153	405258	17	859	634
154	406091	83	810	780
155	406174	117	784	819
156	406291	116	839	721
157	408673	49	581	670
158	409439	50	1097	189
159	409905	266	1096	241
160	444963	17	702	494
161	489698	17	1165	443
162	489882	333	997	420
163	490215	450	1020	393
164	493063	233	1085	485
165	493296	99	1196	444
166	499591	17	1283	610
167	511600	133	1155	481
168	511733	150	1168	421
169	511883	133	1145	471
170	512315	17	1182	495
171	512665	17	1209	502
172	513582	17	1000	610
173	516863	299	700	530
174	517163	117	1139	342
175	553054	16	1003	573
176	553753	51	1114	722
177	554120	33	1180	559
178	554303	200	1161	677
179	576122	150	616	536
180	576489	166	1086	517
181	588789	200	687	422
1894	588989	450	458	497
