Data properties:

Recording date: 2019/11/13
Recording time: 11:26:34:000 (corresponds to time 0)
Study: Test3
Subject: HMH
Recording: HMH
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
1	184	67	644	440	
2	250	117	656	480	
3	500	133	494	234	
4	633	117	494	283	
5	750	241	690	254	
6	991	58	900	367	
7	1050	50	919	325	
8	1100	150	901	377	
9	1250	158	1081	512	
10	1408	275	1111	552	
11	1683	391	889	382	
12	2074	158	656	289	
13	2232	216	752	244	
14	2449	150	1080	539	
15	2599	225	1113	568	
16	2823	92	1078	557	
17	2915	92	872	382	
18	3007	425	721	289	
19	3431	225	1076	544	
20	3656	291	1103	574	
21	3948	208	1133	553	
22	4156	366	1042	695	
23	4522	391	1017	578	
24	4914	250	986	519	
25	5163	75	1026	460	
26	5238	133	1029	767	
27	5372	50	1006	698	
28	5422	142	992	738	
29	5563	308	982	783	
30	5871	108	1044	580	
31	5980	50	1079	556	
32	6030	50	1034	580	
33	6080	50	1092	515	
34	6130	233	1093	569	
35	6363	266	679	325	
36	6629	50	686	277	
37	6679	150	688	316	
38	6829	308	463	711	
39	7137	50	420	792	
40	7187	175	445	758	
41	7362	83	454	543	
42	7445	67	450	434	
43	7512	100	468	519	
44	7612	75	985	615	
45	7687	108	959	707	
46	7795	58	1039	754	
47	7853	92	972	785	
48	7945	133	1007	758	
49	8078	58	970	787	
50	8136	142	1015	756	
51	8278	92	981	773	
52	8370	425	593	366	
53	8794	100	750	391	
54	8894	100	761	353	
55	8994	83	756	389	
56	9078	133	818	380	
57	9211	67	835	343	
58	9277	441	815	374	
59	9719	200	1080	516	
60	9919	208	1116	551	
61	10268	125	715	382	
62	10393	291	573	398	
63	10685	67	579	342	
64	10751	691	575	401	
65	11443	100	745	303	
66	11543	58	759	244	
67	11601	100	750	288	
68	11701	283	506	175	
69	11984	225	804	229	
70	12209	283	989	446	
71	12492	275	1024	528	
72	12767	242	1004	597	
73	13008	58	1044	542	
74	13066	125	1011	606	
75	13191	117	1053	570	
76	13308	208	1098	460	
77	13516	50	1132	427	
78	13566	150	1097	443	
79	13974	42	685	215	
80	14016	75	677	263	
81	14091	175	745	280	
82	14266	92	1084	516	
83	14357	116	1066	567	
84	14474	125	995	822	
85	14599	67	1006	865	
86	14665	58	1051	804	
87	14724	92	484	925	
88	14815	117	503	886	
89	14932	550	403	242	
90	15631	92	1103	463	
91	15723	391	1074	485	
92	16114	391	1109	489	
93	16506	258	1003	778	
94	16764	50	1037	752	
95	16814	92	1097	787	
96	16906	425	1056	790	
97	17330	50	1093	749	
98	17380	175	1061	775	
99	17555	142	1098	740	
100	17697	292	1054	770	
101	17988	333	1091	465	
102	18321	516	692	228	
103	18838	67	1015	363	
104	18904	58	1044	318	
105	18962	58	1027	363	
106	19021	491	1110	440	
107	19512	491	1036	600	
108	20003	217	774	402	
109	20220	774	777	329	
110	20994	192	787	271	
111	21186	400	770	302	
112	21586	316	712	338	
113	21902	175	622	382	
114	22243	75	683	396	
115	22318	350	621	358	
116	22668	67	658	361	
117	22735	341	681	390	
118	23076	208	670	424	
119	23284	333	345	263	
120	23618	275	774	415	
121	23892	266	834	438	
122	24159	316	991	281	
123	24475	208	1069	244	
124	24684	191	947	271	
125	24875	192	838	320	
126	25067	125	1084	235	
127	25191	325	1123	220	
128	25516	183	1035	786	
129	25699	191	977	830	
130	25891	291	954	353	
131	26182	341	1039	265	
132	26524	175	885	291	
133	26699	233	576	327	
134	26932	308	1104	237	
135	27240	341	439	262	
136	27582	167	671	278	
137	27748	100	686	236	
138	27848	300	899	174	
139	28148	866	1137	207	
140	29014	125	1063	338	
141	29139	383	954	136	
142	29522	258	1119	202	
143	29780	391	592	311	
144	30171	183	740	363	
145	30355	125	752	328	
146	30646	158	790	421	
147	30804	58	770	455	
148	30863	300	559	450	
149	31679	100	615	305	
150	31779	475	1021	269	
151	32253	250	967	306	
152	32503	75	831	317	
153	32578	75	856	290	
154	32653	525	832	319	
155	33178	1799	633	357	
156	34976	208	568	300	
157	35185	67	895	234	
158	35251	350	910	198	
159	35601	333	566	276	
160	35934	75	927	208	
161	36009	175	949	172	
162	36184	433	1109	220	
163	36617	225	801	196	
164	36842	58	979	493	
165	36900	67	992	700	
166	36967	83	959	714	
167	37050	225	968	975	
168	37275	275	513	908	
169	37550	175	515	850	
170	37725	141	532	784	
171	37866	108	529	318	
172	37974	58	527	257	
173	38033	75	544	298	
174	38108	441	873	230	
175	38549	67	727	218	
176	38616	125	711	271	
177	38741	216	656	460	
178	38957	166	578	829	
179	39124	591	540	808	
180	39823	75	870	253	
181	39898	158	857	288	
182	40056	300	756	224	
183	40731	175	556	456	
184	40906	125	541	757	
185	41031	67	580	678	
186	41097	675	541	796	
187	41880	58	735	299	
188	41938	216	718	366	
189	42155	799	615	340	
190	42954	133	716	260	
191	43088	250	716	222	
192	43337	67	727	170	
193	43404	142	714	227	
194	43545	58	733	184	
195	43604	117	723	230	
196	43720	766	664	225	
197	44487	50	684	179	
198	44536	117	660	226	
199	44653	83	656	188	
200	44736	341	398	342	
201	45078	100	567	381	
202	45178	58	561	292	
203	45236	341	572	381	
204	45577	67	568	303	
205	45644	350	567	388	
206	45994	158	776	406	
207	46152	241	1046	330	
208	46393	233	1050	177	
209	46777	50	582	217	
210	46827	150	571	281	
