Data properties:				
Recording date: 2021/9/22				
Recording time: 16:54:44:000 (corresponds to time 0)				
Study: Test1				
Subject: P10				
Recording: Rec 06				
Screen resolution: 1280 x 1024				
Coordinate unit: Pixels				
Filter settings:				
Eye: Average				
Validity: Normal				
Fixation filter: Tobii fixation filter				
Fixation radius: 35				
FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY
1	106	133	330	496
2	239	201	592	401
3	440	150	549	366
4	590	300	304	438
5	890	267	237	467
6	1157	217	975	224
7	1374	267	1083	172
8	1640	984	1139	184
9	2624	317	956	105
10	2941	200	915	152
11	3141	317	681	266
12	3458	133	913	252
13	3742	133	925	190
14	3875	250	1121	163
15	4125	350	681	241
16	4475	400	1023	157
17	4876	300	1139	161
18	5176	260	1002	136
19	5436	166	1076	164
20	5603	266	1144	174
21	5869	233	1010	158
22	6102	616	1147	161
23	6718	183	1066	149
24	6902	266	1157	168
25	7168	300	991	219
26	7468	216	828	289
27	7684	233	657	317
28	8134	117	776	873
29	8251	233	602	818
30	8484	183	492	737
31	8667	266	799	795
32	8934	466	911	798
33	9550	233	943	146
34	9783	200	1172	134
35	9983	317	1104	819
36	10299	233	724	555
37	10532	117	653	534
38	10649	300	542	526
39	11198	100	590	496
40	11298	216	825	503
41	11515	283	594	507
42	11798	133	557	514
43	12198	250	771	523
44	12447	316	551	512
45	12764	266	786	529
46	13030	350	565	518
47	13380	100	530	514
48	13713	83	502	507
49	13797	300	455	502
50	14096	550	560	507
51	14646	333	685	523
52	14979	133	507	516
53	15112	100	731	1143
54	15712	166	614	497
55	15878	233	777	528
56	16112	200	600	535
57	16312	100	536	526
58	16411	100	529	1025
59	17077	250	520	537
60	17327	216	351	520
61	17544	100	248	567
62	17927	167	296	570
63	18093	133	427	884
64	18460	183	1002	150
65	18643	200	1110	187
66	18843	183	421	404
67	19026	233	312	554
68	19259	383	524	369
69	19642	200	386	540
70	19842	266	516	374
71	20108	217	447	421
72	20325	183	513	359
73	20508	300	716	242
74	20808	183	1008	139
75	20991	650	1149	206
76	21641	200	1086	198
77	21841	150	976	160
78	21991	466	368	514
79	22458	216	452	442
80	22674	117	433	482
81	22791	250	942	76
82	23040	266	996	75
83	23307	466	1038	130
84	23773	233	1101	185
85	24006	216	1067	203
86	24223	183	934	203
87	24406	300	1028	137
88	24706	100	1038	175
89	24989	350	1114	174
90	25339	1666	1128	247
91	27004	233	1087	220
92	27238	183	675	276
93	27421	117	633	436
94	27537	183	549	502
95	27920	100	649	523
96	28020	100	815	529
97	28603	150	832	511
98	28753	183	1129	326
99	28936	233	753	474
100	29169	233	665	509
101	29403	117	-316	128
102	30052	150	546	-190
103	30402	133	780	331
104	30535	400	832	533
105	31701	83	702	757
106	31784	316	710	534
107	32101	100	649	1172
108	32950	100	686	555
109	33050	350	469	511
110	33400	350	795	525
111	33750	200	663	526
112	34149	150	718	504
113	34299	216	505	451
114	34515	116	394	396
115	34632	167	261	364
116	34799	150	217	256
117	35098	333	234	199
118	35432	183	240	354
119	35615	183	557	353
120	35798	250	396	327
121	36048	250	264	381
122	36298	183	241	294
123	36481	183	427	294
124	36664	216	697	287
125	36881	150	568	331
126	37031	233	797	318
127	37264	216	840	250
128	37480	233	1000	315
129	37714	266	1052	394
130	37980	233	1047	472
131	38213	500	1121	480
132	38713	266	980	354
133	38979	133	911	298
134	39113	266	290	307
135	39379	366	815	285
136	39745	316	1037	353
137	40062	150	595	342
138	40212	250	409	333
139	40462	333	804	306
140	40795	316	1092	459
141	41111	233	1122	484
142	41344	283	551	371
143	41628	216	958	351
144	41994	183	866	214
145	42177	216	794	291
146	42394	216	961	259
147	42610	233	1037	383
148	42843	200	1127	452
