Data properties:				
Recording date: 2021/9/14				
Recording time: 15:14:39:000 (corresponds to time 0)				
Study: Test2				
Subject: p07				
Recording: Rec 04				
Screen resolution: 1280 x 1024				
Coordinate unit: Pixels				
Filter settings:				
Eye: Average				
Validity: Normal				
Fixation filter: Tobii fixation filter				
Fixation radius: 35				
FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY
1	120	166	582	587
2	286	333	630	511
3	619	183	1008	610
4	802	100	996	680
5	2284	400	182	113
6	2684	400	388	952
7	3084	200	1001	966
8	3283	200	1107	979
9	3483	550	1134	701
10	4033	266	1089	986
11	4299	250	921	491
12	4549	183	580	428
13	4732	416	1140	667
14	5148	233	947	559
15	5381	734	900	528
16	6116	250	812	947
17	6366	217	489	923
18	6582	316	295	266
19	6899	317	223	916
20	7215	250	1024	897
21	7465	267	1085	655
22	7732	316	816	531
23	8048	150	656	474
24	8514	200	757	507
25	8714	733	763	991
26	9447	200	924	593
27	9647	600	949	562
28	10247	167	670	564
29	10414	267	474	572
30	10680	300	512	566
31	11196	166	557	546
32	11479	183	450	559
33	11663	283	742	398
34	11946	366	561	195
35	12312	167	982	545
36	13478	650	223	94
37	14128	800	366	62
38	14927	333	401	68
39	15260	332	892	495
40	15592	100	784	465
41	16159	283	1098	617
42	16442	100	1150	643
43	17291	366	719	386
44	17774	133	722	387
45	17907	233	1107	644
46	18141	316	847	525
47	18457	167	935	505
48	18624	433	1018	593
49	19057	700	1173	603
50	19756	216	1160	993
51	19973	200	818	404
52	20173	300	333	105
53	20472	316	443	70
54	21006	117	1116	831
55	21122	200	1092	908
56	21322	566	1144	955
57	21888	366	750	578
58	22255	983	707	533
59	23454	150	825	464
60	23604	116	860	515
61	23720	283	869	457
62	24003	466	667	508
63	24770	233	777	463
64	25003	250	758	515
65	25252	916	858	556
66	26168	200	591	546
67	26368	300	476	554
68	26668	283	532	554
69	26951	516	685	566
70	27467	749	853	578
71	28334	233	686	589
72	28567	366	809	598
73	29849	100	853	546
74	30332	183	756	351
75	30515	333	1139	161
76	30965	17	1082	152
77	31398	583	1165	151
78	32514	17	1151	902
79	33064	366	1162	152
80	34029	200	960	215
81	34229	300	846	224
82	34529	433	881	246
83	34962	350	908	278
84	35312	250	1096	135
85	35562	116	752	206
86	35678	167	744	264
87	35845	316	661	286
88	36161	200	860	211
89	36361	700	1170	115
90	37061	166	865	228
91	37227	266	919	281
92	37494	167	1035	144
93	37660	266	834	201
94	37927	183	887	226
95	38110	316	971	221
96	38426	266	1027	142
97	38693	283	637	273
98	38976	233	670	291
99	39209	283	737	259
100	39492	283	455	399
101	39775	217	514	386
102	39992	383	321	550
103	40375	183	559	556
104	40758	283	643	570
105	41224	150	455	555
106	41374	266	409	555
107	41641	599	522	551
108	42240	483	779	394
109	42723	183	640	504
110	42907	216	1087	238
111	43123	266	1146	133
112	43390	600	947	404
113	43989	333	1057	248
114	44322	200	1114	162
115	44655	500	1161	107
116	45155	500	1024	346
117	45655	300	1048	276
118	45954	117	1045	241
119	46071	133	1036	316
120	46204	366	1151	141
121	46571	266	936	427
122	46837	683	896	509
123	47520	283	606	527
124	47803	466	494	448
125	48269	200	362	432
126	48469	217	712	935
127	48686	216	1027	875
128	48902	400	1122	909
129	49302	250	1134	186
130	49552	533	1166	104
131	50335	133	1014	308
132	50468	766	1155	132
133	51234	100	1148	92
134	51334	366	1154	140
135	51867	100	964	6
136	51967	466	760	488
137	52433	416	930	482
138	52850	216	797	565
139	53066	316	598	551
140	53383	200	544	376
141	53582	300	1114	522
142	53882	267	1141	497
143	54149	183	726	250
144	54332	200	776	232
145	54532	300	427	272
146	54832	433	223	367
147	55265	300	201	437
148	55564	266	172	501
149	55831	533	1036	557
150	56364	516	148	485
151	56880	233	237	335
152	57113	766	611	271
153	57879	283	508	305
154	58163	416	415	312
155	58812	383	648	296
156	59195	266	1039	519
157	59462	450	907	376
158	59911	283	1038	524
159	60194	217	796	264
160	60411	250	515	299
161	60661	316	527	239
162	60977	350	734	174
163	61326	200	793	224
164	61526	500	556	278
165	62026	416	527	236
166	62442	250	953	383
167	62692	266	1135	541
168	62959	216	842	977
169	63175	433	1138	977
170	63858	116	812	570
171	63975	350	706	567
172	64324	1449	525	594
173	65773	200	599	476
174	65973	283	1053	428
175	66256	233	1054	502
176	66489	217	1092	987
177	66706	166	1138	933
178	66873	200	1168	399
179	67072	316	1156	286
180	67389	100	1112	420
181	67489	233	1112	374
182	67722	200	1139	326
183	67922	633	1124	893
184	68555	233	1130	315
185	68788	250	1106	406
186	69038	183	1072	468
187	69221	416	505	337
188	69637	233	418	448
189	69870	183	403	239
190	70054	283	563	933
191	70337	300	763	998
192	70636	366	817	569
193	71003	350	812	611
194	71353	366	653	604
195	71719	466	1058	494
196	72185	250	891	595
197	72435	283	816	983
198	72718	250	773	998
199	72968	233	846	650
200	73201	150	852	610
201	73351	400	811	602
202	73751	200	570	959
203	73951	366	546	341
204	74317	283	1080	363
205	74600	416	1137	340
206	75017	133	1115	397
207	75150	466	1109	944
208	75616	300	1117	422
209	75916	283	841	514
210	76399	83	798	457
211	76482	366	782	499
212	76849	550	825	581
213	77398	666	563	582
214	78281	200	572	549
215	78481	450	525	578
216	78931	483	782	611
217	79414	483	682	345
218	79897	200	585	665
219	80097	500	640	579
220	80596	283	789	330
221	80879	184	1042	518
222	81063	117	1072	499
223	81180	216	229	556
224	81396	216	995	990
225	81612	300	1108	1021
226	81912	383	1119	655
227	82295	217	1044	507
228	82512	333	703	337
229	82845	200	285	689
230	83045	233	213	545
231	83595	633	537	274
232	84227	200	232	612
233	84427	217	266	547
234	84644	566	671	294
235	85210	400	809	272
236	85610	616	1041	489
237	86226	383	900	293
238	86842	400	539	291
239	87242	283	792	363
240	87525	150	995	898
241	87675	150	876	393
242	87824	183	882	351
243	88008	250	897	286
244	88258	366	605	283
245	88624	183	778	259
246	89024	366	970	301
247	89573	116	730	644
248	89690	433	662	330
249	90123	666	787	246
250	90789	350	631	571
251	91139	283	662	541
252	91422	166	688	409
253	91588	233	994	534
254	91822	250	1086	976
255	92071	250	1150	1011
256	92321	300	1131	644
257	92621	133	1098	629
258	92754	566	1005	539
259	93320	300	760	357
260	93620	216	595	182
261	93837	533	371	226
262	94369	450	584	200
263	94819	233	777	336
264	95052	366	939	519
265	95419	283	945	593
266	95702	551	1009	521
267	96253	300	1001	956
268	96552	183	980	897
269	96736	366	998	545
270	97102	849	982	893
271	97952	200	994	580
272	98151	216	1019	538
273	98368	300	1089	622
274	98851	317	1055	836
275	99267	300	1097	996
276	99567	233	1043	595
277	99800	283	646	878
278	100083	633	571	884
279	100716	250	584	317
280	100966	250	573	145
281	101216	350	558	798
282	101566	200	592	565
283	101766	1266	688	557
284	103298	84	774	549
285	103381	116	856	509
286	103498	1049	870	564
287	104547	250	871	520
288	104797	133	859	555
289	105230	200	689	533
290	105430	616	668	576
291	106379	133	701	491
292	106612	100	683	413
293	107394	17	769	471
294	107528	433	761	499
295	107961	200	694	451
296	108161	300	1040	206
297	108460	400	1180	166
298	108860	183	1172	128
299	109043	117	1142	1020
300	109410	99	1150	787
301	109510	284	1099	168
302	109993	167	1163	120
303	110159	416	1190	204
304	110576	150	1206	238
305	110725	533	1194	145
306	111258	216	905	200
307	111475	266	821	253
308	111741	266	816	191
309	112008	167	1100	159
310	112174	200	779	224
311	112674	83	856	196
312	112757	666	809	236
313	113423	167	672	368
314	113590	300	791	266
315	113890	416	420	578
316	114306	316	264	449
317	114623	100	334	457
318	114723	133	300	471
319	114856	233	533	624
320	115089	117	563	602
321	115206	316	637	423
322	115522	333	414	418
323	115855	167	272	396
324	116022	316	261	430
325	116338	383	654	372
326	116721	533	851	313
327	117254	183	904	269
328	117437	267	351	463
329	117704	200	298	549
330	117904	350	429	658
331	118253	350	751	591
332	118853	233	1270	235
333	119086	150	779	584
334	119236	300	748	618
335	119919	183	656	543
336	120335	100	700	624
337	120435	316	689	582
338	120885	100	805	584
339	120985	350	796	540
340	121567	500	861	578
341	122217	83	871	533
342	122300	100	881	496
343	122400	316	869	558
344	122717	200	695	434
345	122916	167	1063	640
346	123083	316	1138	690
347	123399	366	1123	982
348	123766	233	1145	703
349	123999	183	1105	887
350	124182	383	1125	671
351	124565	999	1143	714
352	125565	216	1127	944
353	125781	1099	1114	993
354	126880	366	1068	601
355	127247	283	777	438
356	127530	383	477	268
357	127913	500	217	138
358	128413	100	522	229
359	128513	183	609	325
360	128696	150	636	301
361	128846	616	808	467
362	129462	400	510	306
363	129862	400	448	252
364	130261	350	198	180
365	130611	350	821	456
366	130961	266	955	533
367	131227	216	945	595
368	131444	233	915	1010
369	131677	150	972	952
370	132010	250	965	510
371	132260	250	953	544
372	132510	266	701	407
373	132776	217	699	543
374	132993	616	839	580
375	133609	216	966	485
376	133825	117	996	867
377	133942	100	967	904
378	134275	100	1104	772
379	134375	133	1069	845
380	134508	183	639	864
381	134692	266	798	389
382	134958	266	854	288
