System Properties:
Operating System:	 Microsoft Windows NT 6.2.9200.0
System User Name:	 gaozh
Machine Name:	 DESKTOP-D1BOOAD

Data properties:

Recording name:	 HZT
Recording date:	 2019/11/13
Recording time:	 9:39:19
Recording resolution:	 1280 x 1024

Export date:	 2019/11/13
Export time:	 9:50:20

Participant:	 HZT
Timestamp	Event	EventKey	Data1	Data2	Descriptor	
307454	InstructionEnd	4096	0	0	Instruction Element	
307521	ImageStart	8	0	0	3187_1.jpg	
317487	ImageEnd	16	0	0	3187_1.jpg	
317697	InstructionStart	2048	0	0	Instruction Element	
319293	KeyPress	4	32	0	Space	
319300	InstructionEnd	4096	0	0	Instruction Element	
319369	ImageStart	8	0	0	1635_1.jpg	
329331	ImageEnd	16	0	0	1635_1.jpg	
329509	InstructionStart	2048	0	0	Instruction Element	
331148	KeyPress	4	32	0	Space	
331156	InstructionEnd	4096	0	0	Instruction Element	
331256	ImageStart	8	0	0	6044_1.jpg	
341199	ImageEnd	16	0	0	6044_1.jpg	
341397	InstructionStart	2048	0	0	Instruction Element	
343353	KeyPress	4	32	0	Space	
343360	InstructionEnd	4096	0	0	Instruction Element	
343453	ImageStart	8	0	0	6326_2.jpg	
353410	ImageEnd	16	0	0	6326_2.jpg	
353521	InstructionStart	2048	0	0	Instruction Element	
355011	KeyPress	4	32	0	Space	
355016	InstructionEnd	4096	0	0	Instruction Element	
355096	ImageStart	8	0	0	5303_2.jpg	
365066	ImageEnd	16	0	0	5303_2.jpg	
365299	InstructionStart	2048	0	0	Instruction Element	
366837	KeyPress	4	32	0	Space	
366850	InstructionEnd	4096	0	0	Instruction Element	
366920	ImageStart	8	0	0	1682_2.jpg	
376891	ImageEnd	16	0	0	1682_2.jpg	
376971	InstructionStart	2048	0	0	Instruction Element	
382377	KeyPress	4	32	0	Space	
382388	InstructionEnd	4096	0	0	Instruction Element	
382474	ImageStart	8	0	0	2533_1.jpg	
392419	ImageEnd	16	0	0	2533_1.jpg	
392660	InstructionStart	2048	0	0	Instruction Element	
394656	KeyPress	4	32	0	Space	
394658	InstructionEnd	4096	0	0	Instruction Element	
394729	ImageStart	8	0	0	3595_2.jpg	
404684	ImageEnd	16	0	0	3595_2.jpg	
405035	InstructionStart	2048	0	0	Instruction Element	
406212	KeyPress	4	32	0	Space	
406216	InstructionEnd	4096	0	0	Instruction Element	
406282	ImageStart	8	0	0	5513_1.jpg	
416248	ImageEnd	16	0	0	5513_1.jpg	
416416	InstructionStart	2048	0	0	Instruction Element	
418352	KeyPress	4	32	0	Space	
418364	InstructionEnd	4096	0	0	Instruction Element	
418456	ImageStart	8	0	0	2067_1.jpg	
428408	ImageEnd	16	0	0	2067_1.jpg	
428606	InstructionStart	2048	0	0	Instruction Element	
430674	KeyPress	4	32	0	Space	
430686	InstructionEnd	4096	0	0	Instruction Element	
430759	ImageStart	8	0	0	5569_3.jpg	
440719	ImageEnd	16	0	0	5569_3.jpg	
440910	InstructionStart	2048	0	0	Instruction Element	
442861	KeyPress	4	32	0	Space	
442877	InstructionEnd	4096	0	0	Instruction Element	
442964	ImageStart	8	0	0	6343_3.jpg	
452924	ImageEnd	16	0	0	6343_3.jpg	
453088	InstructionStart	2048	0	0	Instruction Element	
455591	KeyPress	4	32	0	Space	
455598	InstructionEnd	4096	0	0	Instruction Element	
455664	ImageStart	8	0	0	1981_2.jpg	
465627	ImageEnd	16	0	0	1981_2.jpg	
465812	InstructionStart	2048	0	0	Instruction Element	
468977	KeyPress	4	32	0	Space	
468985	InstructionEnd	4096	0	0	Instruction Element	
469076	ImageStart	8	0	0	3232_3.jpg	
479016	ImageEnd	16	0	0	3232_3.jpg	
479217	InstructionStart	2048	0	0	Instruction Element	
480359	KeyPress	4	32	0	Space	
480376	InstructionEnd	4096	0	0	Instruction Element	
480472	ImageStart	8	0	0	1768_3.jpg	
490424	ImageEnd	16	0	0	1768_3.jpg	
490642	InstructionStart	2048	0	0	Instruction Element	
492537	KeyPress	4	32	0	Space	
492544	InstructionEnd	4096	0	0	Instruction Element	
492630	ImageStart	8	0	0	2365_1.jpg	
502584	ImageEnd	16	0	0	2365_1.jpg	
502789	InstructionStart	2048	0	0	Instruction Element	
507109	KeyPress	4	32	0	Space	
507125	InstructionEnd	4096	0	0	Instruction Element	
507212	ImageStart	8	0	0	5305_3.jpg	
517158	ImageEnd	16	0	0	5305_3.jpg	
517209	InstructionStart	2048	0	0	Instruction Element	
519740	KeyPress	4	32	0	Space	
519747	InstructionEnd	4096	0	0	Instruction Element	
519839	ImageStart	8	0	0	1811_1.jpg	
529782	ImageEnd	16	0	0	1811_1.jpg	
530002	InstructionStart	2048	0	0	Instruction Element	
532154	KeyPress	4	32	0	Space	
532162	InstructionEnd	4096	0	0	Instruction Element	
532255	ImageStart	8	0	0	5405_2.jpg	
542199	ImageEnd	16	0	0	5405_2.jpg	
542385	InstructionStart	2048	0	0	Instruction Element	
545223	KeyPress	4	32	0	Space	
545236	InstructionEnd	4096	0	0	Instruction Element	
545332	ImageStart	8	0	0	1612_2.jpg	
555278	ImageEnd	16	0	0	1612_2.jpg	
555437	InstructionStart	2048	0	0	Instruction Element	
556875	KeyPress	4	32	0	Space	
556895	InstructionEnd	4096	0	0	Instruction Element	
556970	ImageStart	8	0	0	2557_1.jpg	
566939	ImageEnd	16	0	0	2557_1.jpg	
567092	InstructionStart	2048	0	0	Instruction Element	
569711	KeyPress	4	32	0	Space	
569720	InstructionEnd	4096	0	0	Instruction Element	
569813	ImageStart	8	0	0	1794_1.jpg	
579767	ImageEnd	16	0	0	1794_1.jpg	
579873	InstructionStart	2048	0	0	Instruction Element	
582346	KeyPress	4	32	0	Space	
582358	InstructionEnd	4096	0	0	Instruction Element	
582437	ImageStart	8	0	0	2430_1.jpg	
592391	ImageEnd	16	0	0	2430_1.jpg	
592641	InstructionStart	2048	0	0	Instruction Element	
594137	KeyPress	4	32	0	Space	
594142	InstructionEnd	4096	0	0	Instruction Element	
594233	ImageStart	8	0	0	2551_3.jpg	
604169	ImageEnd	16	0	0	2551_3.jpg	
604301	InstructionStart	2048	0	0	Instruction Element	
607000	KeyPress	4	32	0	Space	
607006	InstructionEnd	4096	0	0	Instruction Element	
607097	ImageStart	8	0	0	1843_2.jpg	
617049	ImageEnd	16	0	0	1843_2.jpg	
617263	InstructionStart	2048	0	0	Instruction Element	
620205	KeyPress	4	32	0	Space	
620222	InstructionEnd	4096	0	0	Instruction Element	
