Data properties:

Recording date: 2019/11/13
Recording time: 09:39:19:000 (corresponds to time 0)
Study: Test1
Subject: HZT
Recording: HZT
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
1	220	292	372	552	
2	511	250	195	569	
3	761	75	225	995	
4	836	83	141	927	
5	920	75	166	880	
6	994	67	216	879	
7	1061	133	151	858	
8	1194	58	162	926	
9	1253	75	126	873	
10	1327	242	158	904	
11	1569	75	264	915	
12	1644	233	365	893	
13	1877	100	342	860	
14	1977	183	225	514	
15	2160	175	1026	297	
16	2335	166	1101	195	
17	2502	258	1150	232	
18	2760	533	1172	201	
19	3293	333	1129	247	
20	3626	733	1152	208	
21	4359	266	971	193	
22	4625	250	859	354	
23	4875	216	740	408	
24	5092	175	657	298	
25	5267	375	299	570	
26	5641	250	400	531	
27	5891	208	663	800	
28	6099	483	355	528	
29	6582	133	447	659	
30	6715	183	1081	892	
31	6899	733	1140	898	
32	7632	216	1076	874	
33	7848	133	930	800	
34	7981	175	1130	888	
35	8156	100	1151	853	
36	8256	83	1124	253	
37	8339	58	1117	159	
38	8398	250	1104	214	
39	8647	433	1171	221	
40	9081	325	1144	927	
41	9405	316	947	848	
42	9722	425	1086	886	
43	10146	366	833	933	
44	10513	325	644	583	
45	11063	200	426	518	
46	11262	167	429	646	
47	11587	100	573	878	
48	11687	308	554	956	
49	12145	275	331	691	
50	12420	241	671	745	
51	12661	208	842	906	
52	12870	308	788	1146	
53	13403	66	699	618	
54	13469	208	686	658	
55	13677	75	399	544	
56	13752	50	452	595	
57	13802	258	404	544	
58	14060	283	340	521	
59	14344	383	495	599	
60	14727	208	285	606	
61	14935	67	251	523	
62	15001	67	280	604	
63	15068	292	326	637	
64	15360	200	623	905	
65	15559	67	592	952	
66	15626	75	470	382	
67	15701	150	470	454	
68	15851	233	598	382	
69	16084	266	247	654	
70	16351	233	289	616	
71	16584	400	456	446	
72	16983	67	461	544	
73	17050	225	457	450	
74	17275	358	741	249	
75	17633	391	1074	207	
76	18024	433	844	213	
77	18457	217	1022	156	
78	18674	591	1132	261	
79	19265	216	1126	895	
80	19482	67	1186	753	
81	19548	58	1134	773	
82	19607	641	1154	806	
83	20248	183	1053	821	
84	20431	425	734	829	
85	20856	291	1073	817	
86	21147	108	1107	369	
87	21256	275	1127	224	
88	21530	275	1154	253	
89	22063	150	982	936	
90	22213	175	862	861	
91	22388	516	354	922	
92	22904	358	758	814	
93	23263	291	919	244	
94	23554	283	832	227	
95	23837	333	772	275	
96	24170	500	735	344	
97	24853	67	776	153	
98	24920	516	716	351	
99	25436	225	587	370	
100	25661	200	987	349	
101	25861	358	261	311	
102	26219	100	256	370	
103	26319	175	291	453	
104	26494	216	1015	402	
105	26710	92	1158	680	
106	26802	92	1144	714	
107	26893	225	1109	951	
108	27118	266	1145	918	
109	27385	341	1139	504	
110	27901	208	736	707	
111	28109	266	664	863	
112	28376	158	690	784	
113	28534	266	514	606	
114	29050	108	478	586	
115	29158	258	260	538	
116	29417	250	829	899	
117	29666	316	1109	529	
118	29983	316	956	336	
119	30299	258	1026	416	
120	30557	217	1107	671	
121	30774	142	1159	558	
122	30916	125	1031	1003	
123	31041	50	1092	935	
124	31090	58	1119	885	
125	31149	117	1095	914	
126	31265	325	1148	932	
127	31590	341	1138	541	
128	31932	208	500	545	
129	32140	217	445	1015	
130	32356	333	935	879	
131	32689	333	1080	864	
132	33022	550	1061	496	
133	33572	175	995	602	
134	33747	250	692	803	
135	33997	233	1112	889	
136	34230	275	1102	520	
137	34505	242	844	402	
138	34746	483	797	331	
139	35229	416	926	269	
140	35646	266	1011	407	
141	35912	175	742	575	
142	36329	158	699	630	
143	36795	216	724	707	
144	37011	75	654	428	
145	37086	92	692	424	
146	37178	133	742	406	
147	37311	291	324	201	
148	37603	308	544	188	
149	37911	166	657	301	
150	38077	192	1128	558	
151	38269	58	1120	612	
152	38327	408	1119	564	
153	38735	191	1155	639	
154	38927	142	1141	949	
155	39068	291	1163	883	
156	39360	167	643	851	
157	39526	50	640	796	
158	39576	83	637	832	
159	39660	191	362	816	
160	39851	250	397	217	
161	40101	58	402	264	
162	40159	316	412	226	
163	40476	466	356	223	
164	40942	183	477	227	
165	41125	216	386	219	
166	41342	125	390	291	
167	41467	192	291	378	
168	41658	208	231	337	
169	41866	341	449	209	
170	42208	133	332	944	
171	42341	225	348	858	
172	42566	316	408	778	
173	42882	258	552	233	
174	43140	175	744	352	
175	43315	92	1025	481	
176	43407	350	1017	538	
177	43757	100	880	959	
178	43857	158	841	940	
179	44015	158	880	834	
180	44173	291	1143	883	
181	44465	308	1160	643	
182	44773	275	1094	913	
183	45048	191	1127	864	
184	45239	375	683	856	
185	45614	200	740	839	
186	45814	75	1162	895	
187	45889	75	1124	925	
188	45963	625	1144	877	
189	46588	366	760	836	
190	46955	75	767	875	
191	47029	208	757	835	
192	47504	83	712	561	
193	47804	58	726	501	
194	47862	508	731	564	
195	48370	283	823	373	
196	48653	308	944	259	
197	48961	241	702	295	
198	49203	241	580	415	
199	49444	50	260	594	
200	49494	150	333	686	
201	49644	258	1086	229	
202	49903	291	1157	141	
203	50194	125	1043	924	
204	50319	341	1100	896	
205	50660	291	1156	879	
206	50952	175	1149	225	
207	51127	316	1182	140	
208	51443	192	1112	157	
209	51635	550	782	279	
210	52184	283	1105	210	
211	52467	225	1100	910	
212	52692	75	1040	859	
213	52767	67	1019	898	
214	52834	233	637	797	
215	53067	67	618	850	
216	53134	308	641	822	
217	53442	92	683	571	
218	53533	300	544	409	
219	53833	67	549	503	
220	54225	408	656	770	
221	54633	100	656	711	
222	54733	241	614	494	
223	54974	425	927	890	
224	55399	100	339	866	
225	55499	341	345	923	
226	55840	242	211	959	
227	56082	408	430	488	
228	56490	258	1062	240	
229	56748	466	1161	134	
230	57214	216	1111	951	
231	57431	433	1149	854	
232	57864	216	1177	188	
233	58080	566	1161	122	
234	58888	150	785	617	
235	59038	150	1002	762	
236	59188	366	989	840	
237	59554	125	976	873	
238	59679	216	756	447	
239	59896	275	407	305	
240	60171	233	1107	381	
241	60404	250	1158	289	
242	60653	266	1075	954	
243	60920	250	938	825	
244	61170	175	331	418	
245	61345	375	208	342	
246	61719	92	325	980	
247	61811	67	375	987	
248	61878	225	308	913	
249	62102	192	215	917	
250	62294	283	261	340	
251	62577	200	204	365	
252	62777	266	278	963	
253	63044	67	283	885	
254	63110	217	297	920	
255	63327	200	216	929	
256	63527	266	254	341	
257	63793	383	672	324	
258	64176	141	843	802	
259	64318	75	884	750	
260	64393	216	967	905	
261	64609	466	1021	332	
262	65075	167	872	684	
263	65242	258	852	918	
264	65500	241	850	867	
265	65742	491	766	893	
266	66233	258	788	567	
267	66491	158	795	654	
268	66649	425	831	853	
269	67074	133	957	906	
270	67207	183	1081	862	
271	67391	125	1121	839	
272	67515	275	1127	328	
273	67790	733	1149	287	
274	68523	92	1201	855	
275	68615	200	1168	877	
276	68815	308	766	467	
277	69123	75	658	240	
278	69198	50	650	190	
279	69248	241	653	243	
280	69489	425	997	358	
281	69914	166	749	621	
282	70430	33	818	1205	
283	70588	42	787	1242	
284	70630	75	669	1196	
285	70705	242	696	1230	
286	70946	233	661	1256	
287	71180	100	690	1196	
288	71280	250	1016	827	
289	71529	283	697	389	
290	71813	192	1065	549	
291	72004	408	1086	932	
292	72412	133	1161	882	
293	72545	75	1149	646	
294	72620	50	1182	631	
295	72670	150	1142	645	
296	72820	250	380	312	
297	73070	150	208	385	
298	73220	358	210	425	
