System Properties:					
Operating System:	 Microsoft Windows NT 6.2.9200.0				
System User Name:	 nuc				
Machine Name:	 DESKTOP-CHDADVS				
Data properties:					
Recording name:	 Rec 05				
Recording date:	 2021/9/14				
Recording time:	 16:36:11				
Recording resolution:	 1280 x 1024				
Export date:	 2021/9/14				
Export time:	 16:55:22				
Participant:	 P09				
Timestamp	Event	EventKey	Data1	Data2	Descriptor
0	ImageStart	8	0	0	2912.jpg
9985	ImageEnd	16	0	0	2912.jpg
10008	InstructionStart	2048	0	0	Instruction Element
11240	KeyPress	4	32	0	Space
11247	InstructionEnd	4096	0	0	Instruction Element
11280	ImageStart	8	0	0	2748.jpg
21268	ImageEnd	16	0	0	2748.jpg
21380	InstructionStart	2048	0	0	Instruction Element
22413	KeyPress	4	32	0	Space
22418	InstructionEnd	4096	0	0	Instruction Element
22446	ImageStart	8	0	0	2990.jpg
32417	ImageEnd	16	0	0	2990.jpg
32436	InstructionStart	2048	0	0	Instruction Element
33578	KeyPress	4	32	0	Space
33587	InstructionEnd	4096	0	0	Instruction Element
33620	ImageStart	8	0	0	3013.jpg
43607	ImageEnd	16	0	0	3013.jpg
43627	InstructionStart	2048	0	0	Instruction Element
45052	KeyPress	4	32	0	Space
45059	InstructionEnd	4096	0	0	Instruction Element
45101	ImageStart	8	0	0	2257.jpg
55076	ImageEnd	16	0	0	2257.jpg
55094	InstructionStart	2048	0	0	Instruction Element
56666	KeyPress	4	32	0	Space
56669	InstructionEnd	4096	0	0	Instruction Element
56719	ImageStart	8	0	0	2972.jpg
66695	ImageEnd	16	0	0	2972.jpg
66718	InstructionStart	2048	0	0	Instruction Element
67849	KeyPress	4	32	0	Space
67861	InstructionEnd	4096	0	0	Instruction Element
67892	ImageStart	8	0	0	2153.jpg
77882	ImageEnd	16	0	0	2153.jpg
78124	InstructionStart	2048	0	0	Instruction Element
79754	KeyPress	4	32	0	Space
79762	InstructionEnd	4096	0	0	Instruction Element
79799	ImageStart	8	0	0	2724.jpg
89775	ImageEnd	16	0	0	2724.jpg
89902	InstructionStart	2048	0	0	Instruction Element
91346	KeyPress	4	32	0	Space
91354	InstructionEnd	4096	0	0	Instruction Element
91392	ImageStart	8	0	0	2281.jpg
101382	ImageEnd	16	0	0	2281.jpg
101531	InstructionStart	2048	0	0	Instruction Element
102530	KeyPress	4	32	0	Space
102532	InstructionEnd	4096	0	0	Instruction Element
102567	ImageStart	8	0	0	2939.jpg
112547	ImageEnd	16	0	0	2939.jpg
112598	InstructionStart	2048	0	0	Instruction Element
113383	KeyPress	4	32	0	Space
113385	InstructionEnd	4096	0	0	Instruction Element
113421	ImageStart	8	0	0	2114.jpg
123404	ImageEnd	16	0	0	2114.jpg
123423	InstructionStart	2048	0	0	Instruction Element
124523	KeyPress	4	32	0	Space
124526	InstructionEnd	4096	0	0	Instruction Element
124563	ImageStart	8	0	0	2840.jpg
134547	ImageEnd	16	0	0	2840.jpg
134740	InstructionStart	2048	0	0	Instruction Element
135719	KeyPress	4	32	0	Space
135731	InstructionEnd	4096	0	0	Instruction Element
135766	ImageStart	8	0	0	2686.jpg
145748	ImageEnd	16	0	0	2686.jpg
145773	InstructionStart	2048	0	0	Instruction Element
146281	KeyPress	4	32	0	Space
146283	InstructionEnd	4096	0	0	Instruction Element
146319	ImageStart	8	0	0	2140.jpg
156302	ImageEnd	16	0	0	2140.jpg
156421	InstructionStart	2048	0	0	Instruction Element
157562	KeyPress	4	32	0	Space
157562	InstructionEnd	4096	0	0	Instruction Element
157594	ImageStart	8	0	0	2684.jpg
167573	ImageEnd	16	0	0	2684.jpg
167725	InstructionStart	2048	0	0	Instruction Element
168447	KeyPress	4	32	0	Space
168448	InstructionEnd	4096	0	0	Instruction Element
168475	ImageStart	8	0	0	2863.jpg
178456	ImageEnd	16	0	0	2863.jpg
178478	InstructionStart	2048	0	0	Instruction Element
179556	KeyPress	4	32	0	Space
179558	InstructionEnd	4096	0	0	Instruction Element
179609	ImageStart	8	0	0	3028.jpg
189573	ImageEnd	16	0	0	3028.jpg
189597	InstructionStart	2048	0	0	Instruction Element
190064	KeyPress	4	32	0	Space
190072	InstructionEnd	4096	0	0	Instruction Element
190104	ImageStart	8	0	0	2889.jpg
200097	ImageEnd	16	0	0	2889.jpg
200269	InstructionStart	2048	0	0	Instruction Element
201206	KeyPress	4	32	0	Space
201214	InstructionEnd	4096	0	0	Instruction Element
201241	ImageStart	8	0	0	5488.jpg
211221	ImageEnd	16	0	0	5488.jpg
211308	InstructionStart	2048	0	0	Instruction Element
212593	KeyPress	4	32	0	Space
212595	InstructionEnd	4096	0	0	Instruction Element
212626	ImageStart	8	0	0	2711.jpg
222616	ImageEnd	16	0	0	2711.jpg
222635	InstructionStart	2048	0	0	Instruction Element
224423	KeyPress	4	32	0	Space
224438	InstructionEnd	4096	0	0	Instruction Element
224468	ImageStart	8	0	0	3279.jpg
234460	ImageEnd	16	0	0	3279.jpg
234740	InstructionStart	2048	0	0	Instruction Element
236304	KeyPress	4	32	0	Space
236307	InstructionEnd	4096	0	0	Instruction Element
236341	ImageStart	8	0	0	6531.jpg
246334	ImageEnd	16	0	0	6531.jpg
246484	InstructionStart	2048	0	0	Instruction Element
248229	KeyPress	4	32	0	Space
248230	InstructionEnd	4096	0	0	Instruction Element
248256	ImageStart	8	0	0	5446.jpg
258242	ImageEnd	16	0	0	5446.jpg
258265	InstructionStart	2048	0	0	Instruction Element
259189	KeyPress	4	32	0	Space
259190	InstructionEnd	4096	0	0	Instruction Element
259224	ImageStart	8	0	0	6254.jpg
269204	ImageEnd	16	0	0	6254.jpg
269264	InstructionStart	2048	0	0	Instruction Element
270524	KeyPress	4	32	0	Space
270526	InstructionEnd	4096	0	0	Instruction Element
270566	ImageStart	8	0	0	3517.jpg
280541	ImageEnd	16	0	0	3517.jpg
280666	InstructionStart	2048	0	0	Instruction Element
281581	KeyPress	4	32	0	Space
281583	InstructionEnd	4096	0	0	Instruction Element
281616	ImageStart	8	0	0	5463.jpg
291598	ImageEnd	16	0	0	5463.jpg
291742	InstructionStart	2048	0	0	Instruction Element
292699	KeyPress	4	32	0	Space
292700	InstructionEnd	4096	0	0	Instruction Element
292728	ImageStart	8	0	0	6198.jpg
302702	ImageEnd	16	0	0	6198.jpg
302795	InstructionStart	2048	0	0	Instruction Element
304560	KeyPress	4	32	0	Space
304563	InstructionEnd	4096	0	0	Instruction Element
304607	ImageStart	8	0	0	6305.jpg
314577	ImageEnd	16	0	0	6305.jpg
314641	InstructionStart	2048	0	0	Instruction Element
315991	KeyPress	4	32	0	Space
316000	InstructionEnd	4096	0	0	Instruction Element
316028	ImageStart	8	0	0	6450.jpg
326010	ImageEnd	16	0	0	6450.jpg
326023	InstructionStart	2048	0	0	Instruction Element
327735	KeyPress	4	32	0	Space
327738	InstructionEnd	4096	0	0	Instruction Element
327775	ImageStart	8	0	0	1895.jpg
337748	ImageEnd	16	0	0	1895.jpg
337770	InstructionStart	2048	0	0	Instruction Element
338833	KeyPress	4	32	0	Space
338834	InstructionEnd	4096	0	0	Instruction Element
338863	ImageStart	8	0	0	6315.jpg
348841	ImageEnd	16	0	0	6315.jpg
348859	InstructionStart	2048	0	0	Instruction Element
350232	KeyPress	4	32	0	Space
350234	InstructionEnd	4096	0	0	Instruction Element
350264	ImageStart	8	0	0	1689.jpg
360257	ImageEnd	16	0	0	1689.jpg
360275	InstructionStart	2048	0	0	Instruction Element
361502	KeyPress	4	32	0	Space
361505	InstructionEnd	4096	0	0	Instruction Element
361541	ImageStart	8	0	0	5990.jpg
371529	ImageEnd	16	0	0	5990.jpg
371702	InstructionStart	2048	0	0	Instruction Element
372601	KeyPress	4	32	0	Space
372604	InstructionEnd	4096	0	0	Instruction Element
372650	ImageStart	8	0	0	6016.jpg
382622	ImageEnd	16	0	0	6016.jpg
382767	InstructionStart	2048	0	0	Instruction Element
