Data properties:				
Recording date: 2021/9/14				
Recording time: 16:36:11:000 (corresponds to time 0)				
Study: Test3				
Subject: P09				
Recording: Rec 05				
Screen resolution: 1280 x 1024				
Coordinate unit: Pixels				
Filter settings:				
Eye: Average				
Validity: Normal				
Fixation filter: Tobii fixation filter				
Fixation radius: 35				
FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY
1	64	283	572	1340
2	347	283	728	1337
3	630	133	728	620
4	764	167	724	580
5	930	266	1088	446
6	1197	117	1120	573
7	1313	416	1134	635
8	1863	117	1189	895
9	1979	250	1134	885
10	2229	167	1145	840
11	2396	183	1107	581
12	2579	200	621	395
13	2779	350	799	389
14	3129	116	1149	661
15	3245	100	1156	625
16	3545	83	1034	579
17	3628	133	1007	522
18	3761	233	567	390
19	3995	300	992	598
20	4294	183	1144	625
21	4477	216	1139	896
22	4694	250	1136	498
23	4944	100	1134	424
24	5044	150	1162	445
25	5194	383	1128	573
26	5577	350	1111	638
27	5926	167	1078	625
28	6093	100	1056	657
29	6193	350	1128	608
30	6543	200	1055	523
31	6742	183	1144	710
32	6925	100	1170	988
33	7025	250	1134	983
34	7275	216	1071	959
35	7492	183	1148	528
36	7675	266	1122	589
37	7941	216	803	484
38	8158	100	791	564
39	8258	266	1122	519
40	8524	183	1106	612
41	8707	133	1128	501
42	8841	133	994	917
43	8974	250	1014	886
44	9224	166	1115	580
45	9390	200	1151	488
46	9590	266	699	349
47	9857	117	713	290
48	9973	150	472	338
49	10123	150	462	490
50	10273	200	760	523
51	10473	167	877	537
52	11455	183	871	458
53	11639	216	1183	502
54	12055	117	1140	368
55	12171	150	1188	501
56	12321	150	709	270
57	12471	167	627	277
58	12638	116	1123	780
59	12754	183	1106	842
60	12937	150	1122	343
61	13087	183	1094	484
62	13270	183	1120	519
63	13454	100	753	266
64	13787	166	661	687
65	13953	250	1124	481
66	14203	300	636	288
67	14503	116	854	318
68	14619	150	851	418
69	14769	100	1152	393
70	14869	150	1129	470
71	15019	283	1141	403
72	15302	235	706	217
73	15537	300	1105	445
74	15837	100	1128	295
75	15937	183	1124	333
76	16120	283	1031	457
77	16403	100	1125	380
78	16503	183	1096	479
79	16686	183	793	418
80	16869	117	475	160
81	16986	166	470	204
82	17153	233	1227	859
83	17386	116	1159	816
84	17502	250	1175	733
85	17752	167	1063	813
86	18119	500	1087	528
87	18618	200	693	355
88	18818	316	1105	496
89	19135	150	1137	477
90	19284	266	575	466
91	19551	250	1120	596
92	19801	233	1149	518
93	20034	133	1014	551
94	20167	183	1011	589
95	20350	117	563	734
96	20467	383	581	680
97	21133	116	769	1005
98	21250	133	370	995
99	21383	133	347	906
100	21516	100	305	821
101	21616	100	723	428
102	21716	117	703	563
103	21833	300	839	577
104	22132	100	589	1253
105	22667	115	770	469
106	22782	250	1115	323
107	23148	166	947	315
108	23315	233	371	272
109	24781	183	719	531
110	24964	183	755	708
111	25147	100	898	399
112	25697	166	1072	611
113	25863	233	962	802
114	26096	100	966	996
115	26346	117	1043	252
116	26463	167	1037	305
117	26629	166	896	364
118	26796	117	1020	353
119	26912	366	1124	310
120	27279	333	932	382
121	27612	400	1114	311
122	28012	300	921	396
123	28311	316	1098	306
124	28628	250	844	587
125	28878	200	1094	935
126	29078	167	898	879
127	29244	266	869	286
128	29511	300	403	337
129	29810	483	232	250
130	30293	100	-501	31
131	30393	333	-474	168
132	30726	233	944	406
133	31093	167	810	525
134	31259	333	828	432
135	31593	216	1093	275
136	31809	233	377	337
137	32042	366	208	222
138	32409	100	520	368
139	32509	300	543	524
140	32808	233	815	582
141	33042	566	668	561
142	33608	283	545	556
143	33891	100	1061	254
144	33991	233	1063	296
145	34224	283	870	198
146	34624	100	1051	264
