Data properties:				
Recording date: 2021/9/14				
Recording time: 15:27:20:000 (corresponds to time 0)				
Study: Test3				
Subject: p07				
Recording: Rec 04				
Screen resolution: 1280 x 1024				
Coordinate unit: Pixels				
Filter settings:				
Eye: Average				
Validity: Normal				
Fixation filter: Tobii fixation filter				
Fixation radius: 35				
FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY
0	86	100	830	478
1	186	117	813	539
2	303	200	882	439
3	502	250	1110	584
4	752	200	639	354
5	952	200	1057	536
6	1152	266	1043	921
7	1418	183	994	935
8	1602	150	987	785
9	1752	466	1009	571
10	2218	316	984	858
11	2534	200	1021	526
12	2734	500	1135	575
13	3234	150	807	363
14	3600	117	783	560
15	3717	300	1024	1011
16	4017	316	1085	957
17	4333	316	576	909
18	4650	250	140	851
19	4899	316	-790	1271
20	5216	250	-1731	1279
21	5466	100	-1822	1279
22	5566	100	-1505	1265
23	5965	333	1051	722
24	6298	183	1042	788
25	6482	799	1118	580
26	7281	516	1137	612
27	7797	216	917	1044
28	8014	516	943	983
29	8530	400	-779	1240
30	8930	150	-571	1100
31	9080	183	-1183	1083
32	9263	150	-1101	1321
33	9413	283	-1065	1297
34	9696	100	-873	1256
35	9912	83	985	950
36	9996	167	988	584
37	10162	133	1022	547
38	10295	216	996	580
39	10512	150	740	626
40	10662	200	591	583
41	10862	100	481	563
42	11478	83	753	541
43	11561	700	852	494
44	12477	350	847	471
45	12827	116	840	526
46	13060	100	863	510
47	13160	183	667	508
48	13460	217	700	521
49	13876	183	786	685
50	14060	167	26	1840
51	14626	200	884	517
52	14826	100	880	586
53	15192	50	774	579
54	15376	266	789	506
55	15642	316	1113	514
56	15959	250	629	314
57	16208	200	1091	1011
58	16408	150	1130	888
59	16675	383	1096	940
60	17058	250	1149	518
61	17457	183	1131	490
62	18473	133	580	944
63	18607	250	1080	872
64	18856	216	1036	561
65	19073	100	1043	520
66	19506	400	1063	886
67	19906	366	1071	926
68	20272	283	1081	578
69	20688	1166	1073	670
70	21854	200	1101	865
71	22054	200	1079	740
72	22403	33	1087	696
73	22654	216	1113	558
74	22870	267	1093	642
75	23136	117	1129	430
76	23253	100	1107	538
77	23353	350	1090	901
78	23703	317	1102	560
79	24402	183	1090	654
80	24585	283	1090	610
81	24869	150	1069	541
82	25018	250	507	178
83	25268	483	308	208
84	25752	117	664	517
85	25868	200	681	552
86	26068	150	505	557
87	26385	566	535	550
88	27084	83	636	646
89	27167	200	649	525
90	27367	350	683	549
91	27717	117	682	498
92	28217	17	843	616
93	28633	133	884	488
94	28900	100	812	514
95	28999	533	629	585
96	29533	300	1010	354
97	29833	283	957	343
98	30116	333	537	428
99	30449	183	1139	318
100	30632	100	1120	287
101	32147	167	308	272
102	32314	383	475	412
103	32697	100	567	443
104	33647	17	859	389
105	33780	117	1134	295
106	34463	300	1067	253
107	34762	133	1135	240
108	34896	100	1115	278
109	35529	16	626	412
110	35712	283	302	314
111	36528	100	480	287
112	36628	133	219	162
113	36761	133	244	135
114	37677	17	1088	402
115	37827	117	1119	314
116	37944	117	981	370
117	38060	217	985	332
118	38277	216	1088	321
119	38494	333	1130	266
120	38827	100	1166	257
121	38927	183	1036	344
122	39110	200	1041	389
123	39659	150	969	326
124	39809	100	995	280
125	39909	233	744	558
126	40143	200	698	590
127	40775	350	726	584
128	41125	650	693	607
129	41775	250	845	609
130	47904	17	742	770
131	50103	50	889	638
132	50486	50	909	616
133	50669	98	902	601
134	50767	267	909	540
135	51184	83	821	603
136	51267	300	832	481
137	51567	233	866	545
138	52233	83	806	553
139	52316	300	785	462
140	52616	184	848	561
141	52949	50	875	546
142	53549	233	888	548
143	53782	183	805	243
144	53965	250	572	358
145	54215	166	564	274
146	54382	200	653	230
147	54581	383	891	191
148	54965	300	1109	244
149	55264	350	676	207
150	55614	300	809	164
151	55914	233	953	146
152	56147	100	696	222
153	56630	17	1120	237
154	57013	100	1123	1041
155	57296	133	1094	976
156	57596	300	883	970
157	57896	416	1090	278
158	58312	216	976	150
159	58529	283	1088	233
160	58812	216	1137	250
161	59028	167	1034	1027
162	59195	283	1045	983
163	59478	200	569	914
164	59961	50	540	777
165	60310	17	461	587
166	60477	150	402	510
167	60627	133	358	466
168	60760	283	479	942
169	61377	33	863	96
170	62376	166	714	360
171	62542	100	732	404
172	63958	17	496	391
173	64741	17	1131	469
174	65091	117	1060	226
175	65207	200	1010	488
176	65407	233	1024	414
177	65974	183	1118	404
178	66157	200	990	874
179	66356	166	976	1031
180	68955	16	1081	279
181	70154	17	1004	341
182	70420	83	411	232
183	70504	316	373	236
184	71336	17	1056	202
185	72169	17	1122	488
186	72319	167	1124	442
187	72486	150	516	245
188	72635	100	513	310
189	73502	200	1102	1029
190	73918	100	1131	967
191	74018	117	1128	310
192	74134	150	1107	358
193	74284	150	1136	436
194	74434	100	1005	451
195	74867	17	724	497
196	75500	267	1148	331
197	75767	366	523	213
198	76133	167	482	162
199	76300	633	1153	379
200	76932	217	1147	877
201	77149	100	1096	887
202	77665	17	1084	423
203	78714	283	483	136
204	78998	233	698	1025
205	79397	150	601	827
206	79547	433	402	180
207	79980	516	241	192
208	80496	200	515	170
209	80696	200	1155	343
210	81229	233	1103	884
211	81463	250	1078	928
212	81713	266	1087	885
213	81978	183	1090	401
214	82162	217	349	125
215	82378	483	477	127
216	82861	350	1202	254
217	83211	183	1096	250
218	83394	333	510	218
219	83727	283	805	485
220	84011	483	936	470
221	84494	316	623	390
222	84810	300	413	185
223	85260	117	564	315
224	85376	200	561	405
225	85576	200	623	547
226	85776	566	672	561
227	86342	300	831	547
228	86642	233	866	551
229	86875	283	833	563
230	87158	316	846	528
231	87475	266	853	566
232	88074	83	797	543
233	88807	100	633	573
234	88907	100	615	536
235	89224	50	685	500
236	89756	67	898	459
237	90573	33	887	446
238	90872	83	725	513
239	90956	167	706	585
240	91122	166	604	541
241	91289	100	586	484
242	91389	199	574	574
243	91588	284	1124	353
244	91872	200	741	462
245	92471	17	993	224
246	92638	83	934	206
247	92721	383	709	222
248	93104	400	681	192
249	93504	117	524	373
250	93620	150	524	334
251	94036	200	1045	1016
252	94237	166	1092	1007
253	94403	716	1112	254
254	95786	166	1026	283
255	96619	50	638	143
256	97118	100	656	585
257	97219	283	655	895
258	97502	216	955	177
259	97718	316	1060	230
260	98035	167	886	956
261	98301	133	883	965
262	98434	633	721	932
263	99067	150	869	958
264	99217	183	953	231
265	99400	133	924	274
266	99534	150	1079	217
267	99867	83	1039	189
268	99950	217	704	234
269	100167	100	713	180
270	100516	350	706	210
271	100866	150	481	456
272	101016	233	867	274
273	101249	250	984	237
274	101498	183	753	268
275	101682	216	772	232
276	101898	233	958	249
277	102314	100	900	320
278	102414	100	783	567
279	102514	100	772	618
280	103613	367	571	475
281	103980	333	391	312
282	104313	383	612	451
283	104696	217	658	524
284	104912	300	1119	488
285	105212	133	739	548
286	105812	166	1129	500
287	106461	283	931	343
288	106744	100	756	650
289	106844	300	1131	486
290	107144	150	1133	991
291	107427	83	1098	1000
