System Properties:					
Operating System:	 Microsoft Windows NT 6.2.9200.0				
System User Name:	 nuc				
Machine Name:	 DESKTOP-CHDADVS				
Data properties:					
Recording name:	 Rec 12				
Recording date:	 2021/10/3				
Recording time:	 16:50:57				
Recording resolution:	 1280 x 1024				
Export date:	 2021/10/3				
Export time:	 17:28:44				
Participant:	 P16				
Timestamp	Event	EventKey	Data1	Data2	Descriptor
0	ImageStart	8	0	0	5309.jpg
9975	ImageEnd	16	0	0	5309.jpg
10008	InstructionStart	2048	0	0	Instruction Element
16025	KeyPress	4	32	0	Space
16026	InstructionEnd	4096	0	0	Instruction Element
16053	ImageStart	8	0	0	2650.jpg
26036	ImageEnd	16	0	0	2650.jpg
26242	InstructionStart	2048	0	0	Instruction Element
26598	KeyPress	4	32	0	Space
26600	InstructionEnd	4096	0	0	Instruction Element
26631	ImageStart	8	0	0	2576.jpg
36597	ImageEnd	16	0	0	2576.jpg
36616	InstructionStart	2048	0	0	Instruction Element
37385	KeyPress	4	32	0	Space
37398	InstructionEnd	4096	0	0	Instruction Element
37426	ImageStart	8	0	0	5393.jpg
47411	ImageEnd	16	0	0	5393.jpg
47433	InstructionStart	2048	0	0	Instruction Element
48828	KeyPress	4	32	0	Space
48832	InstructionEnd	4096	0	0	Instruction Element
48859	ImageStart	8	0	0	2201.jpg
58833	ImageEnd	16	0	0	2201.jpg
58913	InstructionStart	2048	0	0	Instruction Element
59358	KeyPress	4	32	0	Space
59369	InstructionEnd	4096	0	0	Instruction Element
59397	ImageStart	8	0	0	2450.jpg
69387	ImageEnd	16	0	0	2450.jpg
69406	InstructionStart	2048	0	0	Instruction Element
71144	KeyPress	4	32	0	Space
71145	InstructionEnd	4096	0	0	Instruction Element
71173	ImageStart	8	0	0	2818.jpg
81151	ImageEnd	16	0	0	2818.jpg
81180	InstructionStart	2048	0	0	Instruction Element
81819	KeyPress	4	32	0	Space
81832	InstructionEnd	4096	0	0	Instruction Element
81858	ImageStart	8	0	0	2212.jpg
91840	ImageEnd	16	0	0	2212.jpg
91854	InstructionStart	2048	0	0	Instruction Element
97540	KeyPress	4	32	0	Space
97541	InstructionEnd	4096	0	0	Instruction Element
97568	ImageStart	8	0	0	3621.jpg
107550	ImageEnd	16	0	0	3621.jpg
107804	InstructionStart	2048	0	0	Instruction Element
111215	KeyPress	4	32	0	Space
111225	InstructionEnd	4096	0	0	Instruction Element
111253	ImageStart	8	0	0	3134.jpg
121232	ImageEnd	16	0	0	3134.jpg
121248	InstructionStart	2048	0	0	Instruction Element
124386	KeyPress	4	32	0	Space
124394	InstructionEnd	4096	0	0	Instruction Element
124422	ImageStart	8	0	0	2007.jpg
134397	ImageEnd	16	0	0	2007.jpg
134569	InstructionStart	2048	0	0	Instruction Element
134852	KeyPress	4	32	0	Space
134853	InstructionEnd	4096	0	0	Instruction Element
134881	ImageStart	8	0	0	3471.jpg
144874	ImageEnd	16	0	0	3471.jpg
144966	InstructionStart	2048	0	0	Instruction Element
145532	KeyPress	4	32	0	Space
145538	InstructionEnd	4096	0	0	Instruction Element
145568	ImageStart	8	0	0	1958.jpg
155538	ImageEnd	16	0	0	1958.jpg
155702	InstructionStart	2048	0	0	Instruction Element
164005	KeyPress	4	32	0	Space
164006	InstructionEnd	4096	0	0	Instruction Element
164035	ImageStart	8	0	0	3339.jpg
174017	ImageEnd	16	0	0	3339.jpg
174180	InstructionStart	2048	0	0	Instruction Element
175179	KeyPress	4	32	0	Space
175180	InstructionEnd	4096	0	0	Instruction Element
175207	ImageStart	8	0	0	2797.jpg
185204	ImageEnd	16	0	0	2797.jpg
185220	InstructionStart	2048	0	0	Instruction Element
187179	KeyPress	4	32	0	Space
187189	InstructionEnd	4096	0	0	Instruction Element
187215	ImageStart	8	0	0	3083.jpg
197192	ImageEnd	16	0	0	3083.jpg
197209	InstructionStart	2048	0	0	Instruction Element
199342	KeyPress	4	32	0	Space
199350	InstructionEnd	4096	0	0	Instruction Element
199379	ImageStart	8	0	0	2112.jpg
209362	ImageEnd	16	0	0	2112.jpg
209379	InstructionStart	2048	0	0	Instruction Element
210044	KeyPress	4	32	0	Space
210056	InstructionEnd	4096	0	0	Instruction Element
210083	ImageStart	8	0	0	1653.jpg
220069	ImageEnd	16	0	0	1653.jpg
220086	InstructionStart	2048	0	0	Instruction Element
225340	KeyPress	4	32	0	Space
225357	InstructionEnd	4096	0	0	Instruction Element
225385	ImageStart	8	0	0	3146.jpg
235366	ImageEnd	16	0	0	3146.jpg
235383	InstructionStart	2048	0	0	Instruction Element
242182	KeyPress	4	32	0	Space
242183	InstructionEnd	4096	0	0	Instruction Element
242211	ImageStart	8	0	0	3423.jpg
252198	ImageEnd	16	0	0	3423.jpg
252216	InstructionStart	2048	0	0	Instruction Element
259302	KeyPress	4	32	0	Space
259303	InstructionEnd	4096	0	0	Instruction Element
259332	ImageStart	8	0	0	3359.jpg
269310	ImageEnd	16	0	0	3359.jpg
269417	InstructionStart	2048	0	0	Instruction Element
269855	KeyPress	4	32	0	Space
269865	InstructionEnd	4096	0	0	Instruction Element
269894	ImageStart	8	0	0	3058.jpg
279874	ImageEnd	16	0	0	3058.jpg
279892	InstructionStart	2048	0	0	Instruction Element
281384	KeyPress	4	32	0	Space
281394	InstructionEnd	4096	0	0	Instruction Element
281427	ImageStart	8	0	0	3210.jpg
291417	ImageEnd	16	0	0	3210.jpg
291432	InstructionStart	2048	0	0	Instruction Element
291795	KeyPress	4	32	0	Space
291810	InstructionEnd	4096	0	0	Instruction Element
291840	ImageStart	8	0	0	3434.jpg
301818	ImageEnd	16	0	0	3434.jpg
301944	InstructionStart	2048	0	0	Instruction Element
302626	KeyPress	4	32	0	Space
302639	InstructionEnd	4096	0	0	Instruction Element
302668	ImageStart	8	0	0	5967.jpg
312657	ImageEnd	16	0	0	5967.jpg
312673	InstructionStart	2048	0	0	Instruction Element
313211	KeyPress	4	32	0	Space
313224	InstructionEnd	4096	0	0	Instruction Element
313252	ImageStart	8	0	0	6141.jpg
323235	ImageEnd	16	0	0	6141.jpg
323366	InstructionStart	2048	0	0	Instruction Element
327659	KeyPress	4	32	0	Space
327661	InstructionEnd	4096	0	0	Instruction Element
327688	ImageStart	8	0	0	3403.jpg
337670	ImageEnd	16	0	0	3403.jpg
337690	InstructionStart	2048	0	0	Instruction Element
340389	KeyPress	4	32	0	Space
340402	InstructionEnd	4096	0	0	Instruction Element
340434	ImageStart	8	0	0	1832.jpg
350416	ImageEnd	16	0	0	1832.jpg
350572	InstructionStart	2048	0	0	Instruction Element
356436	KeyPress	4	32	0	Space
356439	InstructionEnd	4096	0	0	Instruction Element
356479	ImageStart	8	0	0	2372.jpg
366467	ImageEnd	16	0	0	2372.jpg
366482	InstructionStart	2048	0	0	Instruction Element
368309	KeyPress	4	32	0	Space
368310	InstructionEnd	4096	0	0	Instruction Element
368346	ImageStart	8	0	0	3327.jpg
378321	ImageEnd	16	0	0	3327.jpg
378334	InstructionStart	2048	0	0	Instruction Element
378977	KeyPress	4	32	0	Space
378979	InstructionEnd	4096	0	0	Instruction Element
379015	ImageStart	8	0	0	2039.jpg
388992	ImageEnd	16	0	0	2039.jpg
389009	InstructionStart	2048	0	0	Instruction Element
389583	KeyPress	4	32	0	Space
389585	InstructionEnd	4096	0	0	Instruction Element
389625	ImageStart	8	0	0	1946.jpg
399600	ImageEnd	16	0	0	1946.jpg
399620	InstructionStart	2048	0	0	Instruction Element
402817	KeyPress	4	32	0	Space
402818	InstructionEnd	4096	0	0	Instruction Element
402858	ImageStart	8	0	0	2403.jpg
412841	ImageEnd	16	0	0	2403.jpg
412975	InstructionStart	2048	0	0	Instruction Element
418369	KeyPress	4	32	0	Space
418370	InstructionEnd	4096	0	0	Instruction Element
418399	ImageStart	8	0	0	1590.jpg
428379	ImageEnd	16	0	0	1590.jpg
428543	InstructionStart	2048	0	0	Instruction Element
