Data properties:				
Recording date: 2021/10/3				
Recording time: 16:50:57:000 (corresponds to time 0)				
Study: Test2				
Subject: P16				
Recording: Rec 12				
Screen resolution: 1280 x 1024				
Coordinate unit: Pixels				
Filter settings:				
Eye: Average				
Validity: Normal				
Fixation filter: Tobii fixation filter				
Fixation radius: 35				
FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY
267	84340	250	851	441
268	84590	266	1059	550
269	84857	100	1032	520
270	85140	233	455	265
271	85373	183	663	247
272	85556	300	908	507
273	85856	300	907	884
274	86156	216	657	863
275	86372	316	1015	568
276	86689	334	950	921
277	87138	350	974	504
278	87488	200	724	365
279	87905	150	792	849
280	88055	183	718	933
281	88238	266	987	852
282	88504	200	1008	441
283	88704	649	985	513
284	89354	283	986	850
285	89637	516	957	534
286	90153	550	969	480
287	90902	84	956	566
288	90986	233	980	503
289	91219	266	960	853
290	91485	616	1006	481
291	92102	200	752	534
292	92302	150	481	535
293	92785	83	323	598
294	92868	100	-366	576
295	92968	216	-316	590
296	93184	250	698	531
297	93434	333	465	533
298	94117	233	499	536
299	94350	400	697	557
300	94750	316	348	564
301	95066	233	524	577
302	95300	733	-483	559
303	96032	366	-522	559
304	96665	333	388	583
305	96998	766	619	547
306	97765	183	579	462
307	97948	216	946	215
308	98164	500	1113	181
309	98664	216	956	874
310	98880	266	418	556
311	99147	266	744	290
312	99413	183	1008	203
313	99596	200	1068	135
314	99796	333	1104	118
315	100129	300	958	804
316	100429	216	1069	861
317	100645	200	772	812
318	100846	716	835	269
319	101562	216	206	442
320	101778	233	251	411
321	102011	416	705	335
322	102428	283	469	535
323	102711	116	736	289
324	102827	150	718	254
325	102977	333	757	209
326	103310	783	887	244
327	104093	383	891	877
328	104476	250	1045	878
329	104726	299	1070	210
330	105026	200	1078	117
331	105226	216	1132	145
332	105758	233	1115	282
333	105992	233	1140	136
334	106225	133	1126	199
335	106575	133	1111	829
336	106708	234	1091	865
337	107074	100	1107	841
338	107175	333	1069	144
339	107507	483	1121	90
340	107990	217	604	677
341	108707	117	261	1194
342	108823	350	554	1265
343	109173	416	727	1265
344	109590	433	507	1275
345	110023	133	519	1228
346	110156	366	504	1263
347	110522	117	503	1214
348	110789	216	584	535
349	111005	466	504	550
350	111471	200	853	486
351	111671	183	1076	551
352	111855	316	406	291
353	112171	300	611	333
354	112471	200	1049	597
355	112671	583	1106	647
356	113253	433	614	439
357	113687	217	948	917
358	113903	283	1092	932
359	114186	333	1063	584
360	114519	300	1051	861
361	114819	233	1079	551
362	115052	333	1071	597
363	115385	383	1059	886
364	115769	1665	1087	622
365	117434	117	1141	617
366	117551	233	1043	850
367	117784	117	1080	579
368	117900	366	1057	528
369	118267	383	669	917
370	118650	183	972	893
371	118833	216	976	493
372	119049	283	748	372
373	119333	366	830	434
374	119699	316	1137	661
375	120016	400	1075	634
376	120415	283	1046	844
377	120698	350	1102	582
378	121048	450	1121	614
379	121498	133	816	504
380	121631	167	763	538
381	122364	100	605	1248
382	122631	150	594	1242
383	122780	116	729	1230
384	123596	150	465	997
385	123746	233	574	1268
386	124812	166	680	272
387	125162	100	836	291
388	125262	167	391	306
389	125428	216	396	344
390	125645	217	217	368
391	125861	133	601	306
392	125994	150	597	235
393	126144	283	630	154
394	126427	266	792	197
395	126694	300	840	363
396	129658	150	678	986
397	129809	117	768	635
398	129925	216	1018	537
399	130142	266	776	347
400	130408	183	860	328
401	130591	467	1136	624
402	131058	150	1067	528
403	131424	17	832	745
404	131741	250	431	361
405	131990	666	501	339
406	132656	600	550	889
407	133838	17	745	362
408	134055	50	887	302
409	134289	167	893	405
410	134455	350	562	310
411	134805	333	600	432
412	135138	200	939	471
413	135338	300	1114	452
414	135638	216	1080	517
415	135854	233	1068	615
416	136087	250	1074	663
417	136337	316	1099	469
418	136653	200	1075	431
419	136853	250	1148	426
420	137103	333	1083	609
421	137436	283	515	337
422	137719	300	1010	535
423	138019	500	1077	847
424	138519	283	1083	584
425	138802	166	1081	688
426	138969	516	1078	851
427	139485	117	1047	919
428	139818	34	1077	588
429	140018	216	1108	381
430	140368	250	1105	373
431	140617	233	1141	726
432	140851	183	1088	806
433	141034	183	1139	410
434	141217	716	1109	378
435	141933	300	388	239
436	142233	200	709	282
437	142433	266	1016	486
438	142866	200	416	301
439	143066	383	207	310
440	143449	366	540	908
441	143815	200	183	942
442	144015	383	226	870
443	144398	266	1069	896
444	144665	250	872	467
445	144914	300	626	414
446	145214	183	729	502
447	145397	450	527	517
448	145847	267	821	346
449	146114	166	546	427
450	146280	350	324	189
451	146630	666	412	296
452	147296	233	475	460
453	147530	233	486	555
454	147763	217	534	458
455	148262	100	568	410
456	148362	333	771	321
457	148695	200	1060	295
458	148895	150	1029	265
459	149045	433	688	278
460	149478	300	809	263
461	149778	283	995	268
462	150061	116	947	266
463	150178	267	1023	825
464	150444	266	963	250
465	150711	283	832	260
466	150994	300	796	827
467	151294	183	835	765
468	151477	200	1095	862
469	151677	150	1105	292
470	152010	400	1117	290
471	152409	250	1115	779
472	152659	266	1110	298
473	152926	316	276	115
474	153709	266	670	423
475	153975	433	1046	296
476	154408	250	525	302
477	154658	200	1267	66
478	155107	217	334	467
479	155324	233	915	340
480	155557	616	1019	259
481	156173	217	292	303
482	156389	683	430	378
483	157072	516	620	460
484	157588	1632	710	484
