System Properties:					
Operating System:	 Microsoft Windows NT 6.2.9200.0				
System User Name:	 nuc				
Machine Name:	 DESKTOP-CHDADVS				
Data properties:					
Recording name:	 Rec 11				
Recording date:	 2021/10/3				
Recording time:	 16:16:47				
Recording resolution:	 1280 x 1024				
Export date:	 2021/10/3				
Export time:	 17:29:31				
Participant:	 p15				
Timestamp	Event	EventKey	Data1	Data2	Descriptor
0	ImageStart	8	0	0	5309.jpg
9981	ImageEnd	16	0	0	5309.jpg
9997	InstructionStart	2048	0	0	Instruction Element
10921	KeyPress	4	32	0	Space
10922	InstructionEnd	4096	0	0	Instruction Element
10961	ImageStart	8	0	0	2650.jpg
20943	ImageEnd	16	0	0	2650.jpg
20956	InstructionStart	2048	0	0	Instruction Element
21752	KeyPress	4	32	0	Space
21767	InstructionEnd	4096	0	0	Instruction Element
21803	ImageStart	8	0	0	2576.jpg
31789	ImageEnd	16	0	0	2576.jpg
31804	InstructionStart	2048	0	0	Instruction Element
32679	KeyPress	4	32	0	Space
32687	InstructionEnd	4096	0	0	Instruction Element
32724	ImageStart	8	0	0	5393.jpg
42711	ImageEnd	16	0	0	5393.jpg
42727	InstructionStart	2048	0	0	Instruction Element
44357	KeyPress	4	32	0	Space
44358	InstructionEnd	4096	0	0	Instruction Element
44397	ImageStart	8	0	0	2201.jpg
54387	ImageEnd	16	0	0	2201.jpg
54404	InstructionStart	2048	0	0	Instruction Element
55349	KeyPress	4	32	0	Space
55366	InstructionEnd	4096	0	0	Instruction Element
55405	ImageStart	8	0	0	2450.jpg
65385	ImageEnd	16	0	0	2450.jpg
65489	InstructionStart	2048	0	0	Instruction Element
66159	KeyPress	4	32	0	Space
66161	InstructionEnd	4096	0	0	Instruction Element
66201	ImageStart	8	0	0	2818.jpg
76171	ImageEnd	16	0	0	2818.jpg
76307	InstructionStart	2048	0	0	Instruction Element
77054	KeyPress	4	32	0	Space
77055	InstructionEnd	4096	0	0	Instruction Element
77094	ImageStart	8	0	0	2212.jpg
87078	ImageEnd	16	0	0	2212.jpg
87097	InstructionStart	2048	0	0	Instruction Element
88153	KeyPress	4	32	0	Space
88153	InstructionEnd	4096	0	0	Instruction Element
88191	ImageStart	8	0	0	3621.jpg
98178	ImageEnd	16	0	0	3621.jpg
98206	InstructionStart	2048	0	0	Instruction Element
99327	KeyPress	4	32	0	Space
99328	InstructionEnd	4096	0	0	Instruction Element
99365	ImageStart	8	0	0	3134.jpg
109353	ImageEnd	16	0	0	3134.jpg
109534	InstructionStart	2048	0	0	Instruction Element
110415	KeyPress	4	32	0	Space
110416	InstructionEnd	4096	0	0	Instruction Element
110455	ImageStart	8	0	0	2007.jpg
120448	ImageEnd	16	0	0	2007.jpg
120466	InstructionStart	2048	0	0	Instruction Element
122159	KeyPress	4	32	0	Space
122160	InstructionEnd	4096	0	0	Instruction Element
122200	ImageStart	8	0	0	3471.jpg
132178	ImageEnd	16	0	0	3471.jpg
132197	InstructionStart	2048	0	0	Instruction Element
133484	KeyPress	4	32	0	Space
133500	InstructionEnd	4096	0	0	Instruction Element
133539	ImageStart	8	0	0	1958.jpg
143524	ImageEnd	16	0	0	1958.jpg
143537	InstructionStart	2048	0	0	Instruction Element
144368	KeyPress	4	32	0	Space
144378	InstructionEnd	4096	0	0	Instruction Element
144415	ImageStart	8	0	0	3339.jpg
154404	ImageEnd	16	0	0	3339.jpg
154417	InstructionStart	2048	0	0	Instruction Element
155457	KeyPress	4	32	0	Space
155458	InstructionEnd	4096	0	0	Instruction Element
155495	ImageStart	8	0	0	2797.jpg
165474	ImageEnd	16	0	0	2797.jpg
165489	InstructionStart	2048	0	0	Instruction Element
166426	KeyPress	4	32	0	Space
166435	InstructionEnd	4096	0	0	Instruction Element
166473	ImageStart	8	0	0	3083.jpg
176452	ImageEnd	16	0	0	3083.jpg
176470	InstructionStart	2048	0	0	Instruction Element
177676	KeyPress	4	32	0	Space
177688	InstructionEnd	4096	0	0	Instruction Element
177726	ImageStart	8	0	0	2112.jpg
187707	ImageEnd	16	0	0	2112.jpg
187727	InstructionStart	2048	0	0	Instruction Element
188796	KeyPress	4	32	0	Space
188798	InstructionEnd	4096	0	0	Instruction Element
188852	ImageStart	8	0	0	1653.jpg
198837	ImageEnd	16	0	0	1653.jpg
198973	InstructionStart	2048	0	0	Instruction Element
199712	KeyPress	4	32	0	Space
199720	InstructionEnd	4096	0	0	Instruction Element
199747	ImageStart	8	0	0	3146.jpg
209716	ImageEnd	16	0	0	3146.jpg
209955	InstructionStart	2048	0	0	Instruction Element
210929	KeyPress	4	32	0	Space
210931	InstructionEnd	4096	0	0	Instruction Element
210959	ImageStart	8	0	0	3423.jpg
220948	ImageEnd	16	0	0	3423.jpg
221128	InstructionStart	2048	0	0	Instruction Element
222382	KeyPress	4	32	0	Space
222383	InstructionEnd	4096	0	0	Instruction Element
222413	ImageStart	8	0	0	3359.jpg
232388	ImageEnd	16	0	0	3359.jpg
232487	InstructionStart	2048	0	0	Instruction Element
233761	KeyPress	4	32	0	Space
233763	InstructionEnd	4096	0	0	Instruction Element
233791	ImageStart	8	0	0	3058.jpg
243778	ImageEnd	16	0	0	3058.jpg
243795	InstructionStart	2048	0	0	Instruction Element
244870	KeyPress	4	32	0	Space
244874	InstructionEnd	4096	0	0	Instruction Element
244902	ImageStart	8	0	0	3210.jpg
254886	ImageEnd	16	0	0	3210.jpg
254901	InstructionStart	2048	0	0	Instruction Element
255766	KeyPress	4	32	0	Space
255767	InstructionEnd	4096	0	0	Instruction Element
255794	ImageStart	8	0	0	3434.jpg
265772	ImageEnd	16	0	0	3434.jpg
265852	InstructionStart	2048	0	0	Instruction Element
266918	KeyPress	4	32	0	Space
266919	InstructionEnd	4096	0	0	Instruction Element
266949	ImageStart	8	0	0	5967.jpg
276931	ImageEnd	16	0	0	5967.jpg
276951	InstructionStart	2048	0	0	Instruction Element
282343	KeyPress	4	32	0	Space
282344	InstructionEnd	4096	0	0	Instruction Element
282370	ImageStart	8	0	0	6141.jpg
292351	ImageEnd	16	0	0	6141.jpg
292368	InstructionStart	2048	0	0	Instruction Element
293569	KeyPress	4	32	0	Space
293581	InstructionEnd	4096	0	0	Instruction Element
293611	ImageStart	8	0	0	3403.jpg
303597	ImageEnd	16	0	0	3403.jpg
303616	InstructionStart	2048	0	0	Instruction Element
304518	KeyPress	4	32	0	Space
304531	InstructionEnd	4096	0	0	Instruction Element
304560	ImageStart	8	0	0	1832.jpg
314536	ImageEnd	16	0	0	1832.jpg
314553	InstructionStart	2048	0	0	Instruction Element
315532	KeyPress	4	32	0	Space
315546	InstructionEnd	4096	0	0	Instruction Element
315575	ImageStart	8	0	0	2372.jpg
325560	ImageEnd	16	0	0	2372.jpg
325579	InstructionStart	2048	0	0	Instruction Element
326524	KeyPress	4	32	0	Space
326533	InstructionEnd	4096	0	0	Instruction Element
326561	ImageStart	8	0	0	3327.jpg
336543	ImageEnd	16	0	0	3327.jpg
336614	InstructionStart	2048	0	0	Instruction Element
337430	KeyPress	4	32	0	Space
337431	InstructionEnd	4096	0	0	Instruction Element
337459	ImageStart	8	0	0	2039.jpg
347444	ImageEnd	16	0	0	2039.jpg
347715	InstructionStart	2048	0	0	Instruction Element
348583	KeyPress	4	32	0	Space
348596	InstructionEnd	4096	0	0	Instruction Element
348625	ImageStart	8	0	0	1946.jpg
358609	ImageEnd	16	0	0	1946.jpg
358628	InstructionStart	2048	0	0	Instruction Element
360089	KeyPress	4	32	0	Space
360095	InstructionEnd	4096	0	0	Instruction Element
360122	ImageStart	8	0	0	2403.jpg
370099	ImageEnd	16	0	0	2403.jpg
370117	InstructionStart	2048	0	0	Instruction Element
372519	KeyPress	4	32	0	Space
372533	InstructionEnd	4096	0	0	Instruction Element
372561	ImageStart	8	0	0	1590.jpg
382540	ImageEnd	16	0	0	1590.jpg
382556	InstructionStart	2048	0	0	Instruction Element
