Data properties:				
Recording date: 2021/10/3				
Recording time: 16:16:47:000 (corresponds to time 0)				
Study: Test2				
Subject: p15				
Recording: Rec 11				
Screen resolution: 1280 x 1024				
Coordinate unit: Pixels				
Filter settings:				
Eye: Average				
Validity: Normal				
Fixation filter: Tobii fixation filter				
Fixation radius: 35				
FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY
1	266	183	522	386
2	449	200	1105	581
3	649	233	1127	613
4	882	383	447	280
5	1398	150	1023	537
6	1548	167	1146	643
7	1715	117	688	1541
8	1948	83	605	182
9	2031	150	579	224
10	2181	300	234	214
11	2481	216	223	104
12	2697	250	213	155
13	2947	300	655	374
14	3247	283	348	290
15	3530	133	212	231
16	3663	150	210	180
17	3813	233	697	370
18	4046	183	1039	585
19	4230	283	312	253
20	4513	266	217	171
21	4779	267	655	466
22	5046	550	363	318
23	5595	583	680	445
24	6178	316	944	551
25	6495	200	1095	622
26	6695	849	1133	641
27	7544	233	760	449
28	7777	150	1097	622
29	7927	133	1104	669
30	8060	150	1140	663
31	8343	183	1154	576
32	8527	433	553	391
33	8960	300	1055	550
34	9259	366	430	298
35	9626	183	276	248
36	9809	433	977	481
37	10242	117	567	500
38	10359	100	567	546
39	10458	250	527	519
40	10708	516	694	528
41	11225	233	1084	558
42	11458	416	430	164
43	11874	233	252	140
44	12107	216	964	459
45	12324	266	1119	552
46	12590	266	628	264
47	12857	200	670	283
48	13057	167	1098	537
49	13223	1099	1140	570
50	14322	183	1127	604
51	14505	484	1127	643
52	14989	566	1158	549
53	15555	133	1158	506
54	15688	383	469	209
55	16072	117	975	448
56	16188	166	933	440
57	16355	300	552	222
58	16654	416	271	168
59	17071	233	1036	483
60	17304	366	669	259
61	17670	183	933	448
62	17854	116	933	486
63	17970	333	1099	565
64	18303	350	749	421
65	18653	316	721	375
66	18969	200	1120	552
67	19169	266	468	235
68	19436	166	467	197
69	19602	633	549	312
70	20235	400	347	274
71	20635	166	624	309
72	20801	416	637	275
73	21218	183	582	529
74	21401	133	770	505
75	21534	483	833	533
76	22017	117	553	357
77	22134	116	563	395
78	22250	117	251	577
79	22367	133	260	539
80	22500	200	1049	196
81	22700	200	1162	143
82	22900	150	453	381
83	23050	250	452	434
84	23300	183	831	209
85	23483	300	1164	124
86	23783	200	674	317
87	23983	383	1170	94
88	24366	167	999	215
89	24532	150	1013	251
90	24682	200	1102	774
91	24882	116	900	225
92	24999	200	842	265
93	25198	250	317	526
94	25448	250	969	189
95	25698	283	1119	123
96	26098	783	1167	115
97	26881	100	1127	112
98	27180	749	1176	82
99	27930	633	1161	123
100	28563	166	1063	135
101	28729	150	1065	100
102	28879	200	1056	136
103	29079	466	1109	130
104	29545	400	511	346
105	29945	233	553	368
106	30178	167	1131	160
107	30345	183	1138	124
108	30528	433	814	195
109	30961	216	1079	118
110	31177	150	1156	109
111	31327	250	614	279
112	31577	100	609	321
113	31677	383	914	201
114	32060	300	556	539
115	32360	183	499	545
116	32543	400	666	509
117	32943	166	1086	270
118	33109	450	1158	105
119	33559	716	322	452
120	34275	233	314	413
121	34508	283	325	448
122	34791	167	182	519
123	34958	100	190	458
124	35058	233	209	496
125	35291	117	801	517
126	35408	283	749	523
127	35691	316	934	421
128	36007	216	503	459
129	36224	283	513	420
130	36507	250	669	539
131	36757	433	337	431
132	37190	416	560	443
133	37606	150	454	461
134	37756	316	819	483
135	38072	200	1020	321
136	38272	233	1118	150
137	38506	266	1170	106
138	38772	167	931	365
139	38938	100	928	421
140	39038	350	1130	150
141	39388	366	1172	89
142	39755	233	1025	363
143	39988	350	1016	315
144	40337	283	1064	250
145	40620	300	1135	148
146	40920	183	1062	181
147	41104	233	588	367
148	41337	183	893	319
149	41520	166	1147	98
150	41686	100	1127	133
151	41786	566	1151	103
152	42353	650	538	368
153	43002	200	745	518
154	43202	133	667	521
155	43335	133	658	570
156	43468	333	847	516
157	43802	300	496	449
158	44101	150	499	485
159	44251	383	749	503
160	44635	116	1107	494
161	44751	117	1107	440
162	44868	233	562	308
163	45101	383	221	367
164	45484	350	563	319
165	45834	300	410	277
166	46133	316	395	235
167	46450	316	561	294
168	46766	450	603	249
169	47216	233	770	179
170	47449	316	765	232
171	47765	416	978	420
172	48182	300	793	263
173	48482	133	776	303
174	48615	383	1058	491
175	48998	117	1141	540
176	49115	117	1170	497
177	49231	266	447	439
178	49498	333	306	326
179	49997	100	546	229
180	50098	583	550	268
