System Properties:					
Operating System:	 Microsoft Windows NT 6.2.9200.0				
System User Name:	 gaozh				
Machine Name:	 DESKTOP-D1BOOAD				
Data properties:					
Recording name:	 WWYX				
Recording date:	 2019/11/5				
Recording time:	 16:31:04				
Recording resolution:	 1280 x 1024				
Export date:	 2019/11/5				
Export time:	 16:41:52				
Participant:	 WWYX				
Timestamp	Event	EventKey	Data1	Data2	Descriptor
0	ImageStart	8	0	0	6282_1.jpg
9973	ImageEnd	16	0	0	6282_1.jpg
10128	InstructionStart	2048	0	0	Instruction Element
10654	KeyPress	4	32	0	Space
10660	InstructionEnd	4096	0	0	Instruction Element
10756	ImageStart	8	0	0	5428_2.jpg
20690	ImageEnd	16	0	0	5428_2.jpg
20886	InstructionStart	2048	0	0	Instruction Element
22171	KeyPress	4	32	0	Space
22174	InstructionEnd	4096	0	0	Instruction Element
22248	ImageStart	8	0	0	1699_1.jpg
32205	ImageEnd	16	0	0	1699_1.jpg
32352	InstructionStart	2048	0	0	Instruction Element
33268	KeyPress	4	32	0	Space
33282	InstructionEnd	4096	0	0	Instruction Element
33349	ImageStart	8	0	0	5273_2.jpg
43298	ImageEnd	16	0	0	5273_2.jpg
43514	InstructionStart	2048	0	0	Instruction Element
44380	KeyPress	4	32	0	Space
44392	InstructionEnd	4096	0	0	Instruction Element
44446	ImageStart	8	0	0	3251_2.jpg
54409	ImageEnd	16	0	0	3251_2.jpg
54615	InstructionStart	2048	0	0	Instruction Element
55800	KeyPress	4	32	0	Space
55807	InstructionEnd	4096	0	0	Instruction Element
55874	ImageStart	8	0	0	1718_3.jpg
65832	ImageEnd	16	0	0	1718_3.jpg
66054	InstructionStart	2048	0	0	Instruction Element
66743	KeyPress	4	32	0	Space
66752	InstructionEnd	4096	0	0	Instruction Element
66838	ImageStart	8	0	0	5274_3.jpg
76787	ImageEnd	16	0	0	5274_3.jpg
76968	InstructionStart	2048	0	0	Instruction Element
80592	KeyPress	4	32	0	Space
80597	InstructionEnd	4096	0	0	Instruction Element
80682	ImageStart	8	0	0	6065_1.jpg
90630	ImageEnd	16	0	0	6065_1.jpg
90794	InstructionStart	2048	0	0	Instruction Element
95021	KeyPress	4	32	0	Space
95039	InstructionEnd	4096	0	0	Instruction Element
95115	ImageStart	8	0	0	2091_1.jpg
105066	ImageEnd	16	0	0	2091_1.jpg
105260	InstructionStart	2048	0	0	Instruction Element
107139	KeyPress	4	32	0	Space
107144	InstructionEnd	4096	0	0	Instruction Element
107230	ImageStart	8	0	0	6272_3.jpg
117175	ImageEnd	16	0	0	6272_3.jpg
117253	InstructionStart	2048	0	0	Instruction Element
120796	KeyPress	4	32	0	Space
120800	InstructionEnd	4096	0	0	Instruction Element
120880	ImageStart	8	0	0	3299_2.jpg
130844	ImageEnd	16	0	0	3299_2.jpg
131001	InstructionStart	2048	0	0	Instruction Element
133512	KeyPress	4	32	0	Space
133521	InstructionEnd	4096	0	0	Instruction Element
133602	ImageStart	8	0	0	2345_1.jpg
143549	ImageEnd	16	0	0	2345_1.jpg
143833	InstructionStart	2048	0	0	Instruction Element
147144	KeyPress	4	32	0	Space
147150	InstructionEnd	4096	0	0	Instruction Element
147233	ImageStart	8	0	0	1771_1.jpg
157195	ImageEnd	16	0	0	1771_1.jpg
157359	InstructionStart	2048	0	0	Instruction Element
158082	KeyPress	4	32	0	Space
158104	InstructionEnd	4096	0	0	Instruction Element
158193	ImageStart	8	0	0	2624_2.jpg
168145	ImageEnd	16	0	0	2624_2.jpg
168168	InstructionStart	2048	0	0	Instruction Element
