System Properties:					
Operating System:	 Microsoft Windows NT 6.2.9200.0				
System User Name:	 nuc				
Machine Name:	 DESKTOP-CHDADVS				
Data properties:					
Recording name:	 Rec 08				
Recording date:	 2021/9/22				
Recording time:	 18:16:08				
Recording resolution:	 1280 x 1024				
Export date:	 2021/9/22				
Export time:	 18:56:15				
Participant:	 P12				
Timestamp	Event	EventKey	Data1	Data2	Descriptor
0	ImageStart	8	0	0	6282.jpg
9974	ImageEnd	16	0	0	6282.jpg
10017	InstructionStart	2048	0	0	Instruction Element
11253	KeyPress	4	32	0	Space
11264	InstructionEnd	4096	0	0	Instruction Element
11294	ImageStart	8	0	0	5428.jpg
21274	ImageEnd	16	0	0	5428.jpg
21297	InstructionStart	2048	0	0	Instruction Element
22835	KeyPress	4	32	0	Space
22850	InstructionEnd	4096	0	0	Instruction Element
22877	ImageStart	8	0	0	1699.jpg
32860	ImageEnd	16	0	0	1699.jpg
33023	InstructionStart	2048	0	0	Instruction Element
33763	KeyPress	4	32	0	Space
33778	InstructionEnd	4096	0	0	Instruction Element
33815	ImageStart	8	0	0	5273.jpg
43795	ImageEnd	16	0	0	5273.jpg
43825	InstructionStart	2048	0	0	Instruction Element
56755	KeyPress	4	32	0	Space
56758	InstructionEnd	4096	0	0	Instruction Element
56806	ImageStart	8	0	0	3251.jpg
66778	ImageEnd	16	0	0	3251.jpg
66940	InstructionStart	2048	0	0	Instruction Element
67682	KeyPress	4	32	0	Space
67696	InstructionEnd	4096	0	0	Instruction Element
67729	ImageStart	8	0	0	1718.jpg
77702	ImageEnd	16	0	0	1718.jpg
77821	InstructionStart	2048	0	0	Instruction Element
78631	KeyPress	4	32	0	Space
78632	InstructionEnd	4096	0	0	Instruction Element
78659	ImageStart	8	0	0	5274.jpg
88645	ImageEnd	16	0	0	5274.jpg
88724	InstructionStart	2048	0	0	Instruction Element
89236	KeyPress	4	32	0	Space
89247	InstructionEnd	4096	0	0	Instruction Element
89276	ImageStart	8	0	0	6065.jpg
99260	ImageEnd	16	0	0	6065.jpg
99282	InstructionStart	2048	0	0	Instruction Element
100208	KeyPress	4	32	0	Space
100210	InstructionEnd	4096	0	0	Instruction Element
100247	ImageStart	8	0	0	2091.jpg
110216	ImageEnd	16	0	0	2091.jpg
110236	InstructionStart	2048	0	0	Instruction Element
113625	KeyPress	4	32	0	Space
113638	InstructionEnd	4096	0	0	Instruction Element
113666	ImageStart	8	0	0	6272.jpg
123642	ImageEnd	16	0	0	6272.jpg
123711	InstructionStart	2048	0	0	Instruction Element
124369	KeyPress	4	32	0	Space
124377	InstructionEnd	4096	0	0	Instruction Element
124411	ImageStart	8	0	0	3299.jpg
134394	ImageEnd	16	0	0	3299.jpg
134410	InstructionStart	2048	0	0	Instruction Element
135114	KeyPress	4	32	0	Space
135128	InstructionEnd	4096	0	0	Instruction Element
135160	ImageStart	8	0	0	2345.jpg
145149	ImageEnd	16	0	0	2345.jpg
145298	InstructionStart	2048	0	0	Instruction Element
146052	KeyPress	4	32	0	Space
146053	InstructionEnd	4096	0	0	Instruction Element
146085	ImageStart	8	0	0	1771.jpg
156071	ImageEnd	16	0	0	1771.jpg
156135	InstructionStart	2048	0	0	Instruction Element
157022	KeyPress	4	32	0	Space
157038	InstructionEnd	4096	0	0	Instruction Element
157069	ImageStart	8	0	0	2624.jpg
167052	ImageEnd	16	0	0	2624.jpg
167071	InstructionStart	2048	0	0	Instruction Element
167660	KeyPress	4	32	0	Space
167674	InstructionEnd	4096	0	0	Instruction Element
167704	ImageStart	8	0	0	6112.jpg
177691	ImageEnd	16	0	0	6112.jpg
177832	InstructionStart	2048	0	0	Instruction Element
178534	KeyPress	4	32	0	Space
178545	InstructionEnd	4096	0	0	Instruction Element
178580	ImageStart	8	0	0	5535.jpg
188560	ImageEnd	16	0	0	5535.jpg
188584	InstructionStart	2048	0	0	Instruction Element
189213	KeyPress	4	32	0	Space
189216	InstructionEnd	4096	0	0	Instruction Element
189254	ImageStart	8	0	0	3537.jpg
199241	ImageEnd	16	0	0	3537.jpg
199262	InstructionStart	2048	0	0	Instruction Element
199744	KeyPress	4	32	0	Space
199758	InstructionEnd	4096	0	0	Instruction Element
199790	ImageStart	8	0	0	6147.jpg
209770	ImageEnd	16	0	0	6147.jpg
209785	InstructionStart	2048	0	0	Instruction Element
210370	KeyPress	4	32	0	Space
210373	InstructionEnd	4096	0	0	Instruction Element
210427	ImageStart	8	0	0	5586.jpg
220389	ImageEnd	16	0	0	5586.jpg
220412	InstructionStart	2048	0	0	Instruction Element
221599	KeyPress	4	32	0	Space
221602	InstructionEnd	4096	0	0	Instruction Element
221650	ImageStart	8	0	0	6173.jpg
231613	ImageEnd	16	0	0	6173.jpg
231636	InstructionStart	2048	0	0	Instruction Element
233621	KeyPress	4	32	0	Space
233622	InstructionEnd	4096	0	0	Instruction Element
233656	ImageStart	8	0	0	1736.jpg
243648	ImageEnd	16	0	0	1736.jpg
243670	InstructionStart	2048	0	0	Instruction Element
244150	KeyPress	4	32	0	Space
244162	InstructionEnd	4096	0	0	Instruction Element
244216	ImageStart	8	0	0	6360.jpg
254170	ImageEnd	16	0	0	6360.jpg
254192	InstructionStart	2048	0	0	Instruction Element
254907	KeyPress	4	32	0	Space
254909	InstructionEnd	4096	0	0	Instruction Element
254951	ImageStart	8	0	0	1633.jpg
264923	ImageEnd	16	0	0	1633.jpg
265119	InstructionStart	2048	0	0	Instruction Element
265598	KeyPress	4	32	0	Space
265611	InstructionEnd	4096	0	0	Instruction Element
265644	ImageStart	8	0	0	1871.jpg
275634	ImageEnd	16	0	0	1871.jpg
275811	InstructionStart	2048	0	0	Instruction Element
277707	KeyPress	4	32	0	Space
277720	InstructionEnd	4096	0	0	Instruction Element
277770	ImageStart	8	0	0	2478.jpg
287744	ImageEnd	16	0	0	2478.jpg
287848	InstructionStart	2048	0	0	Instruction Element
288366	KeyPress	4	32	0	Space
288368	InstructionEnd	4096	0	0	Instruction Element
288398	ImageStart	8	0	0	3187.jpg
298381	ImageEnd	16	0	0	3187.jpg
298405	InstructionStart	2048	0	0	Instruction Element
300258	KeyPress	4	32	0	Space
300272	InstructionEnd	4096	0	0	Instruction Element
300308	ImageStart	8	0	0	1635.jpg
310289	ImageEnd	16	0	0	1635.jpg
310313	InstructionStart	2048	0	0	Instruction Element
311154	KeyPress	4	32	0	Space
311156	InstructionEnd	4096	0	0	Instruction Element
311206	ImageStart	8	0	0	6044.jpg
321180	ImageEnd	16	0	0	6044.jpg
321203	InstructionStart	2048	0	0	Instruction Element
321823	KeyPress	4	32	0	Space
321834	InstructionEnd	4096	0	0	Instruction Element
321862	ImageStart	8	0	0	6326.jpg
331856	ImageEnd	16	0	0	6326.jpg
332033	InstructionStart	2048	0	0	Instruction Element
332408	KeyPress	4	32	0	Space
332411	InstructionEnd	4096	0	0	Instruction Element
332440	ImageStart	8	0	0	5303.jpg
342421	ImageEnd	16	0	0	5303.jpg
342524	InstructionStart	2048	0	0	Instruction Element
343196	KeyPress	4	32	0	Space
343201	InstructionEnd	4096	0	0	Instruction Element
343239	ImageStart	8	0	0	1682.jpg
353216	ImageEnd	16	0	0	1682.jpg
353412	InstructionStart	2048	0	0	Instruction Element
355766	KeyPress	4	32	0	Space
355768	InstructionEnd	4096	0	0	Instruction Element
355805	ImageStart	8	0	0	2533.jpg
365792	ImageEnd	16	0	0	2533.jpg
365981	InstructionStart	2048	0	0	Instruction Element
366725	KeyPress	4	32	0	Space
366727	InstructionEnd	4096	0	0	Instruction Element
366761	ImageStart	8	0	0	3595.jpg
376738	ImageEnd	16	0	0	3595.jpg
376911	InstructionStart	2048	0	0	Instruction Element
377685	KeyPress	4	32	0	Space
377687	InstructionEnd	4096	0	0	Instruction Element
377720	ImageStart	8	0	0	5513.jpg
387709	ImageEnd	16	0	0	5513.jpg
387924	InstructionStart	2048	0	0	Instruction Element
