System Properties:					
Operating System:	 Microsoft Windows NT 6.2.9200.0				
System User Name:	 gaozh				
Machine Name:	 DESKTOP-D1BOOAD				
Data properties:					
Recording name:	 CY				
Recording date:	 2019/11/5				
Recording time:	 16:18:20				
Recording resolution:	 1280 x 1024				
Export date:	 2019/11/5				
Export time:	 16:28:53				
Participant:	 CY				
Timestamp	Event	EventKey	Data1	Data2	Descriptor
0	ImageStart	8	0	0	2912_2.jpg
9971	ImageEnd	16	0	0	2912_2.jpg
10148	InstructionStart	2048	0	0	Instruction Element
12904	KeyPress	4	32	0	Space
12910	InstructionEnd	4096	0	0	Instruction Element
12985	ImageStart	8	0	0	2748_1.jpg
22964	ImageEnd	16	0	0	2748_1.jpg
23104	InstructionStart	2048	0	0	Instruction Element
24705	KeyPress	4	32	0	Space
24711	InstructionEnd	4096	0	0	Instruction Element
24801	ImageStart	8	0	0	2990_1.jpg
34751	ImageEnd	16	0	0	2990_1.jpg
34890	InstructionStart	2048	0	0	Instruction Element
37044	KeyPress	4	32	0	Space
37051	InstructionEnd	4096	0	0	Instruction Element
37140	ImageStart	8	0	0	3013_1.jpg
47081	ImageEnd	16	0	0	3013_1.jpg
47249	InstructionStart	2048	0	0	Instruction Element
48643	KeyPress	4	32	0	Space
48646	InstructionEnd	4096	0	0	Instruction Element
48717	ImageStart	8	0	0	2257_1.jpg
58673	ImageEnd	16	0	0	2257_1.jpg
58872	InstructionStart	2048	0	0	Instruction Element
60496	KeyPress	4	32	0	Space
60503	InstructionEnd	4096	0	0	Instruction Element
60596	ImageStart	8	0	0	2972_3.jpg
70540	ImageEnd	16	0	0	2972_3.jpg
70725	InstructionStart	2048	0	0	Instruction Element
72349	KeyPress	4	32	0	Space
72354	InstructionEnd	4096	0	0	Instruction Element
72450	ImageStart	8	0	0	2153_2.jpg
82394	ImageEnd	16	0	0	2153_2.jpg
82648	InstructionStart	2048	0	0	Instruction Element
84076	KeyPress	4	32	0	Space
84080	InstructionEnd	4096	0	0	Instruction Element
84175	ImageStart	8	0	0	2724_1.jpg
94115	ImageEnd	16	0	0	2724_1.jpg
94380	InstructionStart	2048	0	0	Instruction Element
96279	KeyPress	4	32	0	Space
96287	InstructionEnd	4096	0	0	Instruction Element
96373	ImageStart	8	0	0	2281_1.jpg
106328	ImageEnd	16	0	0	2281_1.jpg
106504	InstructionStart	2048	0	0	Instruction Element
107689	KeyPress	4	32	0	Space
107706	InstructionEnd	4096	0	0	Instruction Element
107793	ImageStart	8	0	0	2939_1.jpg
117743	ImageEnd	16	0	0	2939_1.jpg
117994	InstructionStart	2048	0	0	Instruction Element
119469	KeyPress	4	32	0	Space
119475	InstructionEnd	4096	0	0	Instruction Element
119547	ImageStart	8	0	0	2114_3.jpg
129505	ImageEnd	16	0	0	2114_3.jpg
129742	InstructionStart	2048	0	0	Instruction Element
131664	KeyPress	4	32	0	Space
131668	InstructionEnd	4096	0	0	Instruction Element
131734	ImageStart	8	0	0	2840_2.jpg
141689	ImageEnd	16	0	0	2840_2.jpg
141863	InstructionStart	2048	0	0	Instruction Element
143632	KeyPress	4	32	0	Space
143636	InstructionEnd	4096	0	0	Instruction Element
143697	ImageStart	8	0	0	2686_3.jpg
153665	ImageEnd	16	0	0	2686_3.jpg
153874	InstructionStart	2048	0	0	Instruction Element
155501	KeyPress	4	32	0	Space
155509	InstructionEnd	4096	0	0	Instruction Element
155600	ImageStart	8	0	0	2140_1.jpg
165553	ImageEnd	16	0	0	2140_1.jpg
165806	InstructionStart	2048	0	0	Instruction Element
167315	KeyPress	4	32	0	Space
